Bolide Detection Notification: 2022-048

At 12:08:06 UT on 17 Feb 2022, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 33.5 °N, Lon 38.9 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.20e+10 watts/steradian, and total radiated flash
energy 1.07e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.498,  2.06e+08),
           (-1.495,  8.58e+07),
           (-1.492,  2.03e+08),
           (-1.488,  2.07e+07),
           (-1.485, -1.77e+09),
           (-1.482,  1.56e+09),
           (-1.478,  2.37e+08),
           (-1.475,  1.51e+08),
           (-1.468,  2.41e+09),
           (-1.465, -1.15e+09),
           (-1.461,  1.28e+09),
           (-1.458,  1.85e+09),
           (-1.455,  1.47e+09),
           (-1.451,  8.99e+08),
           (-1.448, -3.67e+08),
           (-1.445,  1.73e+09),
           (-1.441,  1.37e+09),
           (-1.438,  1.13e+09),
           (-1.434,  3.62e+08),
           (-1.431, -1.68e+08),
           (-1.428,  1.80e+09),
           (-1.424,  8.28e+08),
           (-1.421,  1.27e+09),
           (-1.418,  1.32e+09),
           (-1.411, -1.21e+09),
           (-1.407,  1.52e+09),
           (-1.404,  2.24e+09),
           (-1.401,  4.31e+08),
           (-1.397,  1.25e+09),
           (-1.394,  1.21e+09),
           (-1.390,  8.31e+08),
           (-1.387,  1.43e+09),
           (-1.384,  1.76e+09),
           (-1.380,  2.43e+09),
           (-1.377, -3.13e+08),
           (-1.374,  1.70e+09),
           (-1.370,  1.10e+09),
           (-1.367,  1.10e+09),
           (-1.363,  2.72e+09),
           (-1.357,  1.29e+09),
           (-1.353,  1.67e+09),
           (-1.350,  1.42e+09),
           (-1.347,  2.19e+09),
           (-1.343,  1.95e+09),
           (-1.340,  1.27e+08),
           (-1.337, -7.59e+07),
           (-1.333,  2.73e+09),
           (-1.330,  1.08e+09),
           (-1.323,  2.68e+09),
           (-1.320,  1.16e+09),
           (-1.316,  2.33e+09),
           (-1.313, -5.61e+08),
           (-1.309,  3.00e+09),
           (-1.306,  2.90e+09),
           (-1.303,  2.60e+09),
           (-1.299,  1.18e+09),
           (-1.296,  3.85e+08),
           (-1.293,  1.58e+09),
           (-1.289,  1.34e+09),
           (-1.286,  7.69e+08),
           (-1.282,  5.85e+08),
           (-1.279, -2.59e+08),
           (-1.276,  3.05e+09),
           (-1.272,  4.10e+09),
           (-1.266,  3.82e+08),
           (-1.259,  1.89e+09),
           (-1.256,  1.08e+09),
           (-1.252,  8.65e+08),
           (-1.249,  1.20e+09),
           (-1.245,  2.92e+08),
           (-1.242,  2.56e+09),
           (-1.239,  2.57e+09),
           (-1.235,  4.45e+09),
           (-1.229,  1.36e+09),
           (-1.225,  1.19e+09),
           (-1.222,  1.67e+09),
           (-1.218,  1.86e+09),
           (-1.215,  2.16e+09),
           (-1.212,  6.28e+08),
           (-1.208,  1.20e+09),
           (-1.205,  1.07e+09),
           (-1.201,  2.47e+09),
           (-1.198,  1.92e+09),
           (-1.195,  2.64e+08),
           (-1.191,  1.45e+09),
           (-1.188,  2.13e+09),
           (-1.185,  1.35e+09),
           (-1.181,  8.38e+08),
           (-1.178,  1.43e+09),
           (-1.174,  2.80e+09),
           (-1.168, -2.42e+07),
           (-1.164,  2.77e+09),
           (-1.161,  1.63e+09),
           (-1.158,  3.32e+09),
           (-1.154,  7.19e+08),
           (-1.151,  3.77e+09),
           (-1.148,  1.79e+09),
           (-1.144,  3.64e+09),
           (-1.141,  2.61e+09),
           (-1.137,  2.45e+09),
           (-1.134,  7.96e+08),
           (-1.127,  2.74e+09),
           (-1.124,  1.66e+09),
           (-1.117,  3.25e+09),
           (-1.114,  5.53e+09),
           (-1.110,  4.24e+09),
           (-1.107,  1.54e+09),
           (-1.104,  2.86e+09),
           (-1.100,  8.42e+08),
           (-1.097,  3.35e+09),
           (-1.093,  2.56e+09),
           (-1.090,  1.50e+09),
           (-1.087,  2.27e+09),
           (-1.083,  3.66e+09),
           (-1.080,  2.45e+09),
           (-1.077,  1.67e+09),
           (-1.070,  1.86e+09),
           (-1.067,  2.36e+09),
           (-1.063,  4.03e+08),
           (-1.056,  2.82e+09),
           (-1.053,  2.16e+09),
           (-1.050,  2.52e+09),
           (-1.046,  1.91e+09),
           (-1.043,  4.78e+09),
           (-1.040,  5.96e+09),
           (-1.036,  3.04e+09),
           (-1.033,  1.75e+09),
           (-1.029,  1.65e+09),
           (-1.026,  9.47e+08),
           (-1.023,  4.79e+09),
           (-1.019,  3.61e+09),
           (-1.016,  6.59e+08),
           (-1.012,  4.30e+09),
           (-1.009,  2.71e+09),
           (-1.006,  2.22e+09),
           (-1.002,  2.82e+09),
           (-0.999,  4.81e+09),
           (-0.992,  1.15e+09),
           (-0.985,  2.09e+09),
           (-0.982,  3.99e+09),
           (-0.979,  3.59e+09),
           (-0.975,  2.55e+09),
           (-0.972,  3.20e+09),
           (-0.969,  3.28e+09),
           (-0.965,  2.67e+09),
           (-0.962,  2.39e+09),
           (-0.959,  1.71e+09),
           (-0.955,  2.24e+09),
           (-0.952,  3.49e+09),
           (-0.948,  2.76e+09),
           (-0.945,  2.54e+09),
           (-0.942,  8.27e+08),
           (-0.938,  1.83e+09),
           (-0.935,  3.29e+09),
           (-0.931,  3.40e+09),
           (-0.928,  1.47e+09),
           (-0.925,  2.31e+09),
           (-0.921,  3.52e+09),
           (-0.918,  2.09e+09),
           (-0.915,  2.26e+09),
           (-0.911,  4.73e+09),
           (-0.908,  2.25e+09),
           (-0.904,  3.72e+09),
           (-0.901,  3.71e+09),
           (-0.898,  3.11e+09),
           (-0.894,  4.88e+09),
           (-0.891,  3.89e+09),
           (-0.888,  2.49e+09),
           (-0.884,  3.63e+09),
           (-0.878,  2.17e+09),
           (-0.874,  3.65e+09),
           (-0.871,  4.40e+09),
           (-0.867,  1.07e+09),
