Bolide Detection Notification: 2022-111

At 22:15:27 UT on 21 Apr 2022, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 55.5S, Lon 68.9W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 7.52e+09 watts/steradian, and total radiated flash
energy 3.88e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999,  1.91e+09),
           (-0.996, -2.56e+08),
           (-0.992,  1.04e+09),
           (-0.989,  1.21e+09),
           (-0.986,  1.75e+09),
           (-0.982,  4.93e+08),
           (-0.979,  1.78e+09),
           (-0.975,  2.67e+08),
           (-0.972,  3.45e+09),
           (-0.969,  4.16e+09),
           (-0.965,  1.56e+09),
           (-0.962, -4.01e+08),
           (-0.959,  1.89e+09),
           (-0.955, -4.18e+08),
           (-0.952,  2.21e+09),
           (-0.948,  2.05e+08),
           (-0.945,  1.27e+09),
           (-0.942,  1.03e+09),
           (-0.938,  1.55e+09),
           (-0.935, -8.85e+06),
           (-0.931,  1.92e+08),
           (-0.928,  1.65e+09),
           (-0.925, -3.15e+08),
           (-0.921, -1.22e+09),
           (-0.918,  2.16e+09),
           (-0.915,  6.53e+08),
           (-0.911, -5.49e+08),
           (-0.908,  1.79e+09),
           (-0.905, -3.78e+08),
           (-0.901,  1.35e+09),
           (-0.898, -8.35e+08),
           (-0.894,  1.39e+09),
           (-0.891,  1.77e+09),
           (-0.888,  1.27e+09),
           (-0.884, -1.83e+08),
           (-0.881,  1.15e+09),
           (-0.878,  3.69e+09),
           (-0.874,  1.30e+08),
           (-0.871,  6.78e+08),
           (-0.867, -1.57e+08),
           (-0.864,  1.74e+09),
           (-0.861,  1.15e+08),
           (-0.857,  2.03e+09),
           (-0.854,  3.54e+08),
           (-0.851,  1.63e+08),
           (-0.847,  1.50e+08),
           (-0.844,  1.30e+09),
           (-0.840,  1.37e+09),
           (-0.834, -3.36e+08),
           (-0.830, -8.06e+08),
           (-0.827,  3.09e+06),
           (-0.824,  1.15e+09),
           (-0.820,  1.89e+09),
           (-0.817, -1.91e+09),
           (-0.813,  8.13e+08),
           (-0.810,  9.01e+08),
           (-0.807,  2.10e+09),
           (-0.803,  3.75e+08),
           (-0.800, -6.15e+08),
           (-0.797, -7.28e+08),
           (-0.793,  1.07e+09),
           (-0.790,  3.28e+08),
           (-0.786,  3.29e+07),
           (-0.783,  8.60e+08),
           (-0.780,  4.05e+08),
           (-0.776, -2.78e+08),
           (-0.773,  5.38e+08),
           (-0.770, -3.32e+08),
           (-0.766,  1.19e+09),
           (-0.763,  2.23e+09),
           (-0.759,  1.01e+09),
           (-0.756,  2.23e+09),
           (-0.753, -6.13e+08),
           (-0.749,  2.29e+09),
           (-0.746,  1.26e+09),
           (-0.743,  8.96e+08),
           (-0.739,  1.75e+09),
           (-0.736,  1.22e+09),
           (-0.732,  2.42e+09),
           (-0.729, -1.38e+09),
           (-0.726, -1.12e+09),
           (-0.722,  3.32e+09),
           (-0.719,  8.60e+08),
           (-0.716,  1.18e+09),
           (-0.712,  1.26e+09),
           (-0.709,  2.05e+09),
           (-0.705,  6.32e+08),
           (-0.702,  9.13e+08),
           (-0.699,  6.74e+08),
           (-0.695, -9.86e+08),
           (-0.692,  1.38e+09),
           (-0.689,  9.05e+08),
           (-0.685, -7.90e+08),
           (-0.682, -8.40e+08),
           (-0.678,  2.92e+09),
           (-0.675,  1.35e+08),
           (-0.672,  8.09e+08),
           (-0.668,  7.37e+08),
           (-0.665,  7.96e+08),
           (-0.662,  1.59e+09),
           (-0.658,  1.47e+09),
           (-0.655,  2.21e+09),
           (-0.651,  1.58e+09),
           (-0.648,  1.88e+09),
           (-0.645, -2.90e+08),
           (-0.641,  1.38e+09),
           (-0.638,  1.07e+09),
           (-0.635,  1.65e+09),
           (-0.631,  5.55e+08),
           (-0.628,  6.96e+08),
           (-0.624, -3.91e+08),
           (-0.621,  1.76e+09),
           (-0.618, -3.54e+08),
           (-0.614,  1.24e+09),
           (-0.611, -7.97e+08),
           (-0.608,  1.05e+09),
           (-0.604,  1.86e+09),
           (-0.601,  2.30e+09),
           (-0.597,  5.88e+08),
           (-0.594,  1.07e+09),
           (-0.591,  2.24e+08),
           (-0.587, -1.44e+08),
