Bolide Detection Notification: 2022-111

At 22:15:28 UT on 21 Apr 2022, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 55.5 °S, Lon 68.9 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 7.41e+09 watts/steradian, and total radiated flash
energy 3.10e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999,  2.02e+09),
           (-0.996,  1.22e+09),
           (-0.992,  1.50e+08),
           (-0.989, -6.62e+08),
           (-0.986,  1.44e+09),
           (-0.982,  4.25e+08),
           (-0.979,  2.23e+09),
           (-0.975,  9.60e+08),
           (-0.972,  1.97e+09),
           (-0.969,  1.35e+09),
           (-0.965, -1.37e+08),
           (-0.962, -4.41e+07),
           (-0.959, -6.23e+07),
           (-0.955,  1.77e+07),
           (-0.952,  1.56e+09),
           (-0.948,  1.72e+09),
           (-0.945, -2.18e+08),
           (-0.942,  9.84e+08),
           (-0.938,  7.44e+08),
           (-0.935, -4.99e+08),
           (-0.931, -5.46e+08),
           (-0.928, -2.82e+08),
           (-0.925,  5.10e+08),
           (-0.921,  8.81e+08),
           (-0.918,  1.59e+09),
           (-0.915, -9.90e+08),
           (-0.911,  6.76e+07),
           (-0.908, -1.29e+09),
           (-0.905, -3.80e+08),
           (-0.901, -2.10e+09),
           (-0.898,  9.58e+07),
           (-0.894,  3.71e+08),
           (-0.891, -1.33e+09),
           (-0.888, -1.50e+07),
           (-0.884,  3.45e+08),
           (-0.881, -2.62e+08),
           (-0.878, -9.06e+07),
           (-0.874, -1.17e+09),
           (-0.871,  7.00e+08),
           (-0.867, -9.61e+08),
           (-0.864,  1.14e+09),
           (-0.861, -1.54e+09),
           (-0.857, -7.89e+08),
           (-0.854, -6.46e+08),
           (-0.851, -1.82e+09),
           (-0.847,  7.36e+08),
           (-0.844, -8.52e+08),
           (-0.840, -1.36e+08),
           (-0.837, -7.33e+08),
           (-0.834,  1.46e+09),
           (-0.830, -1.01e+09),
           (-0.827,  7.32e+08),
           (-0.824,  3.65e+08),
           (-0.820, -1.15e+09),
           (-0.817,  1.78e+09),
           (-0.813, -7.75e+08),
           (-0.810, -2.95e+08),
           (-0.807, -3.65e+08),
           (-0.803,  6.95e+08),
           (-0.800,  2.76e+08),
           (-0.797,  1.19e+08),
           (-0.793, -1.43e+09),
           (-0.790, -4.57e+06),
           (-0.786,  1.45e+08),
           (-0.783,  6.71e+08),
           (-0.780, -4.54e+08),
           (-0.776,  5.79e+08),
           (-0.773, -6.18e+08),
           (-0.770,  7.37e+08),
           (-0.766, -5.56e+08),
           (-0.763, -1.13e+08),
           (-0.759,  7.80e+07),
           (-0.756, -1.92e+09),
           (-0.753, -2.13e+09),
           (-0.749,  1.64e+09),
           (-0.746, -3.31e+07),
           (-0.743,  4.87e+08),
           (-0.739,  8.62e+08),
           (-0.736,  9.36e+08),
           (-0.732,  4.01e+08),
           (-0.729, -7.36e+08),
           (-0.726,  9.92e+08),
           (-0.722, -7.70e+08),
           (-0.716,  4.63e+08),
           (-0.712,  5.56e+08),
           (-0.709, -3.03e+08),
           (-0.705,  2.40e+09),
           (-0.702,  1.06e+09),
           (-0.699, -1.28e+09),
           (-0.695,  4.62e+08),
           (-0.692, -7.71e+08),
           (-0.689,  3.07e+08),
           (-0.685,  2.24e+08),
           (-0.682,  2.84e+08),
           (-0.678,  5.05e+08),
           (-0.675,  5.64e+08),
           (-0.672,  1.62e+09),
           (-0.668,  8.28e+08),
           (-0.665,  4.61e+08),
           (-0.662,  4.69e+08),
           (-0.658,  1.65e+09),
           (-0.655,  1.13e+09),
           (-0.651,  4.49e+08),
           (-0.648,  9.82e+08),
           (-0.645,  4.88e+08),
           (-0.641,  1.17e+09),
