Bolide Detection Notification: 2022-158

At 22:53:17 UT on 07 Jun 2022, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 40.8N, Lon 127.1W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 9.06e+09 watts/steradian, and total radiated flash
energy 2.82e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999,  2.60e+08),
           (-0.996,  2.03e+09),
           (-0.992,  5.16e+09),
           (-0.989,  4.26e+09),
           (-0.986,  3.82e+09),
           (-0.982,  3.55e+08),
           (-0.979, -1.05e+09),
           (-0.975, -1.81e+09),
           (-0.972,  9.81e+08),
           (-0.969,  1.98e+09),
           (-0.962,  4.53e+08),
           (-0.959,  9.62e+08),
           (-0.955,  3.09e+08),
           (-0.952, -1.23e+09),
           (-0.948, -3.62e+08),
           (-0.945,  2.05e+09),
           (-0.942,  9.73e+08),
           (-0.938,  1.02e+09),
           (-0.935,  1.31e+09),
           (-0.931,  1.89e+09),
           (-0.928,  1.02e+09),
           (-0.925,  1.01e+09),
           (-0.921,  7.33e+08),
           (-0.918, -2.15e+08),
           (-0.915,  3.74e+08),
           (-0.911,  2.70e+09),
           (-0.908, -9.09e+07),
           (-0.905, -1.10e+09),
           (-0.901,  7.49e+08),
           (-0.898,  9.73e+08),
           (-0.894,  1.73e+08),
           (-0.891,  2.18e+09),
           (-0.888,  1.24e+09),
           (-0.884, -2.74e+08),
           (-0.881,  2.68e+09),
           (-0.878,  9.26e+08),
           (-0.874,  7.99e+08),
           (-0.871,  3.79e+08),
           (-0.867, -1.00e+09),
           (-0.861,  1.79e+09),
           (-0.857,  2.00e+08),
           (-0.854,  9.70e+08),
           (-0.851,  2.54e+09),
           (-0.847,  1.35e+09),
           (-0.844,  6.10e+08),
           (-0.840,  1.02e+09),
           (-0.837, -1.43e+09),
           (-0.834, -1.71e+09),
           (-0.830, -1.29e+08),
           (-0.827,  2.72e+09),
           (-0.824,  7.88e+08),
           (-0.820, -3.98e+08),
           (-0.817,  7.21e+08),
           (-0.810, -4.22e+08),
           (-0.807,  2.13e+09),
           (-0.800, -8.26e+08),
           (-0.797,  1.05e+09),
           (-0.793,  4.14e+08),
           (-0.790,  8.61e+08),
           (-0.786,  7.86e+08),
           (-0.783,  2.84e+09),
           (-0.780,  3.23e+09),
           (-0.776,  8.11e+08),
           (-0.773, -6.61e+08),
           (-0.766,  1.94e+09),
           (-0.763,  2.41e+09),
           (-0.759, -3.61e+07),
           (-0.756,  2.62e+09),
           (-0.749, -1.94e+09),
           (-0.746,  6.81e+08),
           (-0.743, -1.32e+08),
           (-0.739,  8.80e+08),
           (-0.736, -1.17e+09),
           (-0.732, -1.20e+08),
           (-0.729,  1.58e+09),
           (-0.726,  1.01e+09),
           (-0.722,  1.36e+09),
           (-0.719,  2.29e+09),
           (-0.716,  1.53e+09),
           (-0.712,  1.73e+09),
           (-0.709,  1.47e+09),
           (-0.705,  1.28e+09),
           (-0.702, -8.89e+07),
           (-0.699, -4.06e+08),
           (-0.695,  8.44e+08),
           (-0.692,  7.88e+08),
           (-0.689,  6.92e+08),
           (-0.685,  2.09e+09),
           (-0.682,  1.20e+09),
           (-0.678,  1.33e+09),
           (-0.675,  9.02e+08),
           (-0.672,  2.44e+09),
           (-0.668, -1.10e+09),
           (-0.665,  1.73e+09),
           (-0.662,  2.22e+08),
           (-0.658,  3.19e+09),
           (-0.655,  1.26e+09),
           (-0.651,  1.11e+09),
           (-0.648,  2.01e+09),
           (-0.641, -2.00e+09),
           (-0.638,  4.31e+08),
           (-0.635,  1.31e+09),
           (-0.628, -1.36e+09),
           (-0.624,  3.47e+08),
           (-0.621, -4.65e+08),
           (-0.618, -4.60e+08),
           (-0.614,  2.30e+09),
           (-0.611,  5.66e+08),
           (-0.608,  5.88e+08),
           (-0.604,  7.23e+08),
           (-0.601, -1.69e+09),
           (-0.597,  1.36e+09),
           (-0.594,  2.10e+09),
           (-0.591, -1.85e+09),
           (-0.587,  6.36e+08),
           (-0.584,  8.21e+08),
           (-0.581, -5.61e+08),
           (-0.577,  1.58e+09),
           (-0.574,  1.20e+09),
           (-0.570, -3.43e+08),
           (-0.567,  5.31e+08),
           (-0.564,  8.78e+08),
           (-0.560, -1.96e+09),
