Bolide Detection Notification: 2022-208

At 04:41:27 UT on 27 Jul 2022, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 44.8 °S, Lon 2.9 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.03e+11 watts/steradian, and total radiated flash
energy 5.33e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -2.82e+08),
           (-0.996,  1.91e+08),
           (-0.992, -5.75e+08),
           (-0.989, -1.75e+09),
           (-0.986, -3.30e+08),
           (-0.982, -9.07e+08),
           (-0.975,  4.39e+08),
           (-0.972, -6.01e+08),
           (-0.969, -5.94e+07),
           (-0.962,  5.37e+08),
           (-0.958,  1.06e+09),
           (-0.955,  1.98e+08),
           (-0.948, -1.81e+08),
           (-0.945,  9.90e+08),
           (-0.942, -4.70e+08),
           (-0.938, -4.12e+08),
           (-0.931,  1.31e+09),
           (-0.928,  4.75e+08),
           (-0.925,  1.15e+09),
           (-0.921,  1.05e+09),
           (-0.918,  3.05e+08),
           (-0.915,  8.56e+07),
           (-0.911,  9.10e+08),
           (-0.908,  4.77e+08),
           (-0.904,  8.04e+08),
           (-0.898,  6.39e+07),
           (-0.894,  1.21e+09),
           (-0.891, -4.83e+08),
           (-0.888,  8.13e+08),
           (-0.884,  5.15e+08),
           (-0.881,  1.11e+09),
           (-0.874,  9.04e+08),
           (-0.871, -2.98e+08),
           (-0.867, -2.87e+08),
           (-0.864,  2.89e+08),
           (-0.861,  1.56e+09),
           (-0.857,  6.48e+08),
           (-0.854,  9.04e+08),
           (-0.851,  5.81e+08),
           (-0.847,  5.14e+08),
           (-0.840,  6.84e+06),
           (-0.837,  2.28e+08),
           (-0.834,  1.00e+09),
           (-0.830,  2.14e+08),
           (-0.827,  2.15e+09),
           (-0.823,  1.08e+09),
           (-0.820,  2.14e+09),
           (-0.817,  1.50e+09),
           (-0.813,  1.82e+09),
           (-0.810,  1.45e+09),
           (-0.807,  1.78e+09),
           (-0.803,  1.64e+09),
           (-0.800,  1.65e+09),
           (-0.796,  4.60e+08),
           (-0.793,  2.13e+09),
           (-0.790,  1.67e+09),
           (-0.786,  3.40e+08),
           (-0.783,  1.05e+09),
           (-0.780,  7.57e+08),
           (-0.776,  9.67e+08),
           (-0.773,  2.03e+09),
           (-0.769,  1.43e+09),
           (-0.766,  1.32e+09),
           (-0.763,  1.97e+09),
           (-0.759,  1.21e+09),
           (-0.756,  1.43e+09),
           (-0.753,  1.80e+09),
           (-0.749,  2.53e+09),
           (-0.746,  2.67e+09),
           (-0.739,  2.17e+09),
           (-0.736,  3.81e+09),
           (-0.732,  3.12e+09),
           (-0.729,  1.86e+09),
           (-0.726,  3.31e+09),
           (-0.722,  2.84e+09),
           (-0.719,  1.76e+09),
           (-0.716,  2.71e+09),
           (-0.709,  3.51e+09),
           (-0.705,  2.43e+09),
           (-0.702,  2.10e+09),
           (-0.695,  3.23e+09),
           (-0.685,  4.16e+09),
           (-0.678,  3.05e+09),
           (-0.675,  3.42e+09),
           (-0.672,  2.83e+09),
           (-0.668,  3.26e+09),
           (-0.665,  4.11e+09),
           (-0.661,  3.08e+09),
           (-0.658,  1.50e+09),
           (-0.655,  2.93e+09),
           (-0.651,  3.00e+09),
           (-0.648,  3.61e+09),
           (-0.645,  3.93e+09),
           (-0.638,  2.45e+09),
           (-0.634,  3.81e+09),
           (-0.631,  3.87e+09),
           (-0.628,  2.22e+09),
           (-0.624,  3.69e+09),
           (-0.621,  3.64e+09),
           (-0.614,  2.97e+09),
           (-0.611,  3.03e+09),
           (-0.604,  4.25e+09),
           (-0.601,  2.55e+09),
           (-0.594,  3.11e+09),
           (-0.591,  2.65e+09),
           (-0.587,  4.15e+09),
           (-0.584,  3.68e+09),
           (-0.580,  3.43e+09),
           (-0.577,  5.18e+09),
           (-0.574,  2.47e+09),
           (-0.570,  3.87e+09),
           (-0.567,  3.31e+09),
           (-0.564,  3.53e+09),
           (-0.560,  4.10e+09),
           (-0.553,  2.02e+09),
           (-0.550,  4.03e+09),
           (-0.547,  3.75e+09),
           (-0.543,  2.48e+09),
           (-0.540,  3.62e+09),
           (-0.537,  2.70e+09),
           (-0.533,  3.32e+09),
           (-0.530,  5.00e+09),
           (-0.526,  4.08e+09),
           (-0.523,  4.02e+09),
           (-0.520,  3.65e+09),
           (-0.516,  3.78e+09),
           (-0.513,  3.59e+09),
           (-0.510,  3.69e+09),
           (-0.506,  3.31e+09),
           (-0.500,  4.29e+09),
           (-0.496,  4.13e+09),
           (-0.493,  3.53e+09),
           (-0.489,  4.00e+09),
           (-0.486,  3.84e+09),
           (-0.483,  4.23e+09),
           (-0.479,  4.25e+09),
           (-0.476,  3.94e+09),
           (-0.473,  2.33e+09),
           (-0.469,  4.15e+09),
           (-0.466,  4.59e+09),
           (-0.462,  3.37e+09),
           (-0.459,  3.91e+09),
           (-0.456,  3.81e+09),
           (-0.452,  4.02e+09),
           (-0.449,  3.93e+09),
           (-0.445,  4.52e+09),
           (-0.442,  4.63e+09),
           (-0.439,  4.62e+09),
           (-0.435,  4.82e+09),
           (-0.432,  3.80e+09),
           (-0.429,  5.20e+09),
           (-0.425,  4.47e+09),
           (-0.418,  4.51e+09),
           (-0.415,  3.80e+09),
           (-0.412,  3.52e+09),
           (-0.402,  4.18e+09),
           (-0.398,  2.79e+09),
           (-0.395,  3.08e+09),
           (-0.385,  4.51e+09),
           (-0.381,  3.79e+09),
           (-0.378,  4.39e+09),
           (-0.371,  4.91e+09),
           (-0.368,  4.39e+09),
           (-0.365,  4.72e+09),
           (-0.361,  4.51e+09),
           (-0.358,  5.10e+09),
           (-0.354,  3.89e+09),
           (-0.351,  4.27e+09),
           (-0.348,  5.75e+09),
           (-0.344,  4.29e+09),
           (-0.341,  5.01e+09),
           (-0.337,  5.42e+09),
           (-0.334,  4.76e+09),
           (-0.331,  5.57e+09),
           (-0.327,  4.39e+09),
           (-0.324,  4.67e+09),
           (-0.321,  3.37e+09),
           (-0.314,  4.61e+09),
           (-0.310,  3.53e+09),
           (-0.307,  4.74e+09),
           (-0.304,  4.07e+09),
           (-0.300,  2.93e+09),
           (-0.297,  2.77e+09),
           (-0.294,  3.47e+09),
           (-0.290,  4.50e+09),
           (-0.284,  2.61e+09),
           (-0.280,  3.08e+09),
           (-0.277,  2.13e+09),
           (-0.273,  3.90e+09),
           (-0.270,  3.72e+09),
           (-0.267,  3.12e+09),
           (-0.263,  3.23e+09),
           (-0.260,  3.74e+09),
           (-0.256,  2.30e+09),
           (-0.253,  3.68e+09),
           (-0.250,  3.17e+09),
           (-0.246,  1.72e+09),
           (-0.243,  2.86e+09),
           (-0.240,  3.17e+09),
           (-0.236,  3.01e+09),
           (-0.233,  2.52e+09),
           (-0.230,  3.17e+09),
           (-0.226,  2.22e+09),
           (-0.219,  2.96e+09),
           (-0.216,  2.24e+09),
           (-0.213,  3.12e+09),
           (-0.209,  2.98e+09),
           (-0.206,  2.31e+09),
           (-0.202,  2.92e+09),
           (-0.199,  2.91e+09),
           (-0.196,  2.60e+09),
           (-0.192,  3.17e+09),
           (-0.189,  2.61e+09),
           (-0.186,  3.25e+09),
           (-0.182,  2.12e+09),
           (-0.179,  4.82e+09),
           (-0.175,  3.58e+09),
           (-0.172,  3.32e+09),
           (-0.169,  3.23e+09),
           (-0.165,  3.04e+09),
           (-0.162,  3.03e+09),
           (-0.159,  4.11e+09),
           (-0.155,  4.71e+09),
           (-0.152,  2.73e+09),
           (-0.148,  2.26e+09),
           (-0.145,  4.01e+09),
           (-0.142,  3.54e+09),
           (-0.135,  4.22e+09),
           (-0.128,  3.72e+09),
           (-0.125,  2.77e+09),
           (-0.121,  4.06e+09),
           (-0.118,  4.04e+09),
           (-0.115,  3.00e+09),
