Bolide Detection Notification: 2022-363

At 06:52:08 UT on 29 Dec 2022, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 42.3 °N, Lon 92.9 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.30e+10 watts/steradian, and total radiated flash
energy 5.77e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999,  3.21e+09),
           (-0.996,  1.03e+09),
           (-0.992,  3.05e+08),
           (-0.989,  1.36e+09),
           (-0.986, -7.39e+08),
           (-0.982,  6.49e+08),
           (-0.979,  1.50e+09),
           (-0.975,  9.46e+08),
           (-0.972, -1.15e+09),
           (-0.969,  1.44e+09),
           (-0.965,  9.08e+08),
           (-0.962,  1.07e+09),
           (-0.959, -1.38e+09),
           (-0.955,  6.18e+08),
           (-0.952, -2.18e+08),
           (-0.948,  7.02e+08),
           (-0.945,  1.33e+07),
           (-0.942,  1.00e+09),
           (-0.935,  2.59e+09),
           (-0.931,  3.05e+09),
           (-0.928, -2.07e+09),
           (-0.925,  2.53e+08),
           (-0.921,  2.15e+09),
           (-0.918,  2.24e+09),
           (-0.915,  9.58e+08),
           (-0.911, -7.78e+08),
           (-0.908,  1.73e+09),
           (-0.905,  2.07e+08),
           (-0.901,  2.94e+08),
           (-0.898, -5.64e+08),
           (-0.894,  2.96e+09),
           (-0.888, -4.38e+08),
           (-0.884, -2.96e+07),
           (-0.881,  6.45e+08),
           (-0.878,  1.10e+09),
           (-0.874,  2.14e+09),
           (-0.871,  1.33e+09),
           (-0.867, -1.07e+09),
           (-0.864,  7.50e+08),
           (-0.861, -3.80e+08),
           (-0.857, -7.97e+08),
           (-0.854,  1.35e+09),
           (-0.851,  1.39e+09),
           (-0.847, -2.72e+09),
           (-0.844,  1.95e+09),
           (-0.840, -2.14e+08),
           (-0.837, -4.25e+08),
           (-0.834, -4.20e+07),
           (-0.830, -7.10e+08),
           (-0.827,  9.05e+08),
           (-0.824,  1.89e+09),
           (-0.820,  1.74e+09),
           (-0.817,  2.44e+07),
           (-0.813, -4.12e+08),
           (-0.810,  1.62e+09),
           (-0.807,  2.54e+09),
           (-0.803,  8.24e+08),
           (-0.800,  2.28e+09),
           (-0.797,  1.96e+09),
           (-0.793,  2.92e+09),
           (-0.790,  3.55e+09),
           (-0.786,  2.67e+09),
