Bolide Detection Notification: 2023-009

At 01:17:13 UT on 09 Jan 2023, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 45.7 °S, Lon 135.0 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.94e+10 watts/steradian, and total radiated flash
energy 7.14e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -8.79e+08),
           (-0.996, -5.51e+08),
           (-0.992, -8.06e+08),
           (-0.989,  3.52e+08),
           (-0.986,  2.42e+09),
           (-0.979,  6.04e+07),
           (-0.975, -1.86e+09),
           (-0.969,  1.26e+09),
           (-0.965, -9.67e+08),
           (-0.962, -3.69e+08),
           (-0.959,  8.42e+08),
           (-0.955,  6.69e+08),
           (-0.952, -9.90e+08),
           (-0.948, -1.54e+09),
           (-0.945,  7.64e+07),
           (-0.942,  1.52e+08),
           (-0.938,  1.25e+09),
           (-0.935,  8.40e+08),
           (-0.931, -1.10e+09),
           (-0.928, -3.95e+08),
           (-0.925,  1.41e+09),
           (-0.921, -5.46e+08),
           (-0.918,  8.43e+07),
           (-0.915,  9.03e+07),
           (-0.911, -8.40e+07),
           (-0.908, -9.75e+08),
           (-0.905,  1.03e+09),
           (-0.901, -1.06e+09),
           (-0.898,  7.74e+08),
           (-0.894,  4.39e+08),
           (-0.891,  1.67e+09),
           (-0.888, -7.58e+08),
           (-0.884, -1.74e+09),
           (-0.881, -1.52e+09),
           (-0.878,  8.45e+08),
           (-0.874, -1.49e+09),
           (-0.871,  7.42e+08),
           (-0.867, -7.77e+08),
           (-0.864, -1.12e+09),
           (-0.861,  5.93e+08),
           (-0.857, -5.14e+08),
           (-0.854, -1.33e+09),
           (-0.851,  9.91e+08),
           (-0.847,  2.45e+08),
           (-0.844,  2.82e+08),
           (-0.840, -1.60e+09),
           (-0.837, -2.65e+08),
           (-0.834,  1.61e+08),
           (-0.830,  1.31e+09),
           (-0.827,  2.81e+08),
           (-0.824, -5.62e+08),
           (-0.820, -5.33e+08),
           (-0.817,  2.74e+09),
           (-0.813, -1.10e+09),
           (-0.810, -8.87e+08),
           (-0.807,  1.65e+09),
           (-0.803, -7.65e+08),
           (-0.800,  9.57e+08),
           (-0.797,  9.78e+08),
           (-0.793, -8.98e+08),
           (-0.790, -1.36e+09),
           (-0.786, -1.67e+09),
           (-0.780, -2.31e+08),
           (-0.773, -6.38e+08),
           (-0.770, -3.81e+08),
           (-0.766, -1.63e+09),
           (-0.763,  2.21e+08),
           (-0.759, -1.28e+09),
           (-0.756,  1.84e+08),
           (-0.753,  5.11e+08),
           (-0.749,  3.58e+08),
           (-0.746,  7.13e+07),
           (-0.743, -2.78e+08),
           (-0.739,  7.52e+07),
           (-0.736, -7.91e+08),
           (-0.732, -7.02e+08),
           (-0.729,  1.57e+09),
           (-0.726, -5.95e+08),
           (-0.722, -1.49e+09),
           (-0.719, -8.93e+08),
           (-0.716, -1.39e+08),
           (-0.712, -3.48e+08),
           (-0.709, -7.39e+06),
           (-0.705, -2.27e+09),
           (-0.702,  7.07e+08),
           (-0.699, -6.20e+08),
           (-0.695, -7.57e+08),
           (-0.692, -7.55e+08),
           (-0.689, -3.53e+08),
           (-0.685, -2.13e+09),
           (-0.682,  4.15e+08),
           (-0.678, -1.63e+09),
           (-0.675, -1.36e+09),
           (-0.672, -6.76e+08),
           (-0.668,  1.03e+09),
           (-0.665,  5.71e+08),
           (-0.662, -1.19e+09),
           (-0.658, -9.36e+08),
           (-0.655, -8.59e+08),
           (-0.651,  1.10e+09),
           (-0.648,  1.20e+08),
           (-0.645, -1.45e+09),
           (-0.641,  4.12e+08),
           (-0.638, -7.15e+08),
           (-0.635,  7.79e+07),
           (-0.631, -8.58e+08),
           (-0.628, -1.57e+09),
           (-0.624,  7.57e+08),
           (-0.621, -1.92e+09),
           (-0.618, -5.92e+08),
           (-0.614, -7.12e+08),
           (-0.611,  3.15e+08),
           (-0.608, -1.11e+09),
           (-0.604, -2.86e+08),
           (-0.601, -1.50e+09),
           (-0.594, -4.27e+08),
           (-0.591, -2.11e+09),
           (-0.587,  3.63e+08),
           (-0.584, -6.92e+07),
           (-0.581, -2.20e+09),
           (-0.577, -6.59e+08),
           (-0.574,  1.46e+09),
           (-0.570, -1.25e+09),
           (-0.567, -1.85e+09),
           (-0.564,  3.09e+08),
           (-0.560, -1.32e+09),
           (-0.557, -6.89e+08),
           (-0.553, -1.56e+09),
           (-0.550, -2.91e+08),
           (-0.547, -8.33e+08),
           (-0.543,  5.75e+08),
           (-0.540,  3.30e+08),
           (-0.537, -7.49e+08),
           (-0.533, -2.44e+09),
           (-0.530,  4.40e+08),
           (-0.527, -8.11e+08),
           (-0.523,  1.06e+08),
           (-0.520, -2.92e+08),
           (-0.516, -1.16e+09),
           (-0.513, -1.42e+09),
           (-0.503,  1.24e+09),
           (-0.500, -1.76e+09),
           (-0.496,  1.10e+09),
           (-0.493,  9.92e+07),
           (-0.489, -1.09e+09),
           (-0.486,  9.54e+08),
           (-0.483,  1.03e+09),
           (-0.479, -1.50e+08),
           (-0.476,  3.62e+08),
           (-0.472, -1.17e+09),
           (-0.469,  5.48e+08),
           (-0.466, -1.70e+09),
           (-0.462, -8.87e+08),
           (-0.459, -6.37e+08),
           (-0.456, -2.92e+08),
           (-0.452,  1.15e+09),
           (-0.449, -2.63e+07),
           (-0.446,  1.14e+09),
           (-0.442, -7.60e+08),
           (-0.439,  6.23e+08),
           (-0.435, -5.73e+08),
           (-0.432,  1.05e+09),
           (-0.429,  1.04e+09),
           (-0.425, -1.55e+09),
           (-0.422,  3.88e+08),
           (-0.418,  1.25e+09),
           (-0.415,  6.86e+08),
           (-0.412, -9.99e+08),
           (-0.408,  8.31e+08),
           (-0.405,  9.36e+08),
           (-0.402, -1.62e+09),
           (-0.398, -1.79e+09),
           (-0.395, -5.36e+07),
           (-0.392,  5.82e+08),
           (-0.388, -5.70e+08),
           (-0.385,  8.68e+08),
           (-0.381, -1.62e+08),
