Bolide Detection Notification: 2023-011

At 23:59:50 UT on 11 Jan 2023, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 31.5 °N, Lon 18.6 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.01e+10 watts/steradian, and total radiated flash
energy 3.94e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999,  9.25e+08),
           (-0.996,  6.05e+08),
           (-0.992, -2.46e+08),
           (-0.989,  7.79e+08),
           (-0.986,  7.78e+08),
           (-0.982,  2.99e+09),
           (-0.979,  1.12e+09),
           (-0.975,  8.99e+08),
           (-0.972,  4.29e+07),
           (-0.969, -3.58e+08),
           (-0.965, -1.60e+08),
           (-0.962,  7.40e+08),
           (-0.959, -2.28e+08),
           (-0.955, -7.93e+08),
           (-0.952, -8.15e+08),
           (-0.948,  1.98e+09),
           (-0.945,  1.84e+09),
           (-0.942,  1.38e+09),
           (-0.938,  5.55e+08),
           (-0.935,  5.67e+08),
           (-0.931,  8.31e+07),
           (-0.928,  1.52e+09),
           (-0.925, -6.03e+08),
           (-0.921,  1.37e+09),
           (-0.918,  1.42e+09),
           (-0.915,  3.78e+08),
           (-0.911, -3.22e+08),
           (-0.908, -1.89e+08),
           (-0.905, -1.07e+08),
           (-0.901,  1.28e+09),
           (-0.898,  1.62e+09),
           (-0.894,  4.58e+08),
           (-0.891, -4.26e+08),
           (-0.888,  1.39e+09),
           (-0.884, -6.21e+08),
           (-0.881, -2.36e+08),
           (-0.878,  8.70e+08),
           (-0.874,  2.23e+08),
           (-0.871, -5.32e+08),
           (-0.867, -4.29e+08),
           (-0.864,  9.48e+08),
           (-0.861,  2.52e+08),
           (-0.857, -7.82e+07),
           (-0.854,  1.23e+09),
           (-0.851,  5.08e+08),
           (-0.847,  1.14e+09),
           (-0.844, -3.50e+08),
           (-0.840,  7.83e+08),
           (-0.837,  1.28e+09),
           (-0.834, -6.17e+08),
           (-0.830,  1.68e+09),
           (-0.827,  8.59e+08),
           (-0.824,  1.83e+09),
           (-0.820,  1.43e+09),
           (-0.817, -1.74e+08),
           (-0.813,  2.23e+09),
           (-0.810,  1.03e+09),
           (-0.807,  3.98e+08),
           (-0.803,  4.20e+08),
           (-0.800, -1.72e+08),
           (-0.797,  3.27e+08),
           (-0.793,  1.32e+09),
           (-0.790,  4.43e+08),
           (-0.786,  7.58e+08),
           (-0.783,  8.16e+08),
           (-0.780,  1.15e+09),
           (-0.776,  2.43e+09),
           (-0.773,  1.90e+09),
           (-0.770,  2.67e+09),
           (-0.766,  2.10e+09),
           (-0.763,  9.60e+08),
           (-0.759,  1.69e+09),
           (-0.756, -4.97e+08),
           (-0.753, -1.03e+09),
           (-0.749,  8.88e+08),
           (-0.746,  1.22e+09),
           (-0.743,  5.41e+08),
           (-0.739,  2.06e+08),
           (-0.736,  7.89e+08),
           (-0.732,  1.16e+09),
           (-0.729,  1.61e+09),
           (-0.726,  4.20e+08),
           (-0.722,  5.58e+08),
           (-0.719,  2.18e+09),
           (-0.716,  4.14e+08),
           (-0.712,  1.66e+09),
           (-0.709, -5.71e+08),
           (-0.702,  2.27e+09),
           (-0.699,  1.83e+09),
           (-0.695,  2.24e+08),
           (-0.692,  2.35e+08),
           (-0.689,  1.98e+09),
           (-0.685,  1.04e+09),
           (-0.682,  1.67e+09),
           (-0.678,  6.96e+08),
           (-0.675,  1.02e+09),
           (-0.672,  8.16e+08),
           (-0.668,  1.96e+09),
           (-0.665,  2.13e+08),
           (-0.662,  1.28e+09),
           (-0.658,  1.47e+09),
           (-0.655,  7.65e+08),
           (-0.651,  8.02e+08),
           (-0.648,  1.19e+09),
           (-0.645, -4.62e+08),
           (-0.641,  1.99e+09),
           (-0.638,  2.03e+08),
           (-0.635,  7.79e+08),
           (-0.631, -1.11e+09),
           (-0.628, -5.60e+08),
           (-0.624, -3.38e+08),
           (-0.621,  5.20e+08),
           (-0.618, -1.72e+08),
           (-0.614, -2.44e+08),
           (-0.611,  6.44e+06),
           (-0.608, -3.40e+09),
           (-0.604, -5.34e+08),
           (-0.601, -1.81e+09),
           (-0.597, -1.80e+08),
           (-0.594,  2.66e+09),
           (-0.591,  5.59e+07),
           (-0.587,  1.26e+09),
           (-0.584, -1.16e+09),
           (-0.581,  4.13e+07),
           (-0.577, -4.09e+08),
           (-0.574, -1.39e+09),
           (-0.570, -2.13e+09),
           (-0.567, -1.73e+09),
           (-0.564,  7.76e+08),
