Bolide Detection Notification: 2023-062

At 02:53:54 UT on 03 Mar 2023, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 40.1 °N, Lon 87.4 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.53e+10 watts/steradian, and total radiated flash
energy 6.42e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999,  8.78e+08),
           (-0.996, -1.57e+09),
           (-0.992,  8.62e+08),
           (-0.989,  1.39e+08),
           (-0.986,  1.24e+09),
           (-0.982, -9.71e+08),
           (-0.979,  1.61e+09),
           (-0.975,  1.12e+09),
           (-0.972,  5.30e+08),
           (-0.969, -1.73e+09),
           (-0.965,  7.17e+08),
           (-0.959,  2.35e+07),
           (-0.955,  2.87e+08),
           (-0.952,  1.52e+09),
           (-0.948, -4.41e+08),
           (-0.945, -1.27e+09),
           (-0.942, -8.19e+08),
           (-0.938,  2.06e+09),
           (-0.935, -5.07e+08),
           (-0.931, -5.38e+08),
           (-0.928,  9.80e+08),
           (-0.925,  7.02e+08),
           (-0.921, -1.34e+09),
           (-0.918,  1.27e+09),
           (-0.915, -5.83e+08),
           (-0.911, -1.57e+09),
           (-0.908,  3.84e+07),
           (-0.905,  1.33e+09),
           (-0.901,  1.05e+09),
           (-0.898,  1.23e+08),
           (-0.894, -4.47e+08),
           (-0.891,  4.78e+08),
           (-0.888, -9.41e+08),
           (-0.884, -6.93e+08),
           (-0.881,  2.24e+09),
           (-0.878, -1.30e+09),
           (-0.874,  2.16e+09),
           (-0.871, -1.24e+09),
           (-0.867, -7.85e+08),
           (-0.864,  1.82e+09),
           (-0.861,  1.70e+08),
           (-0.857,  3.81e+08),
           (-0.854, -4.55e+08),
           (-0.851,  4.36e+08),
           (-0.847,  3.70e+08),
           (-0.844, -5.60e+08),
           (-0.840, -3.20e+08),
           (-0.837,  7.74e+08),
           (-0.834, -9.52e+08),
           (-0.830,  8.71e+08),
           (-0.824, -1.29e+09),
           (-0.820,  1.09e+09),
           (-0.817,  1.49e+09),
           (-0.813, -1.39e+09),
           (-0.810,  5.27e+08),
           (-0.807,  2.45e+08),
           (-0.803,  2.99e+07),
           (-0.800,  1.48e+09),
           (-0.797, -7.12e+08),
           (-0.793, -7.63e+08),
           (-0.790, -1.23e+09),
           (-0.786,  7.75e+08),
           (-0.783,  1.25e+09),
           (-0.780, -3.36e+08),
           (-0.776, -1.65e+09),
           (-0.773,  3.15e+09),
           (-0.770, -8.43e+08),
           (-0.766,  4.15e+08),
           (-0.763,  1.17e+09),
           (-0.759,  2.48e+09),
           (-0.756, -1.46e+09),
           (-0.753, -7.30e+08),
           (-0.749,  7.77e+08),
           (-0.746, -4.83e+08),
           (-0.743, -5.12e+08),
           (-0.739,  2.81e+09),
           (-0.736,  1.54e+08),
           (-0.732,  1.50e+09),
           (-0.729,  1.19e+08),
           (-0.726,  2.92e+08),
           (-0.722, -2.23e+08),
           (-0.719,  1.56e+09),
           (-0.716,  2.69e+09),
           (-0.712,  9.89e+08),
           (-0.709,  1.30e+08),
           (-0.705,  1.55e+09),
           (-0.702,  2.16e+09),
           (-0.699,  2.04e+09),
           (-0.695, -1.03e+09),
           (-0.692,  7.12e+08),
           (-0.689, -3.08e+08),
           (-0.685,  1.25e+09),
           (-0.682,  9.54e+08),
           (-0.678,  2.39e+09),
           (-0.675,  5.98e+08),
           (-0.672,  1.40e+09),
           (-0.668,  2.41e+09),
           (-0.665,  1.08e+09),
           (-0.662,  1.56e+09),
           (-0.658,  5.09e+07),
           (-0.655,  2.62e+08),
           (-0.651,  2.19e+09),
           (-0.648,  3.26e+09),
           (-0.645, -8.67e+08),
           (-0.641,  8.26e+08),
           (-0.638,  1.16e+09),
           (-0.635,  1.14e+09),
           (-0.631, -1.18e+08),
           (-0.628,  2.58e+09),
           (-0.624,  6.50e+08),
           (-0.621,  2.37e+09),
           (-0.618,  2.37e+09),
           (-0.614,  1.34e+08),
           (-0.611, -4.82e+08),
           (-0.608,  7.18e+08),
           (-0.604,  1.36e+09),
           (-0.601,  1.64e+09),
           (-0.594,  3.73e+09),
           (-0.591,  2.65e+09),
           (-0.587,  2.03e+09),
           (-0.584,  2.98e+09),
           (-0.581,  2.08e+09),
           (-0.577,  1.25e+08),
           (-0.574,  3.35e+08),
           (-0.570,  4.70e+08),
           (-0.567,  2.08e+09),
           (-0.564,  1.37e+09),
           (-0.560,  1.69e+09),
           (-0.557,  2.10e+09),
           (-0.553,  4.82e+09),
           (-0.550,  3.20e+09),
           (-0.547,  3.38e+09),
           (-0.540,  1.24e+09),
           (-0.537,  9.83e+08),
           (-0.533,  2.67e+09),
           (-0.530,  1.17e+09),
           (-0.527,  2.39e+09),
           (-0.523,  1.42e+09),
           (-0.520,  1.56e+09),
           (-0.516,  2.37e+09),
           (-0.513,  2.78e+09),
           (-0.510,  2.65e+09),
           (-0.506,  4.38e+08),
           (-0.503,  2.38e+09),
           (-0.496,  1.99e+09),
           (-0.493,  3.24e+09),
           (-0.489,  4.84e+09),
           (-0.486,  3.95e+09),
           (-0.483,  6.66e+09),
           (-0.479,  3.93e+09),
           (-0.476,  4.56e+09),
           (-0.472,  5.01e+09),
           (-0.469,  2.71e+09),
           (-0.466,  1.85e+09),
           (-0.462,  3.39e+09),
           (-0.459,  4.03e+09),
           (-0.456,  2.16e+09),
           (-0.452,  3.71e+09),
           (-0.449,  3.13e+09),
           (-0.446,  3.89e+09),
           (-0.442,  1.78e+09),
           (-0.439,  1.27e+09),
           (-0.435,  9.95e+08),
           (-0.432,  3.31e+09),
           (-0.429,  2.32e+09),
           (-0.425,  1.73e+09),
           (-0.422,  2.92e+09),
           (-0.418,  3.46e+09),
           (-0.415,  6.29e+09),
           (-0.412,  7.42e+09),
           (-0.408,  5.20e+09),
           (-0.405,  3.99e+09),
           (-0.402,  3.74e+09),
           (-0.398,  4.69e+09),
