Bolide Detection Notification: 2023-136

At 23:28:50 UT on 16 May 2023, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 2.8S, Lon 53.0W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 5.52e+09 watts/steradian, and total radiated flash
energy 3.06e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-2.997, -1.16e+09),
           (-2.994,  4.84e+08),
           (-2.990,  1.08e+09),
           (-2.987, -4.16e+08),
           (-2.984,  6.36e+08),
           (-2.980, -1.00e+09),
           (-2.977,  3.91e+08),
           (-2.973,  9.62e+08),
           (-2.970,  1.37e+09),
           (-2.967,  1.26e+09),
           (-2.963,  7.05e+08),
           (-2.960,  9.15e+08),
           (-2.953,  2.03e+09),
           (-2.950,  1.79e+08),
           (-2.943,  5.74e+08),
           (-2.936, -3.27e+07),
           (-2.933,  5.02e+08),
           (-2.929,  1.18e+09),
           (-2.926,  8.65e+08),
           (-2.923, -4.73e+08),
           (-2.919, -6.31e+08),
           (-2.916,  4.56e+08),
           (-2.913,  1.74e+08),
           (-2.909,  1.28e+08),
           (-2.906,  2.53e+08),
           (-2.903,  1.01e+09),
           (-2.899, -3.55e+08),
           (-2.896, -5.44e+08),
           (-2.892, -3.20e+08),
           (-2.889,  1.83e+08),
           (-2.886, -5.27e+06),
           (-2.882, -7.19e+08),
           (-2.879, -1.90e+08),
           (-2.876,  1.34e+09),
           (-2.872, -3.62e+08),
           (-2.869,  4.53e+08),
           (-2.865,  6.04e+08),
           (-2.862, -2.37e+08),
           (-2.859,  6.69e+07),
           (-2.855, -3.73e+08),
           (-2.852,  2.90e+08),
           (-2.849,  2.76e+08),
           (-2.845, -4.54e+08),
           (-2.842, -2.84e+08),
           (-2.838,  4.96e+08),
           (-2.835, -5.22e+08),
           (-2.832, -8.79e+08),
           (-2.828,  1.81e+08),
           (-2.825, -3.19e+08),
           (-2.822,  2.12e+08),
           (-2.818,  4.73e+08),
           (-2.815, -1.06e+09),
           (-2.811, -4.05e+08),
           (-2.808, -1.14e+09),
           (-2.805, -7.13e+08),
           (-2.801, -6.24e+08),
           (-2.798, -1.47e+09),
           (-2.795, -1.36e+09),
           (-2.791, -1.67e+09),
           (-2.788, -1.00e+09),
           (-2.781,  9.97e+08),
           (-2.778, -1.74e+09),
           (-2.774, -3.92e+08),
           (-2.771, -6.06e+08),
           (-2.768,  1.32e+08),
           (-2.764, -1.08e+09),
           (-2.761,  7.26e+08),
           (-2.757,  4.23e+08),
           (-2.754,  5.00e+08),
           (-2.751, -1.56e+09),
           (-2.747, -5.28e+07),
           (-2.744,  6.14e+08),
           (-2.740, -9.90e+08),
           (-2.737,  8.73e+08),
           (-2.730,  2.95e+08),
           (-2.727,  1.10e+09),
           (-2.724, -2.58e+08),
           (-2.720,  5.43e+06),
           (-2.717,  6.96e+08),
           (-2.714, -1.07e+08),
           (-2.707,  7.26e+08),
           (-2.703,  1.12e+08),
           (-2.700,  3.11e+08),
           (-2.697,  3.06e+08),
           (-2.693, -1.17e+08),
           (-2.687,  6.25e+07),
           (-2.683,  3.78e+08),
           (-2.680, -6.87e+08),
           (-2.676,  7.10e+08),
           (-2.673, -1.41e+09),
           (-2.670, -6.76e+08),
           (-2.666,  6.34e+08),
           (-2.663,  4.68e+08),
           (-2.660, -3.91e+08),
           (-2.656,  3.20e+08),
           (-2.653,  3.82e+08),
           (-2.649,  6.96e+07),
           (-2.646,  2.80e+08),
           (-2.643,  9.05e+08),
           (-2.639, -6.06e+08),
           (-2.636,  7.92e+08),
           (-2.633, -5.98e+08),
           (-2.629, -1.70e+08),
           (-2.626,  6.56e+08),
           (-2.622,  9.63e+08),
           (-2.619,  1.63e+07),
           (-2.616, -4.41e+08),
           (-2.612,  4.00e+08),
           (-2.609,  8.40e+08),
           (-2.606, -3.15e+08),
           (-2.602, -4.30e+08),
           (-2.599,  3.66e+08),
           (-2.595,  6.12e+08),
           (-2.592, -5.40e+08),
           (-2.589, -6.11e+08),
           (-2.585, -1.80e+08),
           (-2.582, -1.57e+08),
           (-2.575,  3.85e+08),
           (-2.572, -3.72e+08),
           (-2.568, -4.23e+08),
           (-2.565, -3.67e+08),
           (-2.562, -2.34e+08),
           (-2.558,  4.31e+08),
           (-2.555, -4.87e+08),
           (-2.551,  9.53e+08),
           (-2.548, -1.24e+09),
           (-2.538,  1.10e+09),
           (-2.535,  5.37e+08),
           (-2.531, -9.59e+08),
           (-2.528, -8.10e+08),
           (-2.525,  2.34e+08),
           (-2.521, -1.41e+09),
           (-2.518,  1.25e+09),
           (-2.514,  7.10e+08),
           (-2.511, -2.39e+08),
           (-2.508,  3.14e+08),
           (-2.504,  2.21e+08),
           (-2.501, -3.77e+08),
           (-2.498, -7.76e+08),
           (-2.494, -6.43e+08),
           (-2.491, -1.09e+09),
           (-2.487, -1.42e+08),
           (-2.484, -1.39e+08),
           (-2.481, -1.99e+09),
           (-2.477,  7.14e+08),
           (-2.474, -1.77e+09),
           (-2.471, -1.71e+09),
           (-2.467,  2.30e+07),
           (-2.464, -2.18e+08),
           (-2.460, -7.48e+08),
           (-2.457, -2.26e+08),
           (-2.454, -3.66e+08),
           (-2.450, -1.30e+09),
           (-2.447, -6.61e+08),
           (-2.444, -1.08e+09),
           (-2.440, -1.67e+09),
           (-2.437, -3.54e+08),
           (-2.433, -1.43e+09),
           (-2.430, -1.10e+09),
           (-2.427, -2.54e+08),
           (-2.423, -1.52e+09),
           (-2.420, -7.31e+08),
           (-2.417,  5.28e+08),
           (-2.413, -2.01e+09),
           (-2.410, -7.73e+08),
           (-2.406, -4.64e+08),
           (-2.403, -1.24e+09),
           (-2.400, -2.10e+08),
           (-2.396, -6.01e+08),
           (-2.393, -4.80e+08),
           (-2.389, -1.97e+09),
           (-2.386,  4.28e+07),
           (-2.383, -6.19e+08),
           (-2.379, -9.76e+08),
           (-2.376, -2.17e+09),
           (-2.373, -3.56e+08),
           (-2.369, -1.38e+09),
           (-2.366, -1.59e+09),
           (-2.359, -4.35e+07),
           (-2.356, -8.56e+08),
           (-2.352, -1.38e+09),
           (-2.349, -7.88e+08),
           (-2.346, -1.24e+09),
           (-2.342, -9.40e+07),
           (-2.339, -9.86e+08),
           (-2.336, -6.83e+08),
           (-2.332, -1.22e+09),
           (-2.329, -7.64e+08),
           (-2.325,  1.41e+08),
           (-2.322, -9.15e+08),
           (-2.319, -1.10e+09),
           (-2.315, -3.89e+08),
           (-2.312, -8.05e+08),
           (-2.309,  2.17e+08),
           (-2.305, -2.29e+08),
           (-2.302, -1.16e+09),
           (-2.298,  1.02e+08),
           (-2.295,  5.00e+08),
           (-2.292, -5.20e+08),
           (-2.288, -2.56e+08),
           (-2.285, -1.46e+09),
           (-2.282, -6.57e+08),
           (-2.278, -8.60e+08),
           (-2.275, -2.88e+08),
           (-2.271,  8.69e+07),
           (-2.268,  7.66e+08),
           (-2.265, -5.34e+08),
           (-2.261, -4.53e+08),
           (-2.258,  9.32e+08),
           (-2.255,  1.36e+08),
           (-2.251, -3.66e+08),
           (-2.248, -9.26e+07),
           (-2.244, -5.42e+08),
           (-2.241, -7.48e+08),
           (-2.238, -1.40e+09),
           (-2.234,  8.37e+08),
           (-2.231, -2.79e+08),
           (-2.228, -8.61e+08),
           (-2.224, -1.87e+09),
           (-2.221, -8.82e+08),
           (-2.217, -3.58e+08),
           (-2.214, -1.22e+09),
           (-2.211,  1.14e+08),
           (-2.207, -5.93e+08),
           (-2.204, -1.05e+09),
           (-2.201, -4.07e+08),
           (-2.197, -2.85e+08),
           (-2.194, -1.30e+09),
           (-2.190, -1.92e+09),
           (-2.187, -3.13e+08),
           (-2.184,  2.12e+08),
           (-2.180, -2.87e+08),
           (-2.177, -1.17e+09),
           (-2.174, -1.30e+09),
           (-2.167, -5.68e+08),
           (-2.163, -7.53e+08),
           (-2.160, -1.99e+09),
           (-2.153, -3.05e+07),
           (-2.150, -1.46e+09),
           (-2.147, -6.21e+08),
           (-2.143, -6.43e+08),
           (-2.140, -2.34e+09),
           (-2.136, -2.18e+07),
           (-2.133, -1.37e+09),
           (-2.130, -1.41e+09),
           (-2.126, -1.33e+09),
           (-2.123,  1.75e+08),
           (-2.116, -1.55e+09),
           (-2.113,  2.28e+08),
           (-2.109, -7.77e+08),
           (-2.106, -2.13e+09),
           (-2.099, -3.38e+08),
           (-2.096, -1.77e+08),
           (-2.093, -4.53e+08),
           (-2.089, -1.05e+09),
           (-2.086, -1.83e+09),
           (-2.082,  2.09e+08),
           (-2.079, -1.06e+09),
           (-2.076, -7.57e+08),
           (-2.072, -1.90e+09),
           (-2.069, -1.58e+09),
           (-2.066, -2.20e+08),
           (-2.062, -1.95e+09),
           (-2.059, -9.66e+08),
           (-2.052, -1.46e+09),
           (-2.049, -6.64e+08),
           (-2.045, -1.16e+09),
           (-2.042, -8.69e+08),
           (-2.039, -1.32e+09),
           (-2.035, -6.18e+08),
           (-2.032, -5.05e+08),
           (-2.028, -7.03e+08),
           (-2.025, -3.71e+08),
           (-2.022, -6.18e+08),
           (-2.018, -7.06e+08),
           (-2.015, -1.13e+09),
           (-2.011, -1.18e+09),
           (-2.008, -2.08e+09),
           (-2.005, -7.70e+08),
           (-2.001, -8.04e+08),
           (-1.998, -1.32e+09),
           (-1.995,  3.55e+08),
           (-1.991, -5.05e+08),
           (-1.988, -2.12e+09),
           (-1.985, -5.14e+07),
           (-1.981, -8.93e+08),
           (-1.978, -8.18e+08),
           (-1.974, -2.48e+09),
           (-1.971, -2.05e+09),
           (-1.968,  7.18e+07),
           (-1.964,  1.08e+08),
           (-1.961, -1.84e+09),
           (-1.954, -1.78e+08),
           (-1.951, -9.67e+08),
           (-1.947, -7.31e+08),
           (-1.944, -1.12e+09),
           (-1.941, -1.98e+09),
           (-1.937, -1.27e+09),
           (-1.931, -9.22e+08),
           (-1.924, -6.42e+08),
           (-1.920, -1.44e+09),
           (-1.917, -1.50e+09),
           (-1.914,  3.85e+08),
           (-1.910, -7.62e+08),
           (-1.907, -1.38e+09),
           (-1.904, -9.81e+08),
           (-1.900, -1.31e+08),
           (-1.897, -2.65e+08),
           (-1.893,  1.03e+07),
           (-1.890,  2.16e+08),
           (-1.887,  2.21e+08),
           (-1.883, -7.01e+07),
           (-1.880,  3.11e+07),
           (-1.877,  5.51e+08),
           (-1.873,  7.71e+08),
           (-1.870, -2.78e+08),
           (-1.863,  1.42e+08),
           (-1.860, -1.62e+07),
           (-1.856,  1.46e+09),
           (-1.853,  2.24e+09),
           (-1.850,  3.27e+08),
           (-1.846,  1.30e+08),
           (-1.843,  8.83e+08),
           (-1.839,  1.15e+09),
           (-1.836,  2.32e+09),
           (-1.833,  1.46e+09),
           (-1.829,  1.01e+09),
           (-1.826,  1.67e+08),
           (-1.819,  1.20e+09),
           (-1.816,  3.08e+08),
           (-1.812,  1.95e+09),
           (-1.809,  1.45e+09),
           (-1.806,  1.63e+09),
           (-1.802,  1.38e+09),
           (-1.799,  8.38e+08),
           (-1.796,  1.28e+09),
           (-1.792,  2.69e+09),
           (-1.789,  1.45e+08),
           (-1.782,  1.23e+09),
           (-1.779,  2.05e+09),
           (-1.775,  2.13e+09),
           (-1.772,  2.31e+09),
           (-1.769,  9.71e+08),
           (-1.765,  3.89e+08),
           (-1.762,  1.50e+09),
           (-1.758,  2.19e+09),
           (-1.755,  6.41e+08),
           (-1.752,  1.55e+09),
           (-1.748,  1.98e+09),
           (-1.745,  2.24e+09),
           (-1.742,  2.02e+09),
           (-1.738,  1.34e+09),
           (-1.735,  2.39e+09),
           (-1.731,  2.46e+09),
           (-1.728,  2.87e+09),
           (-1.725,  4.00e+09),
           (-1.721,  2.72e+09),
           (-1.718,  2.49e+09),
           (-1.715,  1.55e+09),
           (-1.711,  2.24e+09),
           (-1.708,  2.45e+09),
           (-1.704,  3.58e+09),
           (-1.701,  1.95e+09),
           (-1.698,  3.31e+09),
           (-1.694,  2.50e+09),
           (-1.691,  2.13e+09),
           (-1.688,  1.98e+09),
           (-1.684,  2.60e+09),
           (-1.681,  2.04e+09),
           (-1.677,  2.15e+09),
           (-1.674,  2.34e+09),
           (-1.671,  3.46e+09),
