Bolide Detection Notification: 2002-332

At 15:41:53 UT on 28 Nov 2002, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was not determined.

Based upon the visible-light intensity-time signature, peak 1.5E10 watts/steradian,
and  total radiated flash energy 4.6E10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots  below. On the intensity-time plot, one count on vertical axis corresponds to
2.35E8  watts/steradian. On the integrated intensity plot, one count represents
2.96E9 joules  radiated energy.

Peak Intensity = 1.50e+10 watts/steradian
Total Energy   = 4.67e+10 joules

Intensity=[
(-0.597,-1.46e+08),
(-0.594,-5.38e+08),
(-0.591,-5.59e+08),
(-0.587, 3.88e+08),
(-0.584, 5.61e+08),
(-0.580, 2.48e+08),
(-0.577,-1.82e+08),
(-0.574,-1.33e+08),
(-0.570,-2.24e+08),
(-0.567, 5.41e+08),
(-0.564, 3.89e+08),
(-0.560,-2.68e+08),
(-0.557,-1.74e+08),
(-0.554,-3.58e+08),
(-0.550,-3.70e+08),
(-0.547, 2.11e+08),
(-0.543, 4.96e+08),
(-0.540, 6.98e+08),
(-0.537,-7.38e+07),
(-0.533,-4.28e+08),
(-0.530,-4.49e+08),
(-0.526, 4.54e+08),
(-0.523, 7.00e+08),
(-0.520,-2.33e+08),
(-0.516,-5.99e+08),
(-0.513,-1.25e+08),
(-0.510, 3.24e+08),
(-0.506, 1.28e+08),
(-0.503,-6.29e+08),
(-0.500,-2.75e+08),
(-0.496,-4.21e+07),
(-0.493,-1.99e+08),
(-0.489,-6.35e+08),
(-0.486,-4.36e+08),
(-0.483,-3.58e+07),
(-0.479,-6.67e+08),
(-0.476,-1.03e+09),
(-0.472,-5.97e+08),
(-0.469, 5.94e+08),
(-0.466, 2.14e+08),
(-0.462, 1.88e+08),
(-0.459, 6.21e+08),
(-0.456, 2.51e+08),
(-0.452,-7.57e+08),
(-0.449,-1.04e+08),
(-0.446,-4.54e+08),
(-0.442,-7.16e+08),
(-0.439,-1.27e+09),
(-0.435,-8.23e+08),
(-0.432,-7.91e+08),
(-0.429,-4.05e+08),
(-0.425,-3.49e+08),
(-0.422,-5.02e+08),
(-0.418,-1.15e+09),
(-0.415,-7.90e+08),
(-0.412,-2.81e+08),
(-0.408, 5.30e+08),
(-0.405, 6.74e+08),
(-0.402, 3.27e+08),
(-0.398,-1.99e+07),
(-0.395, 8.18e+07),
(-0.392,-3.41e+08),
(-0.388,-3.83e+08),
(-0.385,-4.64e+08),
(-0.381,-1.51e+08),
(-0.378, 5.54e+07),
(-0.375,-4.89e+08),
(-0.371,-3.80e+07),
(-0.368, 4.91e+08),
(-0.364,-3.64e+08),
(-0.361,-4.57e+08),
(-0.358,-1.83e+07),
(-0.354,-1.11e+09),
(-0.351,-1.16e+09),
(-0.348,-5.04e+08),
(-0.344,-1.71e+08),
(-0.341, 3.78e+08),
(-0.338, 1.04e+08),
(-0.334,-1.46e+08),
(-0.331, 7.64e+07),
(-0.327, 3.20e+07),
(-0.324,-5.17e+08),
(-0.321, 5.15e+08),
(-0.317, 4.34e+08),
(-0.314,-8.79e+08),
(-0.310,-8.59e+08),
(-0.307,-6.35e+07),
(-0.304, 1.67e+08),
(-0.300, 6.03e+07),
(-0.297,-4.14e+07),
(-0.294, 3.63e+08),
(-0.290, 6.14e+08),
(-0.287, 1.67e+08),
(-0.284,-7.91e+07),
(-0.280,-2.52e+08),
(-0.277,-1.71e+08),
(-0.273, 1.48e+08),
(-0.270, 6.43e+08),
(-0.267, 2.53e+08),
(-0.263, 1.82e+08),
(-0.260, 1.02e+08),
(-0.256,-1.56e+08),
(-0.253,-4.00e+08),
(-0.250, 3.58e+07),
(-0.246,-3.29e+08),
(-0.243, 1.40e+08),
(-0.240, 9.36e+08),
(-0.236, 4.35e+08),
(-0.233,-4.57e+07),
(-0.230,-3.12e+08),
(-0.226, 2.36e+07),
(-0.223,-1.85e+08),
(-0.219,-6.09e+08),
(-0.216,-5.61e+08),
(-0.213, 1.31e+08),
(-0.209, 4.58e+08),
(-0.206,-7.25e+06),
(-0.202,-4.78e+07),
(-0.199,-1.29e+08),
(-0.196,-5.91e+08),
(-0.192,-6.55e+08),
(-0.189,-8.04e+08),
(-0.186,-4.79e+08),
(-0.182,-6.97e+07),
(-0.179,-4.29e+08),
(-0.176,-3.10e+08),
(-0.172, 1.12e+08),
(-0.169, 1.90e+08),
(-0.165, 4.47e+08),
(-0.162, 1.57e+08),
(-0.159, 9.98e+08),
(-0.155, 9.60e+08),
(-0.152, 1.62e+09),
(-0.148, 1.28e+09),
(-0.145, 7.87e+08),
(-0.142, 6.31e+08),
(-0.138, 9.57e+08),
(-0.135, 7.98e+08),
(-0.132, 4.27e+08),
(-0.128, 8.97e+07),
(-0.125, 8.70e+08),
(-0.122, 5.59e+08),
(-0.118, 7.47e+08),
(-0.115, 1.05e+09),
(-0.111, 9.64e+08),
(-0.108, 9.95e+08),
(-0.105, 1.25e+09),
(-0.101, 4.34e+08),
(-0.098, 6.96e+08),
(-0.094, 4.01e+08),
(-0.091, 8.39e+08),
(-0.088, 1.80e+09),
(-0.084, 1.67e+09),
(-0.081, 1.55e+09),
(-0.078, 1.66e+09),
(-0.074, 9.51e+08),
(-0.071, 9.46e+08),
(-0.068, 1.33e+09),
(-0.064, 2.00e+09),
(-0.061, 1.68e+09),
(-0.057, 1.35e+09),
(-0.054, 7.24e+08),
(-0.051, 9.77e+08),
(-0.047, 1.89e+09),
(-0.044, 1.78e+09),
(-0.040, 1.88e+09),
(-0.037, 2.18e+09),
(-0.034, 1.95e+09),
(-0.030, 1.27e+09),
(-0.027, 1.79e+09),
(-0.024, 2.93e+09),
(-0.020, 2.90e+09),
(-0.017, 3.52e+09),
(-0.014, 3.40e+09),
(-0.010, 3.31e+09),
(-0.007, 2.82e+09),
(-0.003, 2.59e+09),
( 0.000, 2.91e+09),
( 0.003, 2.67e+09),
