Bolide Detection Notification: 2017-248

At 05:11:27 UT on 05 Sep 2017, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 49.3 °N, Lon 116.9 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 9.14e+09 watts/steradian, and total radiated flash
energy 3.90e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.597,  4.26e+08),
           (-0.594,  2.81e+07),
           (-0.591,  7.11e+08),
           (-0.587,  4.59e+08),
           (-0.584,  8.56e+08),
           (-0.581,  3.22e+08),
           (-0.577,  7.35e+07),
           (-0.574,  1.15e+08),
           (-0.567,  1.24e+09),
           (-0.564,  1.05e+09),
           (-0.560,  1.47e+09),
           (-0.554,  8.70e+08),
           (-0.550, -5.28e+07),
           (-0.547,  8.65e+08),
           (-0.543,  3.57e+08),
           (-0.540,  1.45e+07),
           (-0.537,  7.21e+08),
           (-0.533,  7.53e+08),
           (-0.530,  2.20e+08),
           (-0.527,  1.98e+09),
           (-0.523,  1.77e+08),
           (-0.520,  1.81e+08),
           (-0.516,  5.12e+08),
           (-0.513,  1.76e+09),
           (-0.510,  1.41e+09),
           (-0.506,  9.06e+08),
           (-0.503,  1.21e+09),
           (-0.500,  6.78e+08),
           (-0.496,  1.06e+09),
           (-0.493,  1.11e+09),
           (-0.489,  1.53e+09),
           (-0.486,  1.69e+09),
           (-0.483,  1.37e+09),
           (-0.479,  1.43e+08),
           (-0.476,  2.23e+09),
           (-0.473,  1.42e+09),
           (-0.469,  8.81e+08),
           (-0.466,  1.63e+09),
           (-0.462, -2.95e+08),
           (-0.459,  8.66e+08),
           (-0.456, -1.72e+08),
           (-0.452,  9.66e+08),
           (-0.449,  1.13e+09),
           (-0.446,  2.94e+08),
           (-0.442,  9.80e+08),
           (-0.439,  5.30e+08),
           (-0.435,  9.56e+08),
           (-0.432,  1.24e+08),
           (-0.429,  1.25e+09),
           (-0.425,  2.40e+08),
           (-0.422,  1.39e+08),
           (-0.419,  1.24e+09),
           (-0.415,  3.22e+08),
           (-0.412,  1.34e+09),
           (-0.408,  4.58e+08),
           (-0.405,  1.15e+09),
           (-0.402, -1.41e+08),
           (-0.398,  2.69e+08),
           (-0.395,  1.14e+09),
           (-0.392,  1.68e+09),
           (-0.388,  4.67e+08),
           (-0.385,  1.38e+09),
           (-0.381,  1.59e+09),
           (-0.378,  1.48e+09),
           (-0.375,  1.71e+09),
           (-0.371,  8.75e+08),
           (-0.368,  1.00e+09),
           (-0.365,  1.29e+09),
           (-0.361,  4.34e+08),
           (-0.358,  8.68e+08),
           (-0.354,  9.56e+08),
           (-0.351, -1.23e+09),
           (-0.348,  9.98e+08),
           (-0.344,  9.59e+08),
           (-0.341,  8.31e+08),
           (-0.338,  8.05e+08),
           (-0.334,  9.19e+08),
           (-0.331,  9.16e+07),
           (-0.327,  1.29e+09),
           (-0.324,  1.38e+08),
           (-0.321,  7.06e+07),
           (-0.317,  5.32e+08),
           (-0.314,  3.76e+08),
           (-0.307,  1.62e+08),
           (-0.304,  1.88e+08),
           (-0.300,  1.84e+08),
           (-0.297, -2.23e+07),
           (-0.294,  1.55e+08),
           (-0.290,  9.29e+06),
           (-0.287, -1.62e+08),
           (-0.284, -2.07e+08),
           (-0.280,  5.10e+08),
           (-0.277,  1.11e+08),
           (-0.273, -1.17e+09),
           (-0.270,  1.28e+08),
           (-0.267,  4.96e+08),
           (-0.263, -4.77e+08),
           (-0.257,  7.31e+08),
           (-0.253, -2.56e+08),
           (-0.250,  1.22e+09),
           (-0.246, -1.64e+08),
           (-0.243, -6.60e+08),
           (-0.240,  4.34e+08),
           (-0.236, -7.48e+08),
           (-0.233,  1.69e+08),
           (-0.230,  1.96e+08),
           (-0.226, -1.92e+08),
           (-0.223,  5.78e+08),
           (-0.219, -1.09e+09),
           (-0.216,  6.24e+08),
           (-0.213, -7.22e+08),
           (-0.209, -3.55e+08),
           (-0.206, -1.11e+09),
           (-0.203, -1.22e+08),
           (-0.199,  1.41e+08),
           (-0.196,  2.64e+08),
           (-0.192, -5.95e+08),
           (-0.186,  4.70e+08),
           (-0.182,  6.64e+08),
           (-0.179,  5.04e+08),
           (-0.176,  6.78e+08),
           (-0.172,  9.51e+08),
           (-0.169,  8.87e+08),
           (-0.165,  1.72e+08),
           (-0.162,  4.85e+08),
           (-0.159,  1.16e+09),
           (-0.155,  2.85e+08),
           (-0.152,  9.63e+08),
           (-0.149,  1.30e+09),
           (-0.145,  1.10e+09),
           (-0.142,  9.87e+08),
           (-0.138,  1.07e+09),
           (-0.135,  1.65e+08),
           (-0.132,  4.63e+08),
           (-0.125,  1.39e+09),
           (-0.122,  4.37e+08),
           (-0.118,  3.25e+08),
           (-0.115,  3.20e+08),
           (-0.111,  1.98e+09),
           (-0.108,  1.24e+08),
           (-0.105,  8.89e+08),
           (-0.101,  3.58e+08),
           (-0.098,  4.35e+08),
           (-0.095,  2.04e+09),
           (-0.091,  1.84e+09),
           (-0.088,  1.10e+09),
           (-0.084,  1.03e+08),
           (-0.081,  1.45e+09),
           (-0.078,  1.78e+09),
           (-0.074,  5.35e+08),
           (-0.071,  3.17e+09),
           (-0.068,  2.41e+09),
           (-0.064,  2.20e+09),
           (-0.061,  2.61e+09),
           (-0.057,  2.87e+09),
           (-0.054,  2.56e+09),
           (-0.051,  4.68e+09),
           (-0.047,  3.12e+09),
           (-0.044,  3.96e+09),
           (-0.041,  3.35e+09),
           (-0.037,  3.93e+09),
           (-0.034,  4.22e+09),
           (-0.030,  4.11e+09),
           (-0.027,  3.47e+09),
           (-0.024,  4.44e+09),
           (-0.020,  1.60e+09),
           (-0.017,  4.38e+09),
           (-0.014,  2.59e+09),
           (-0.010,  3.93e+09),
           (-0.007,  4.10e+09),
           (-0.003,  3.72e+09),
           (-0.000,  4.31e+09),
           ( 0.003,  3.59e+09),
           ( 0.007,  4.69e+09),
           ( 0.010,  4.18e+09),
           ( 0.013,  3.99e+09),
           ( 0.017,  5.18e+09),
           ( 0.020,  5.00e+09),
           ( 0.024,  5.47e+09),
           ( 0.027,  4.63e+09),
           ( 0.034,  5.84e+09),
           ( 0.037,  4.63e+09),
           ( 0.040,  4.63e+09),
           ( 0.044,  4.49e+09),
           ( 0.047,  5.08e+09),
           ( 0.051,  5.32e+09),
           ( 0.054,  6.46e+09),
           ( 0.057,  6.85e+09),
           ( 0.061,  5.98e+09),
           ( 0.064,  7.95e+09),
           ( 0.067,  7.78e+09),
           ( 0.071,  7.98e+09),
           ( 0.074,  6.47e+09),
           ( 0.078,  8.60e+09),
           ( 0.081,  7.86e+09),
           ( 0.084,  9.14e+09),
           ( 0.088,  7.92e+09),
           ( 0.091,  6.91e+09),
           ( 0.094,  7.39e+09),
           ( 0.098,  8.56e+09),
           ( 0.101,  6.67e+09),
           ( 0.105,  5.85e+09),
           ( 0.108,  6.99e+09),
           ( 0.111,  6.29e+09),
           ( 0.115,  6.54e+09),
           ( 0.118,  6.59e+09),
           ( 0.121,  6.54e+09),
           ( 0.125,  6.84e+09),
           ( 0.128,  6.18e+09),
           ( 0.132,  6.78e+09),
           ( 0.135,  6.43e+09),
           ( 0.138,  5.46e+09),
           ( 0.142,  7.45e+09),
           ( 0.145,  5.36e+09),
           ( 0.148,  4.37e+09),
           ( 0.152,  5.08e+09),
           ( 0.155,  3.90e+09),
           ( 0.159,  6.35e+09),
           ( 0.162,  4.74e+09),
           ( 0.169,  5.50e+09),
           ( 0.172,  4.74e+09),
           ( 0.175,  5.92e+09),
           ( 0.179,  4.57e+09),
           ( 0.182,  5.02e+09),
           ( 0.186,  4.55e+09),
           ( 0.189,  5.51e+09),
           ( 0.192,  4.79e+09),
           ( 0.196,  4.66e+09),
           ( 0.199,  4.19e+09),
           ( 0.202,  3.02e+09),
           ( 0.206,  3.66e+09),
           ( 0.209,  3.44e+09),
           ( 0.213,  2.98e+09),
           ( 0.216,  3.47e+09),
           ( 0.219,  2.08e+09),
           ( 0.223,  3.09e+09),
           ( 0.226,  2.99e+09),
           ( 0.229,  2.35e+09),
           ( 0.233,  3.71e+09),
           ( 0.236,  4.09e+09),
           ( 0.240,  2.68e+09),
           ( 0.243,  1.48e+09),
           ( 0.246,  1.80e+09),
           ( 0.250,  2.16e+09),
           ( 0.253,  2.85e+09),
           ( 0.256,  2.45e+09),
           ( 0.260,  1.91e+09),
           ( 0.263,  3.34e+09),
           ( 0.267,  1.57e+09),
           ( 0.270,  1.56e+09),
           ( 0.273,  2.23e+09),
           ( 0.277,  2.52e+09),
           ( 0.280,  3.34e+09),
           ( 0.283,  3.57e+09),
           ( 0.287,  3.15e+09),
           ( 0.290,  3.29e+09),
           ( 0.294,  2.47e+09),
           ( 0.297,  2.31e+09),
           ( 0.300,  2.34e+09),
           ( 0.304,  1.76e+09),
           ( 0.307,  2.32e+09),
           ( 0.310,  2.52e+09),
           ( 0.314,  2.07e+09),
           ( 0.317,  1.88e+09),
           ( 0.321,  2.28e+09),
           ( 0.324,  9.59e+08),
           ( 0.327,  1.51e+09),
           ( 0.331,  2.62e+09),
           ( 0.334,  1.33e+09),
           ( 0.337,  3.60e+09),
           ( 0.341,  1.83e+09),
           ( 0.344,  1.98e+09),
           ( 0.348,  2.26e+09),
           ( 0.351,  1.21e+09),
           ( 0.354,  6.92e+08),
           ( 0.358,  2.74e+09),
           ( 0.361,  3.35e+09),
           ( 0.364,  2.11e+09),
           ( 0.368,  2.14e+09),
           ( 0.371,  3.63e+09),
           ( 0.375,  2.14e+09),
           ( 0.378,  4.03e+09),
           ( 0.381,  3.86e+09),
           ( 0.385,  3.83e+09),
           ( 0.388,  3.06e+09),
           ( 0.391,  3.63e+09),
           ( 0.395,  4.45e+09),
           ( 0.398,  5.90e+09),
           ( 0.402,  5.73e+09),
           ( 0.405,  5.81e+09),
           ( 0.408,  6.23e+09),
           ( 0.412,  5.84e+09),
           ( 0.415,  4.90e+09),
           ( 0.418,  4.98e+09),
           ( 0.422,  5.50e+09),
           ( 0.425,  4.45e+09),
           ( 0.429,  4.00e+09),
           ( 0.432,  5.30e+09),
           ( 0.435,  4.41e+09),
           ( 0.439,  4.17e+09),
           ( 0.442,  5.21e+09),
           ( 0.445,  4.90e+09),
           ( 0.452,  3.59e+09),
           ( 0.456,  3.76e+09),
           ( 0.459,  3.45e+09),
           ( 0.462,  4.32e+09),
           ( 0.466,  2.90e+09),
           ( 0.469,  4.33e+09),
           ( 0.472,  3.66e+09),
           ( 0.476,  4.18e+09),
           ( 0.479,  3.88e+09),
           ( 0.483,  3.37e+09),
           ( 0.486,  3.29e+09),
           ( 0.489,  2.47e+09),
           ( 0.493,  2.59e+09),
           ( 0.496,  2.46e+09),
           ( 0.499,  2.90e+09),
           ( 0.503,  2.16e+09),
           ( 0.506,  2.09e+09),
           ( 0.513,  3.04e+09),
