Bolide Detection Notification: 2018-153

At 16:44:12 UT on 02 Jun 2018, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 21.2 °S, Lon 23.3 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.27e+11 watts/steradian, and total radiated flash
energy 3.46e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.618,  1.42e+09),
           (-0.614,  2.39e+08),
           (-0.611, -1.69e+08),
           (-0.607, -2.44e+08),
           (-0.604,  1.31e+08),
           (-0.601,  1.98e+09),
           (-0.597,  5.02e+08),
           (-0.594, -7.62e+08),
           (-0.591, -3.00e+08),
           (-0.587,  7.55e+08),
           (-0.584,  4.18e+08),
           (-0.581,  1.49e+09),
           (-0.574, -3.34e+08),
           (-0.570, -5.99e+08),
           (-0.567,  5.06e+07),
           (-0.564,  1.38e+09),
           (-0.560, -5.23e+08),
           (-0.557,  6.64e+08),
           (-0.553, -1.58e+08),
           (-0.550,  7.93e+08),
           (-0.547,  3.71e+08),
           (-0.543,  7.66e+08),
           (-0.540,  4.14e+08),
           (-0.537, -9.90e+08),
           (-0.533,  1.14e+09),
           (-0.530, -2.24e+08),
           (-0.523,  1.03e+09),
           (-0.520,  1.73e+09),
           (-0.516,  1.16e+09),
           (-0.513,  1.76e+09),
           (-0.510,  3.32e+09),
           (-0.506,  3.07e+09),
           (-0.503,  4.58e+09),
           (-0.500,  4.36e+09),
           (-0.496,  4.52e+09),
           (-0.493,  3.63e+09),
           (-0.489,  2.10e+09),
           (-0.486,  2.28e+09),
           (-0.483,  1.22e+09),
           (-0.479,  1.80e+09),
           (-0.476,  2.61e+09),
           (-0.473,  2.03e+09),
           (-0.469,  3.58e+09),
           (-0.466,  2.33e+09),
           (-0.462, -2.81e+08),
           (-0.459,  4.45e+08),
           (-0.456,  1.96e+09),
           (-0.452,  1.53e+09),
           (-0.449,  1.23e+09),
           (-0.445,  1.21e+09),
           (-0.442,  1.81e+09),
           (-0.439,  1.80e+09),
           (-0.435, -7.78e+08),
           (-0.432,  1.83e+09),
           (-0.429,  2.15e+09),
           (-0.425,  1.94e+09),
           (-0.422,  7.46e+08),
           (-0.418,  1.48e+09),
           (-0.415,  8.46e+08),
           (-0.412,  4.23e+08),
           (-0.408,  8.74e+08),
           (-0.405, -7.68e+08),
           (-0.402,  1.72e+09),
           (-0.395, -4.63e+08),
           (-0.392, -5.84e+08),
           (-0.388,  1.23e+09),
           (-0.385,  1.91e+09),
           (-0.381,  1.40e+08),
           (-0.378,  1.67e+09),
           (-0.375,  2.46e+07),
           (-0.371,  2.59e+09),
           (-0.364, -3.91e+08),
           (-0.361, -1.28e+09),
           (-0.358,  7.61e+08),
           (-0.354, -2.71e+07),
           (-0.351,  2.16e+07),
           (-0.348,  7.79e+08),
           (-0.344,  9.13e+08),
           (-0.341,  6.44e+08),
           (-0.337,  1.51e+09),
           (-0.334,  3.00e+08),
           (-0.331,  1.20e+09),
           (-0.327,  2.27e+09),
           (-0.324,  2.90e+09),
           (-0.321,  2.61e+09),
           (-0.317,  5.72e+09),
           (-0.314,  5.32e+09),
           (-0.311,  7.40e+09),
           (-0.307,  8.48e+09),
           (-0.304,  9.11e+09),
           (-0.300,  9.41e+09),
           (-0.297,  8.26e+09),
           (-0.294,  1.20e+10),
           (-0.290,  1.35e+10),
           (-0.287,  1.57e+10),
           (-0.284,  1.66e+10),
           (-0.280,  1.90e+10),
           (-0.277,  1.94e+10),
           (-0.273,  2.15e+10),
           (-0.270,  2.43e+10),
           (-0.263,  2.55e+10),
           (-0.260,  2.69e+10),
           (-0.256,  2.86e+10),
           (-0.253,  2.98e+10),
           (-0.250,  2.95e+10),
           (-0.246,  2.94e+10),
           (-0.243,  3.23e+10),
           (-0.240,  3.33e+10),
           (-0.236,  3.42e+10),
           (-0.233,  3.35e+10),
           (-0.229,  3.44e+10),
           (-0.226,  3.43e+10),
           (-0.223,  3.72e+10),
           (-0.219,  3.68e+10),
           (-0.216,  4.05e+10),
           (-0.213,  4.10e+10),
           (-0.209,  4.00e+10),
           (-0.206,  3.95e+10),
           (-0.203,  4.24e+10),
           (-0.199,  4.07e+10),
           (-0.196,  4.33e+10),
           (-0.192,  4.44e+10),
           (-0.189,  4.39e+10),
           (-0.186,  4.63e+10),
           (-0.182,  4.95e+10),
           (-0.179,  5.10e+10),
           (-0.175,  5.19e+10),
           (-0.172,  5.37e+10),
           (-0.165,  6.10e+10),
           (-0.162,  6.63e+10),
           (-0.159,  6.76e+10),
           (-0.155,  7.38e+10),
           (-0.152,  7.67e+10),
           (-0.145,  8.61e+10),
           (-0.142,  8.91e+10),
           (-0.138,  9.40e+10),
           (-0.135,  9.75e+10),
           (-0.132,  9.97e+10),
           (-0.128,  1.04e+11),
           (-0.125,  1.06e+11),
           (-0.122,  1.08e+11),
           (-0.118,  1.12e+11),
           (-0.115,  1.16e+11),
           (-0.111,  1.18e+11),
           (-0.105,  1.25e+11),
           (-0.101,  1.27e+11),
           (-0.098,  1.25e+11),
           (-0.095,  1.24e+11),
           (-0.091,  1.23e+11),
           (-0.088,  1.21e+11),
           (-0.084,  1.21e+11),
           (-0.081,  1.22e+11),
           (-0.078,  1.21e+11),
           (-0.074,  1.21e+11),
           (-0.071,  1.15e+11),
           (-0.067,  1.14e+11),
           (-0.064,  1.13e+11),
           (-0.061,  1.13e+11),
           (-0.057,  1.09e+11),
           (-0.054,  1.06e+11),
           (-0.051,  1.01e+11),
           (-0.047,  9.95e+10),
           (-0.044,  9.48e+10),
           (-0.040,  9.21e+10),
           (-0.037,  8.66e+10),
           (-0.034,  8.30e+10),
           (-0.030,  8.11e+10),
           (-0.027,  8.03e+10),
           (-0.020,  7.40e+10),
           (-0.017,  7.14e+10),
           (-0.014,  6.98e+10),
           (-0.010,  6.88e+10),
           (-0.007,  6.45e+10),
           (-0.003,  6.10e+10),
           (-0.000,  5.89e+10),
           ( 0.003,  5.81e+10),
           ( 0.007,  5.44e+10),
           ( 0.010,  5.29e+10),
           ( 0.014,  5.11e+10),
           ( 0.017,  4.72e+10),
           ( 0.020,  4.73e+10),
           ( 0.024,  4.32e+10),
           ( 0.027,  4.26e+10),
           ( 0.030,  4.16e+10),
           ( 0.034,  3.96e+10),
           ( 0.037,  3.98e+10),
           ( 0.041,  3.96e+10),
           ( 0.047,  3.65e+10),
           ( 0.051,  3.42e+10),
           ( 0.054,  3.24e+10),
           ( 0.057,  3.11e+10),
           ( 0.061,  3.37e+10),
           ( 0.064,  3.14e+10),
           ( 0.067,  3.21e+10),
           ( 0.071,  3.31e+10),
           ( 0.078,  3.14e+10),
           ( 0.081,  3.03e+10),
