,packed_desig,year,obs
301000093,K0536,C2006,r4811G96
301000094,K0536,C2006,r4811G96
301000095,K0536,C2006,r4811G96
301000096,K0536,C2006,r4811G96
301000114,K0536,C2008,~01Kq703
301000115,K0536,C2008,~01Kq703
301000116,K0536,C2008,~01Kq703
301000117,K0536,C2008,~01Kq703
301000118,K0536,C2008,~01KqG96
301000119,K0536,C2008,~01KqG96
301000120,K0536,C2008,~01KqG96
301000121,K0536,C2008,~01KqG96
301000139,K0536,C2008,~01v3G96
301000140,K0536,C2008,~01v3G96
301000141,K0536,C2008,~01v3G96
301000142,K0536,C2008,~01v3G96
301000143,K0536,C2008,~02HPG96
301000144,K0536,C2008,~02HPG96
301000145,K0536,C2008,~02HPG96
301000146,K0536,C2008,~02HPG96
301000147,K0536,C2008,~02ak703
301000148,K0536,C2008,~02ak703
301000149,K0536,C2008,~02ak703
301000150,K0536,C2008,~02ak703
301000151,K0536,C2008,~032YG96
301000152,K0536,C2008,~032YG96
301000153,K0536,C2008,~032YG96
301000154,K0536,C2008,~032YG96
301000173,K0536,C2010,~0G8r703
301000174,K0536,C2010,~0G8r703
301000175,K0536,C2010,~0G8r703
301000176,K0536,C2010,~0G8r703
301000182,K0536,C2010,~0Ig1703
301000183,K0536,C2010,~0Ig1703
301000184,K0536,C2010,~0Ig1703
301000185,K0536,C2010,~0Ig1703
301000225,K0536,C2012,~0k9eG96
301000226,K0536,C2012,~0k9eG96
301000227,K0536,C2012,~0k9eG96
301000228,K0536,C2012,~0k9eG96
301000249,K0536,C2012,~0l8s703
301000250,K0536,C2012,~0l8s703
301000251,K0536,C2012,~0l8s703
301000252,K0536,C2012,~0l8s703
301000767,K0537,C2005,m4848703
301000769,K0537,C2005,m4848703
301000771,K0537,C2005,m4848703
301000772,K0537,C2005,m4848703
301000773,K0537,C2005,m4848703
301000774,K0537,C2005,m4848703
301000775,K0537,C2005,m4848703
301000776,K0537,C2005,m4848703
301000777,K0537,C2005,m5616703
301000778,K0537,C2005,m5616703
301000779,K0537,C2005,m5616703
301000780,K0537,C2005,m5616703
301000794,K0537,C2008,~007yG96
301000795,K0537,C2008,~007yG96
301000796,K0537,C2008,~007yG96
301000800,K0537,C2008,~01KqG96
301000801,K0537,C2008,~01KrG96
301000802,K0537,C2008,~01KrG96
301000803,K0537,C2008,~01KrG96
301000887,K0537,C2011,~0WaNG96
301000888,K0537,C2011,~0WaNG96
301000889,K0537,C2011,~0WaNG96
301000890,K0537,C2011,~0WaNG96
301000912,K0537,C2012,~0mlX703
301000913,K0537,C2012,~0mlX703
301000914,K0537,C2012,~0mlX703
301000915,K0537,C2012,~0mlX703
301000916,K0537,C2012,~0mlX703
301000917,K0537,C2012,~0mlXG96
301000918,K0537,C2012,~0mlXG96
301000919,K0537,C2012,~0mlXG96
301000920,K0537,C2012,~0mlXG96
301000921,K0537,C2012,~0mlXG96
301000930,K0537,C2012,~0n14703
301000931,K0537,C2012,~0n14703
301000932,K0537,C2012,~0n15703
301000933,K0537,C2012,~0n15703
301001463,K0538,C2005,m6341703
301001464,K0538,C2005,m6341703
301001465,K0538,C2005,m6341703
301001466,K0538,C2005,m6341703
301001467,K0538,C2005,m6341703
301001468,K0538,C2005,m6341703
301001469,K0538,C2005,m6341703
301001470,K0538,C2005,m6341703
301001471,K0538,C2008,z9098G96
301001472,K0538,C2008,z9098G96
301001473,K0538,C2008,z9098G96
301001474,K0538,C2008,z9098G96
301001475,K0538,C2008,~00mfG96
301001476,K0538,C2008,~00mfG96
301001477,K0538,C2008,~00mfG96
301001478,K0538,C2008,~00mfG96
301001483,K0538,C2008,~01Kr703
301001484,K0538,C2008,~01Kr703
