,number,provisional_desig,year,obs
80667,,K00S74V,2005,G96
80668,,K00S74V,2005,G96
80669,,K00S74V,2005,G96
80670,,K00S74V,2005,G96
80682,,K00S74V,2005,G96
80683,,K00S74V,2005,G96
80684,,K00S74V,2005,G96
80685,,K00S74V,2005,G96
80707,,K00S74V,2005,G96
80709,,K00S74V,2005,G96
80710,,K00S74V,2005,G96
80712,,K00S74V,2005,G96
114327,,K02J050,2006,703
114328,,K02J050,2006,703
114329,,K02J050,2006,703
114330,,K02J050,2006,703
114334,,K02J050,2006,703
114335,,K02J050,2006,703
114336,,K02J050,2006,703
114337,,K02J050,2006,703
126856,,K02T070,2005,703
126857,,K02T070,2005,703
126858,,K02T070,2005,703
126859,,K02T070,2005,703
130648,,K02V94Q,2006,703
130649,,K02V94Q,2006,703
130650,,K02V94Q,2006,703
130651,,K02V94Q,2006,703
130895,,K02V94Q,2007,703
130896,,K02V94Q,2007,703
130897,,K02V94Q,2007,703
130898,,K02V94Q,2007,703
130902,,K02V94Q,2007,703
130903,,K02V94Q,2007,703
130904,,K02V94Q,2007,703
130905,,K02V94Q,2007,703
130968,,K02V94Q,2007,703
130969,,K02V94Q,2007,703
130970,,K02V94Q,2007,703
130971,,K02V94Q,2007,703
131070,,K02V94Q,2007,703
131071,,K02V94Q,2007,703
131072,,K02V94Q,2007,703
131073,,K02V94Q,2007,703
131138,,K02V94Q,2008,703
131139,,K02V94Q,2008,703
131140,,K02V94Q,2008,703
131141,,K02V94Q,2008,703
131239,,K02V94Q,2008,703
131240,,K02V94Q,2008,703
131241,,K02V94Q,2008,703
131276,,K02V94Q,2009,703
131277,,K02V94Q,2009,703
131278,,K02V94Q,2009,703
131279,,K02V94Q,2009,703
131286,,K02V94Q,2009,G96
131287,,K02V94Q,2009,G96
131288,,K02V94Q,2009,G96
131289,,K02V94Q,2009,G96
131329,,K02V94Q,2010,G96
131330,,K02V94Q,2010,G96
131331,,K02V94Q,2010,G96
131332,,K02V94Q,2010,G96
131336,,K02V94Q,2010,G96
131337,,K02V94Q,2010,G96
131338,,K02V94Q,2010,G96
131339,,K02V94Q,2010,G96
146024,,K03K040,2005,703
146025,,K03K040,2005,703
146026,,K03K040,2005,703
146027,,K03K040,2005,703
146146,,K03K040,2005,703
146147,,K03K040,2005,703
146148,,K03K040,2005,703
146149,,K03K040,2005,703
146188,,K03K040,2005,703
146189,,K03K040,2005,703
146190,,K03K040,2005,703
146191,,K03K040,2005,703
146232,,K03K040,2005,703
146233,,K03K040,2005,703
146234,,K03K040,2005,703
146235,,K03K040,2005,703
146294,,K03K040,2005,703
146295,,K03K040,2005,703
146296,,K03K040,2005,703
146297,,K03K040,2005,703
146305,,K03K040,2005,703
146306,,K03K040,2005,703
146307,,K03K040,2005,703
146308,,K03K040,2005,703
146407,,K03K040,2006,703
146408,,K03K040,2006,703
146409,,K03K040,2006,703
146410,,K03K040,2006,703
146478,,K03K040,2006,703
146479,,K03K040,2006,703
146480,,K03K040,2006,703
146481,,K03K040,2006,703
146492,,K03K040,2006,703
146493,,K03K040,2006,703
146494,,K03K040,2006,703
146495,,K03K040,2006,703
148626,,K03O010,2005,703
148627,,K03O010,2005,703
148628,,K03O010,2005,703
148629,,K03O010,2005,703
148641,,K03O010,2005,703
148642,,K03O010,2005,703
148643,,K03O010,2005,703
148644,,K03O010,2005,703
148655,,K03O010,2005,703
148656,,K03O010,2005,703
148657,,K03O010,2005,703
148658,,K03O010,2005,703
148725,,K03O010,2005,703
148726,,K03O010,2005,703
148727,,K03O010,2005,703
148728,,K03O010,2005,703
148729,,K03O010,2005,703
148730,,K03O010,2005,703
148731,,K03O010,2005,703
148732,,K03O010,2005,703
151554,,K03T030,2005,703
151555,,K03T030,2005,703
151556,,K03T030,2005,703
151557,,K03T030,2005,703
151583,,K03T030,2005,703
151584,,K03T030,2005,703
151585,,K03T030,2005,703
151586,,K03T030,2005,703
151600,,K03T030,2005,703
151601,,K03T030,2005,703
151602,,K03T030,2005,703
151603,,K03T030,2005,703
151618,,K03T030,2005,703
151619,,K03T030,2005,703
151620,,K03T030,2005,703
151621,,K03T030,2005,703
156528,,K03W42T,2006,703
156529,,K03W42T,2006,703
156530,,K03W42T,2006,703
156531,,K03W42T,2006,703
157768,,K03W42T,2007,703
157769,,K03W42T,2007,703
157770,,K03W42T,2007,703
157771,,K03W42T,2007,703
157978,,K03W42T,2007,703
157979,,K03W42T,2007,703
157980,,K03W42T,2007,703
157981,,K03W42T,2007,703
158068,,K03W42T,2008,G96
158069,,K03W42T,2008,G96
158070,,K03W42T,2008,G96
158071,,K03W42T,2008,G96
159062,,K04B010,2005,703
159063,,K04B010,2005,703
159064,,K04B010,2005,703
159065,,K04B010,2005,703
159066,,K04B010,2005,703
159067,,K04B010,2005,703
159068,,K04B010,2005,703
159069,,K04B010,2005,703
160635,,K04B010,2007,703
160636,,K04B010,2007,703
160676,,K04B010,2007,703
160677,,K04B010,2007,703
160678,,K04B010,2007,703
160679,,K04B010,2007,703
160823,,K04B010,2007,703
160824,,K04B010,2007,703
160825,,K04B010,2007,703
160826,,K04B010,2007,703
161817,,K04D010,2006,703
161818,,K04D010,2006,703
161819,,K04D010,2006,703
161820,,K04D010,2006,703
161914,,K04D010,2007,703
161915,,K04D010,2007,703
161916,,K04D010,2007,703
161917,,K04D010,2007,703
161918,,K04D010,2007,703
161919,,K04D010,2007,703
161920,,K04D010,2007,703
161921,,K04D010,2007,703
161922,,K04D010,2007,703
161923,,K04D010,2007,703
161924,,K04D010,2007,703
161942,,K04D010,2007,703
161943,,K04D010,2007,703
161944,,K04D010,2007,703
161945,,K04D010,2007,703
164902,,K04K010,2005,703
164903,,K04K010,2005,703
164904,,K04K010,2005,703
164905,,K04K010,2005,703
165042,,K04K010,2005,703
165043,,K04K010,2005,703
165044,,K04K010,2005,703
165045,,K04K010,2005,703
165519,,K04K010,2006,703
165520,,K04K010,2006,703
165521,,K04K010,2006,703
165522,,K04K010,2006,703
165666,,K04K010,2006,703
165667,,K04K010,2006,703
165668,,K04K010,2006,703
165669,,K04K010,2006,703
165677,,K04K010,2006,703
165678,,K04K010,2006,703
165679,,K04K010,2006,703
165680,,K04K010,2006,703
165685,,K04K010,2006,703
165686,,K04K010,2006,703
165687,,K04K010,2006,703
165688,,K04K010,2006,703
165694,,K04K010,2006,703
165695,,K04K010,2006,703
165696,,K04K010,2006,703
165697,,K04K010,2006,703
165704,,K04K010,2006,703
165705,,K04K010,2006,703
165706,,K04K010,2006,703
165707,,K04K010,2006,703
165712,,K04K010,2006,G96
165713,,K04K010,2006,G96
165714,,K04K010,2006,G96
165715,,K04K010,2007,G96
165716,,K04K010,2007,G96
165717,,K04K010,2007,703
165718,,K04K010,2007,703
165719,,K04K010,2007,703
165720,,K04K010,2007,703
165721,,K04K010,2007,G96
165722,,K04K010,2007,G96
165723,,K04K010,2007,G96
165724,,K04K010,2007,G96
165725,,K04K010,2007,G96
165726,,K04K010,2007,G96
165727,,K04K010,2007,G96
165728,,K04K010,2007,G96
166352,,K04L010,2005,703
166353,,K04L010,2005,703
166354,,K04L010,2005,703
166355,,K04L010,2005,703
166700,,K04L020,2006,703
166701,,K04L020,2006,703
166702,,K04L020,2006,703
166737,,K04L020,2007,703
166738,,K04L020,2007,703
166739,,K04L020,2007,703
166740,,K04L020,2007,703
170023,,K04Q010,2006,703
170024,,K04Q010,2006,703
170025,,K04Q010,2006,703
170026,,K04Q010,2006,703
170027,,K04Q010,2006,703
170028,,K04Q010,2006,703
170029,,K04Q010,2006,703
170030,,K04Q010,2006,703
173025,,K04Q020,2005,703
173026,,K04Q020,2005,703
173027,,K04Q020,2005,703
173028,,K04Q020,2005,703
173229,,K04Q020,2005,703
173230,,K04Q020,2005,703
173231,,K04Q020,2005,703
173232,,K04Q020,2005,703
173590,,K04Q020,2006,703
173591,,K04Q020,2006,703
173592,,K04Q020,2006,703
173593,,K04Q020,2006,703
173610,,K04Q020,2006,703
173611,,K04Q020,2006,703
173612,,K04Q020,2006,703
173613,,K04Q020,2006,703
173640,,K04Q020,2006,703
173641,,K04Q020,2006,703
173642,,K04Q020,2006,703
173643,,K04Q020,2006,703
174784,,K04RB3G,2005,703
174785,,K04RB3G,2005,703
174786,,K04RB3G,2005,703
174787,,K04RB3G,2005,703
174794,,K04RB3G,2005,703
174795,,K04RB3G,2005,703
174796,,K04RB3G,2005,703
