,packed_desig,year,obs
124000973,34676,C2005,o2002703
124000974,34676,C2005,o2002703
124000975,34676,C2005,o2002703
124000976,34676,C2005,o2002703
124000993,34676,C2007,w5692G96
124000994,34676,C2007,w5692G96
124000995,34676,C2007,w5692G96
124000996,34676,C2007,w5692G96
124001003,34676,C2008,x3719G96
124001004,34676,C2008,x3719G96
124001005,34676,C2008,x3719G96
124001006,34676,C2008,x3719G96
124001016,34676,C2008,x5763703
124001017,34676,C2008,x5763703
124001018,34676,C2008,x5763703
124001019,34676,C2008,x5763703
124001031,34676,C2008,y1286703
124001032,34676,C2008,y1286703
124001033,34676,C2008,y1286703
124001034,34676,C2008,y1286703
124001035,34676,C2008,~026SG96
124001036,34676,C2008,~026SG96
124001037,34676,C2008,~026SG96
124001038,34676,C2008,~026SG96
124001044,34676,C2009,~05f8703
124001045,34676,C2009,~05f8703
124001046,34676,C2009,~05f8703
124001047,34676,C2009,~05f8703
124001048,34676,C2009,~05zR703
124001049,34676,C2009,~05zR703
124001050,34676,C2009,~05zR703
124001051,34676,C2009,~05zR703
124001052,34676,C2009,~06U3703
124001053,34676,C2009,~06U3703
124001054,34676,C2009,~06U3703
124001055,34676,C2009,~06U3703
124001137,34676,C2011,~0YFP703
124001138,34676,C2011,~0YFP703
124001139,34676,C2011,~0YFP703
124001140,34676,C2011,~0YFP703
124001146,34676,C2011,~0ZEp703
124001147,34676,C2011,~0ZEp703
124001148,34676,C2011,~0ZEp703
124001149,34676,C2011,~0ZEp703
124001155,34676,C2011,~0aq0703
124001156,34676,C2011,~0aq0703
124001157,34676,C2011,~0aq0703
124001158,34676,C2011,~0aq0703
124001159,34676,C2011,~0bk2703
124001160,34676,C2011,~0bk2703
124001161,34676,C2011,~0bk2703
124001162,34676,C2011,~0bk2703
124002596,34677,C2005,o2002703
124002597,34677,C2005,o2002703
124002598,34677,C2005,o2002703
124002599,34677,C2005,o2002703
124002607,34677,C2005,o5145703
124002608,34677,C2005,o5145703
124002609,34677,C2005,o5145703
124002610,34677,C2005,o5145703
124002627,34677,C2005,p2840703
124002628,34677,C2005,p2840703
124002629,34677,C2005,p2840703
124002630,34677,C2005,p2840703
124002635,34677,C2005,p7139703
124002636,34677,C2005,p7139703
124002637,34677,C2005,p7140703
124002638,34677,C2005,p7140703
124002642,34677,C2006,q2318703
124002643,34677,C2006,q2318703
124002644,34677,C2006,q2318703
124002645,34677,C2006,q2318703
124002675,34677,C2008,x5763703
124002676,34677,C2008,x5763703
124002677,34677,C2008,x5763703
124002678,34677,C2008,x5763703
124002689,34677,C2008,x9254G96
124002690,34677,C2008,x9254G96
124002691,34677,C2008,x9254G96
124002692,34677,C2008,x9254G96
124002693,34677,C2008,x9996703
124002694,34677,C2008,x9997703
124002695,34677,C2008,x9997703
124002696,34677,C2008,x9997703
124002701,34677,C2008,y1286703
124002702,34677,C2008,y1286703
124002703,34677,C2008,y1286703
124002704,34677,C2008,y1286703
124002705,34677,C2008,y1286G96
