,packed_number,year,obs
135000974,40451,2006,703
135000975,40451,2006,703
135000976,40451,2006,703
135000977,40451,2006,703
135000993,40451,2006,703
135000994,40451,2006,703
135000995,40451,2006,703
135000996,40451,2006,703
135001004,40451,2006,703
135001005,40451,2006,703
135001028,40451,2008,703
135001029,40451,2008,703
135001030,40451,2008,703
135001031,40451,2008,703
135001032,40451,2008,703
135001033,40451,2008,703
135001034,40451,2008,703
135001035,40451,2008,703
135001036,40451,2008,703
135001037,40451,2008,703
135001038,40451,2008,703
135001039,40451,2008,703
135001040,40451,2008,703
135001041,40451,2008,703
135001042,40451,2008,703
135001043,40451,2008,703
135001067,40451,2010,703
135001068,40451,2010,703
135001069,40451,2010,703
135001070,40451,2010,703
135001164,40451,2012,703
135001165,40451,2012,703
135001166,40451,2012,703
135001167,40451,2012,703
135001178,40451,2012,703
135001179,40451,2012,703
135001180,40451,2012,703
135001181,40451,2012,703
135001182,40451,2012,703
135001183,40451,2012,703
135001184,40451,2012,703
135001185,40451,2012,703
135001202,40451,2012,703
135001203,40451,2012,703
135001204,40451,2012,703
135001205,40451,2012,703
135001206,40451,2012,703
135001207,40451,2012,703
135001208,40451,2012,703
135001209,40451,2012,703
135001212,40451,2012,703
135001213,40451,2012,703
135001214,40451,2012,703
135001215,40451,2012,703
135002584,40452,2005,703
135002585,40452,2005,703
135002586,40452,2005,703
135002587,40452,2005,703
135002592,40452,2005,703
135002593,40452,2005,703
135002594,40452,2005,703
135002595,40452,2005,703
135002599,40452,2005,703
135002600,40452,2005,703
135002601,40452,2005,703
135002603,40452,2005,703
135002619,40452,2007,G96
135002620,40452,2007,G96
135002621,40452,2007,G96
135002622,40452,2007,G96
135002634,40452,2008,G96
135002635,40452,2008,G96
135002636,40452,2008,G96
135002637,40452,2008,G96
135002638,40452,2009,G96
135002639,40452,2009,G96
135002640,40452,2009,G96
135002641,40452,2009,G96
135002676,40452,2009,G96
135002677,40452,2009,G96
135002678,40452,2009,G96
135002679,40452,2009,G96
135002680,40452,2009,G96
135002681,40452,2009,G96
135002682,40452,2009,G96
135002683,40452,2009,G96
135002730,40452,2010,G96
135002731,40452,2010,G96
135002732,40452,2010,G96
135002733,40452,2010,G96
135002739,40452,2010,G96
135002740,40452,2010,G96
135002741,40452,2010,G96
135002742,40452,2010,G96
135002759,40452,2010,G96
