a,e,i,peri,node,M
1.707077,0.559619,4.115442,109.496776,326.44472,20.053869
1.567088,0.398035,38.343358,211.217144,266.752115,347.313664
0.999096,0.390349,16.452354,69.149984,273.913886,65.358605
1.181766,0.545111,14.181182,71.970378,194.833422,43.585297
2.135537,0.720735,2.10109,273.335529,132.889,14.206339
1.067342,0.117548,7.187758,247.513264,40.005455,304.481159
2.542362,0.623112,2.007251,328.302943,284.561561,6.008867
2.625408,0.643544,1.727624,150.774337,256.954883,5.019877
0.823644,0.232537,11.632231,191.970353,341.252981,161.401257
0.617525,0.599744,3.856576,2.797167,316.97318,171.101343
2.097041,0.534887,5.909579,192.615453,271.29136,356.75511
2.555842,0.671216,10.198281,307.158109,14.550906,8.690624
1.900956,0.483911,14.501607,352.803312,113.709325,2.196924
1.206939,0.239799,5.770669,230.251961,318.729341,328.559156
