Energy (kT),Brown (2002),,Energy (kT),Silber (2009),,Energy (kT),Brown (2013),err,,Energy (kT),Harris & d'Abramo (2015),,Energy (kT),Tricarico (2016),,Energy (kT),Schunova-Lilly (2017),,Energy (kT),Trillings (2017)
1.19E-03,,,1568.62,0.075,,0.9319,3.6076,0.4737,,7567656966424.8,2.24E-09,,8.1223,1.4099,,27580960365.0507,2.21E-08,,13.071,0.3705
2.99E-03,,,81.25,0.1991,,2.0072,2.2392,0.3732,,3792813060042.6,2.24E-09,,40.3943,0.3957,,6955836804.4166,7.73E-08,,52.4191,0.1592
7.47E-03,,,39.76,0.3611,,5.687,1.1196,0.2639,,1900909485228.14,2.24E-09,,155.693,0.0909,,1754241513.3226,2.37E-07,,210.2758,0.0565
0.0187,,,21.55,0.5653,,12.4253,0.622,0.1967,,952711566277.334,2.24E-09,,537.837,0.0279,,431965820.2575,6.07E-07,,825.7515,0.0161
0.0467,,,14.79,0.7937,,27.1924,0.3732,0.1524,,477486874347.242,4.48E-09,,1998.15,9.92E-03,,111560225.6867,1.40E-06,,3312.9081,4.72E-03
0.1167,24.5671,,9.32,1.156,,50,0.1244,0.088,,239310325647.427,4.48E-09,,7984.89,3.34E-03,,111560225.6867,1.48E-06,,13575.2984,1.68E-03
0.2917,12.4306,,8.41,1.5304,,550,0.0622,0.0622,,119939280089.675,6.73E-09,,32497.7,1.03E-03,,27474473.8473,3.49E-06,,53302.7216,6.63E-04
0.7292,4.6482,,8.02,1.9097,,,,,,60112035991.3913,1.12E-08,,118548,3.92E-04,,7094624.0074,7.44E-06,,213790.983,2.23E-04
1.823,2.0565,,5.29,2.1536,,,,,,30127385026.2284,1.79E-08,,500235,1.73E-04,,1706197.8257,1.47E-05,,857609.107,8.13E-05
4.5576,0.9788,,1.75,2.8925,,,,,,15099460757.7191,3.37E-08,,1998520,7.94E-05,,440645.5455,2.97E-05,,3364568.574,7.30E-05
11.394,0.1953,,,,,,,,,7567656966.4248,5.84E-08,,8131550,3.45E-05,,111114.154,6.49E-05,,13199861.7977,6.21E-05
28.4849,0.1953,,,,,,,,,3792813060.0426,1.24E-07,,34316128,1.34E-05,,28022.6617,2.05E-04,,54074110.4994,2.98E-05
71.2127,,,,,,,,,,1900909485.2281,2.49E-07,,134645024,5.03E-06,,7067.2326,1.12E-03,,216914899.6085,8.97E-06
178.0315,,,,,,,,,,952711566.2773,4.42E-07,,537983232,2.03E-06,,1699.3756,3.80E-03,,673704400.6382,2.05E-06
445.0789,,,,,,,,,,477486874.3472,7.30E-07,,,,,438.8836,0.0169,,,
1112.6971,,,,,,,,,,239310325.6474,1.14E-06,,,,,110.6852,0.0315,,,
2781.7428,,,,,,,,,,119939280.0897,1.78E-06,,,,,27.9106,0.0766,,,
6954.3571,,,,,,,,,,60112035.9914,2.73E-06,,,,,7.039,0.3303,,,
17385.8927,,,,,,,,,,30127385.0262,4.31E-06,,,,,,,,,
43464.7317,,,,,,,,,,15099460.7577,6.35E-06,,,,,,,,,
108661.8294,,,,,,,,,,7567656.9664,9.44E-06,,,,,,,,,
271654.5734,,,,,,,,,,3792813.06,1.34E-05,,,,,,,,,
679136.4335,,,,,,,,,,1900909.4852,1.91E-05,,,,,,,,,
1697841.0837,,,,,,,,,,952711.5663,2.73E-05,,,,,,,,,
4244602.7093,,,,,,,,,,477486.8743,3.86E-05,,,,,,,,,
10611506.7732,,,,,,,,,,239310.3256,5.66E-05,,,,,,,,,
26528766.9329,,,,,,,,,,119939.2801,8.81E-05,,,,,,,,,
66321917.3322,,,,,,,,,,60112.036,1.50E-04,,,,,,,,,
165804793.3305,,,,,,,,,,30127.385,2.82E-04,,,,,,,,,
414511983.3263,,,,,,,,,,15099.4608,5.97E-04,,,,,,,,,
,,,,,,,,,,7567.657,1.40E-03,,,,,,,,,
,,,,,,,,,,3792.8131,3.29E-03,,,,,,,,,
,,,,,,,,,,1900.9095,7.64E-03,,,,,,,,,
,,,,,,,,,,952.7116,0.016,,,,,,,,,
,,,,,,,,,,477.4869,0.0357,,,,,,,,,
,,,,,,,,,,239.3103,0.0697,,,,,,,,,
,,,,,,,,,,119.9393,0.1303,,,,,,,,,
,,,,,,,,,,60.112,0.2309,,,,,,,,,
,,,,,,,,,,30.1274,0.3974,,,,,,,,,
,,,,,,,,,,15.0995,0.5772,,,,,,,,,
,,,,,,,,,,7.5677,1.0345,,,,,,,,,
,,,,,,,,,,3.7928,1.6095,,,,,,,,,
,,,,,,,,,,1.9009,3.0414,,,,,,,,,
,,,,,,,,,,0.9527,8.1696,,,,,,,,,
,,,,,,,,,,0.4775,,,,,,,,,,
,,,,,,,,,,0.2393,,,,,,,,,,
,,,,,,,,,,0.1199,,,,,,,,,,
,,,,,,,,,,0.0601,,,,,,,,,,
,,,,,,,,,,0.0301,,,,,,,,,,
,,,,,,,,,,0.0151,,,,,,,,,,
,,,,,,,,,,7.57E-03,,,,,,,,,,
,,,,,,,,,,3.79E-03,,,,,,,,,,
,,,,,,,,,,1.90E-03,,,,,,,,,,
,,,,,,,,,,9.53E-04,,,,,,,,,,
,,,,,,,,,,4.77E-04,,,,,,,,,,
,,,,,,,,,,2.39E-04,,,,,,,,,,
,,,,,,,,,,1.20E-04,,,,,,,,,,
,,,,,,,,,,6.01E-05,,,,,,,,,,
,,,,,,,,,,3.01E-05,,,,,,,,,,
,,,,,,,,,,1.51E-05,,,,,,,,,,
