# Station: CNEOS,,
# Time (s), Height (km), Abs Magnitude
-0.2972,70.56075,-12.48
-0.2805,70.3988,-13.42
-0.2639,70.23459,-13.55
-0.2472,70.06805,-12.74
-0.2305,69.89934,-12.48
-0.2138,69.72798,-12.71
-0.1971,69.55454,-14.36
-0.1804,69.37891,-14.37
-0.1637,69.20107,-14.29
-0.1470,69.02087,-13.92
-0.1304,68.83862,-13.90
-0.1137,68.65422,-14.07
-0.1000,68.50157, -13.30
-0.0970,68.46768,-14.14
-0.0803,68.27916,-14.18
-0.0636,68.08836,-14.00
-0.0469,67.8956,-13.61
-0.0302,67.70081,-14.13
-0.0135,67.50404,-14.13
 0.0006,67.33535, -13.04
 0.0032,67.30524,-14.32
 0.0198,67.10455,-14.10
 0.0365,66.90198,-14.59
 0.0532,66.69748,-14.73
 0.0699,66.49116,-14.76
 0.0866,66.28304,-14.96
 0.1015,66.09512, -14.76
 0.1033,66.07288,-14.64
 0.1199,65.86109,-14.72
 0.1366,65.64739,-15.07
 0.1533,65.43201,-15.02
 0.1700,65.21482,-14.66
 0.1867,64.99603,-14.73
 0.2021,64.79175, -15.05
 0.2033,64.77549,-14.84
 0.2200,64.55325,-14.43
 0.2367,64.32933,-14.73
 0.2534,64.10381,-14.90
 0.2701,63.87674,-14.99
 0.2868,63.648,-14.86
 0.3030,63.42408, -15.18
 0.3034,63.41775,-14.84
 0.3201,63.18616,-14.95
 0.3368,62.95293,-15.02
 0.3535,62.71826,-14.98
 0.3702,62.48211,-15.02
 0.3868,62.24465,-14.98
 0.4035,62.00554,-15.10
 0.4036,62.00422, -15.20
 0.4202,61.76523,-15.28
 0.4369,61.52357,-15.53
 0.4535,61.28036,-15.31
 0.4702,61.03582,-15.34
 0.4869,60.78991,-15.29
 0.5036,60.54282,-15.19
 0.5045,60.52976, -15.37
 0.5203,60.29449,-15.35
 0.5370,60.04499,-15.28
 0.5537,59.79401,-15.32
 0.5704,59.54213,-15.43
 0.5871,59.28867,-15.32
 0.6038,59.03457,-15.45
 0.6051,59.01421, -15.35
 0.6205,58.77915,-15.40
 0.6371,58.52258,-14.97
 0.6539,58.26471,-14.89
 0.6706,58.00609,-15.05
 0.6873,57.74649,-15.30
 0.7040,57.48551,-15.30
 0.7059,57.45451, -15.48
 0.7207,57.2239,-15.20
 0.7374,56.96141,-15.11
 0.7541,56.69752,-15.14
 0.7708,56.43303,-15.07
 0.7875,56.16796,-14.86
 0.8042,55.90144,-14.87
 0.8065,55.86437, -14.77
 0.8209,55.63449,-14.71
 0.8376,55.36655,-14.90
 0.8543,55.09803,-14.89
 0.8710,54.82867,-15.08
 0.8877,54.55883,-15.19
 0.9044,54.28826,-15.22
 0.9074,54.23886, -15.65
 0.9211,54.01677,-15.23
 0.9378,53.74511,-15.29
 0.9545,53.47243,-15.35
 0.9712,53.19931,-14.94
 0.9879,52.92564,-15.87
 1.0046,52.65126,-15.81
 1.0080,52.59426, -15.25
 1.0212,52.37663,-15.94
 1.0379,52.10117,-16.06
 1.0546,51.82537,-15.90
 1.0713,51.5492,-15.91
 1.0880,51.27246,-15.97
 1.1047,50.99521,-15.89
 1.1089,50.92549, -15.53
 1.1214,50.71785,-15.98
 1.1381,50.43986,-15.91
 1.1548,50.16172,-15.78
 1.1715,49.88304,-15.81
 1.1882,49.60396,-15.34
 1.2049,49.32464,-16.12
 1.2094,49.24802, -15.72
 1.2215,49.04549,-15.99
1.2333,48.9358,-15.41
 1.2382,48.7659,-16.12
 1.2549,48.48589,-16.05
1.2667,48.3431,-15.66
 1.2716,48.20606,-15.90
 1.2883,47.92598,-16.25
1.3000,47.7988,-15.80
 1.3050,47.64557,-16.19
 1.3103,47.55603, -15.93
 1.3217,47.36528,-16.26
1.3333,47.2986,-15.95
 1.3383,47.08481,-16.38
 1.3550,46.80408,-16.27
1.3667,46.7402,-16.02
 1.3717,46.52343,-16.19
 1.3884,46.24286,-16.25
1.4000,46.1178,-16.08
 1.4051,45.96194,-15.79
 1.4108,45.8661, -16.15
1.4333,45.696,-16.24
 1.4218,45.68144,-16.00
 1.4385,45.40086,-16.17
 1.4552,45.12049,-15.92
1.4667,45.1201,-16.30
 1.4719,44.84028,-15.82
 1.4885,44.56019,-15.54
1.5000,44.4918,-16.30
 1.5052,44.27994,-16.00
 1.5117,44.17202, -15.55
1.5333,44.0928,-16.19
 1.5219,44.00034,-16.19
 1.5386,43.72054,-15.94
1.5667,43.5573,-15.53
 1.5553,43.44116,-16.10
 1.5720,43.16202,-16.19
 1.5886,42.88309,-16.24
1.6000,42.8428,-16.21
 1.6053,42.6045,-16.24
 1.6122,42.49003, -15.84
1.6333,42.3979,-16.31
 1.6220,42.32584,-16.26
 1.6387,42.04768,-16.20
1.6667,41.9785,-16.31
 1.6554,41.76983,-16.24
 1.6721,41.49245,-16.12
 1.6888,41.21555,-15.94
1.7000,41.1799,-16.52
 1.7055,40.93882,-16.13
 1.7130,40.81546, -16.24
1.7333,40.7983,-16.35
 1.7222,40.66289,-16.33
 1.7389,40.38723,-16.46
1.7667,40.2589,-16.61
 1.7556,40.11236,-16.42
 1.7723,39.83756,-16.41
1.8000,39.7401,-16.61
 1.7890,39.56372,-16.28
 1.8057,39.29013,-16.32
 1.8135,39.16163, -16.46
1.8333,39.1603,-16.73
 1.8224,39.01732,-16.24
 1.8390,38.74511,-16.61
1.8667,38.6571,-16.86
 1.8557,38.47351,-16.62
 1.8724,38.20245,-16.55
1.9000,38.1243,-16.88
 1.8891,37.93202,-16.48
1.896132,37.76579,-16.28
 1.9058,37.66259,-16.55
1.9333,37.5746,-16.82
 1.9143,37.52585, -17.15
 1.9225,37.39383,-16.68
 1.9392,37.12557,-16.75
1.9667,37.0914,-17.53
 1.9559,36.85818,-16.87
 1.9726,36.59158,-16.73
2.0000,36.531,-17.68
1.979466,36.49346,-16.69
 1.9893,36.32578,-16.95
 2.0060,36.06113,-17.56
2.0333,35.9904,-17.63
 2.0149,35.92156, -17.68
2.0212,35.82146, -17.76
 2.0227,35.79723,-17.95
 2.0394,35.53403,-18.18
2.0667,35.478,-18.68
2.063000, 35.4658, -18.2266
2.066000, 35.4183, -17.9066
2.070000, 35.3549, -18.2766
2.073000, 35.3074, -18.6566
2.076000, 35.2599, -18.7766
2.080000, 35.1966, -18.9766
2.083000, 35.1491, -19.1966
2.087000, 35.0858, -19.1966
2.090000, 35.0383, -19.4466
2.093000, 34.9908, -19.4566
2.097000, 34.9275, -19.4566
2.100000, 34.8800, -19.6566
2.103000, 34.8325, -19.7466
2.107000, 34.7691, -19.7966
2.110000, 34.7216, -19.7566
2.114000, 34.6583, -19.7866
2.120000, 34.5633, -19.7166
2.124000, 34.5000, -19.8066
2.127000, 34.4525, -19.7766
2.130000, 34.4050, -19.7566
2.134000, 34.3417, -19.7066
2.137000, 34.2942, -19.7566
2.141000, 34.2309, -19.6866
2.144000, 34.1834, -19.5666
2.151000, 34.0726, -19.4066
2.154000, 34.0251, -19.4366
2.158000, 33.9618, -19.3666
2.161000, 33.9143, -19.2566
2.164000, 33.8668, -19.1066
2.168000, 33.8035, -19.0866
2.171000, 33.7560, -18.8966
2.174000, 33.7085, -18.9666
