# B = brightest mass bin, L = leading fragment, M = main
# Time (s), B ht (km), B len (km), B vel (km/s), L ht (km), L len (km), L vel (km/s), L dyn press (Gamma = 1.0; MPa), M ht (km), M len (km), M vel (km/s), M dyn press (Gamma = 1.0; MPa), Tau total (%), Tau main (%), Tau grain (%), Abs mag total, Abs mag main, Abs mag grain, log10 Lum total (W), log10 Lum main (W), log10 Lum grain (W), log10 Electron line density (-/m), Mass total (kg), Mass main (kg)
1.00000e-02,1.79834e+02,2.19600e-01,2.19600e+01,1.79834e+02,2.19600e-01,2.19600e+01,1.88954e-07,1.79834e+02,2.19600e-01,2.19600e+01,1.88954e-07,7.47756e-02,7.47756e-02,0.00000e+00,2.20646e+00,2.20646e+00,inf,2.59886e+00,2.59886e+00,-inf,1.44497e+01,2.10000e+03,2.10000e+03
2.00000e-02,1.79668e+02,4.39200e-01,2.19600e+01,1.79668e+02,4.39200e-01,2.19600e+01,1.92544e-07,1.79668e+02,4.39200e-01,2.19600e+01,1.92544e-07,7.47756e-02,7.47756e-02,0.00000e+00,2.18602e+00,2.18602e+00,inf,2.60703e+00,2.60703e+00,-inf,1.44578e+01,2.10000e+03,2.10000e+03
3.00000e-02,1.79502e+02,6.58800e-01,2.19600e+01,1.79502e+02,6.58800e-01,2.19600e+01,1.96147e-07,1.79502e+02,6.58800e-01,2.19600e+01,1.96147e-07,7.47756e-02,7.47756e-02,0.00000e+00,2.16589e+00,2.16589e+00,inf,2.61509e+00,2.61509e+00,-inf,1.44659e+01,2.10000e+03,2.10000e+03
4.00000e-02,1.79336e+02,8.78400e-01,2.19600e+01,1.79336e+02,8.78400e-01,2.19600e+01,1.99761e-07,1.79336e+02,8.78400e-01,2.19600e+01,1.99761e-07,7.47756e-02,7.47756e-02,0.00000e+00,2.14607e+00,2.14607e+00,inf,2.62301e+00,2.62301e+00,-inf,1.44738e+01,2.10000e+03,2.10000e+03
5.00000e-02,1.79170e+02,1.09800e+00,2.19600e+01,1.79170e+02,1.09800e+00,2.19600e+01,2.03384e-07,1.79170e+02,1.09800e+00,2.19600e+01,2.03384e-07,7.47756e-02,7.47756e-02,0.00000e+00,2.12655e+00,2.12655e+00,inf,2.63082e+00,2.63082e+00,-inf,1.44816e+01,2.10000e+03,2.10000e+03
6.00000e-02,1.79004e+02,1.31760e+00,2.19600e+01,1.79004e+02,1.31760e+00,2.19600e+01,2.07017e-07,1.79004e+02,1.31760e+00,2.19600e+01,2.07017e-07,7.47756e-02,7.47756e-02,0.00000e+00,2.10733e+00,2.10733e+00,inf,2.63851e+00,2.63851e+00,-inf,1.44893e+01,2.10000e+03,2.10000e+03
7.00000e-02,1.78838e+02,1.53720e+00,2.19600e+01,1.78838e+02,1.53720e+00,2.19600e+01,2.10657e-07,1.78838e+02,1.53720e+00,2.19600e+01,2.10657e-07,7.47756e-02,7.47756e-02,0.00000e+00,2.08841e+00,2.08841e+00,inf,2.64608e+00,2.64608e+00,-inf,1.44969e+01,2.10000e+03,2.10000e+03
8.00000e-02,1.78672e+02,1.75680e+00,2.19600e+01,1.78672e+02,1.75680e+00,2.19600e+01,2.14303e-07,1.78672e+02,1.75680e+00,2.19600e+01,2.14303e-07,7.47756e-02,7.47756e-02,0.00000e+00,2.06978e+00,2.06978e+00,inf,2.65353e+00,2.65353e+00,-inf,1.45043e+01,2.10000e+03,2.10000e+03
9.00000e-02,1.78506e+02,1.97640e+00,2.19600e+01,1.78506e+02,1.97640e+00,2.19600e+01,2.17955e-07,1.78506e+02,1.97640e+00,2.19600e+01,2.17955e-07,7.47757e-02,7.47757e-02,0.00000e+00,2.05143e+00,2.05143e+00,inf,2.66087e+00,2.66087e+00,-inf,1.45117e+01,2.10000e+03,2.10000e+03
1.00000e-01,1.78340e+02,2.19600e+00,2.19600e+01,1.78340e+02,2.19600e+00,2.19600e+01,2.21612e-07,1.78340e+02,2.19600e+00,2.19600e+01,2.21612e-07,7.47757e-02,7.47757e-02,0.00000e+00,2.03336e+00,2.03336e+00,inf,2.66810e+00,2.66810e+00,-inf,1.45189e+01,2.10000e+03,2.10000e+03
1.10000e-01,1.78174e+02,2.41560e+00,2.19600e+01,1.78174e+02,2.41560e+00,2.19600e+01,2.25272e-07,1.78174e+02,2.41560e+00,2.19600e+01,2.25272e-07,7.47757e-02,7.47757e-02,0.00000e+00,2.01558e+00,2.01558e+00,inf,2.67521e+00,2.67521e+00,-inf,1.45260e+01,2.10000e+03,2.10000e+03
1.20000e-01,1.78008e+02,2.63520e+00,2.19600e+01,1.78008e+02,2.63520e+00,2.19600e+01,2.28934e-07,1.78008e+02,2.63520e+00,2.19600e+01,2.28934e-07,7.47757e-02,7.47757e-02,0.00000e+00,1.99807e+00,1.99807e+00,inf,2.68221e+00,2.68221e+00,-inf,1.45330e+01,2.10000e+03,2.10000e+03
1.30000e-01,1.77842e+02,2.85480e+00,2.19600e+01,1.77842e+02,2.85480e+00,2.19600e+01,2.32598e-07,1.77842e+02,2.85480e+00,2.19600e+01,2.32598e-07,7.47757e-02,7.47757e-02,0.00000e+00,1.98083e+00,1.98083e+00,inf,2.68911e+00,2.68911e+00,-inf,1.45399e+01,2.10000e+03,2.10000e+03
1.40000e-01,1.77676e+02,3.07440e+00,2.19600e+01,1.77676e+02,3.07440e+00,2.19600e+01,2.36261e-07,1.77676e+02,3.07440e+00,2.19600e+01,2.36261e-07,7.47757e-02,7.47757e-02,0.00000e+00,1.96387e+00,1.96387e+00,inf,2.69590e+00,2.69590e+00,-inf,1.45467e+01,2.10000e+03,2.10000e+03
1.50000e-01,1.77510e+02,3.29400e+00,2.19600e+01,1.77510e+02,3.29400e+00,2.19600e+01,2.39924e-07,1.77510e+02,3.29400e+00,2.19600e+01,2.39924e-07,7.47757e-02,7.47757e-02,0.00000e+00,1.94716e+00,1.94716e+00,inf,2.70258e+00,2.70258e+00,-inf,1.45534e+01,2.10000e+03,2.10000e+03
