# Trajectory data computed from the USG input file.
#
# Reference time (UTC) = 2020-02-28 09:30:34
# Reference JD         = 2458907.896227
# Begin point
#     Lat    =  +45.678839 deg
#     Lon    =   15.114838 deg
#     Height =  37.3343 km
# End point
#     Lat    =  +45.812353 deg
#     Lon    =   15.021030 deg
#     Height =  19.5069 km
# Radiant
#     RA     = 332.1527 deg
#     Dec    =  +5.5987 deg
#     Az     = 154.9788 deg
#     Alt    = +47.3466 deg
#
# Time (s), Ht. (km),  Lat. (deg),  Lon. (deg), AbsMag
 -0.179000,  37.3343,  +45.678839,   15.114838, -16.37
 -0.176000,  37.2868,  +45.679193,   15.114590, -16.14
 -0.172000,  37.2235,  +45.679666,   15.114258, -16.08
 -0.169000,  37.1760,  +45.680021,   15.114010, -16.82
 -0.166000,  37.1284,  +45.680375,   15.113761, -13.06
 -0.162000,  37.0651,  +45.680848,   15.113430, -16.89
 -0.159000,  37.0176,  +45.681202,   15.113181, -17.50
 -0.156000,  36.9701,  +45.681557,   15.112933, -15.25
 -0.152000,  36.9067,  +45.682030,   15.112601, -16.82
 -0.149000,  36.8592,  +45.682384,   15.112353, -15.53
 -0.145000,  36.7959,  +45.682857,   15.112021, -14.06
 -0.142000,  36.7484,  +45.683212,   15.111773, -17.16
 -0.139000,  36.7009,  +45.683566,   15.111524, -15.53
 -0.132000,  36.5900,  +45.684394,   15.110944, -15.58
 -0.125000,  36.4792,  +45.685221,   15.110364, -16.42
 -0.122000,  36.4317,  +45.685576,   15.110116, -11.83
 -0.118000,  36.3683,  +45.686048,   15.109784, -11.48
 -0.115000,  36.3208,  +45.686403,   15.109535, -16.86
 -0.112000,  36.2733,  +45.686758,   15.109287, -17.35
 -0.091000,  35.9408,  +45.689240,   15.107546, -17.05
 -0.085000,  35.8458,  +45.689949,   15.107049, -17.36
 -0.081000,  35.7824,  +45.690422,   15.106717, -17.44
 -0.078000,  35.7349,  +45.690777,   15.106469, -17.38
 -0.075000,  35.6874,  +45.691132,   15.106220, -17.52
 -0.071000,  35.6241,  +45.691604,   15.105888, -17.52
 -0.068000,  35.5766,  +45.691959,   15.105639, -16.66
 -0.064000,  35.5133,  +45.692432,   15.105308, -15.05
 -0.061000,  35.4658,  +45.692787,   15.105059, -17.76
 -0.058000,  35.4183,  +45.693141,   15.104810, -17.77
 -0.054000,  35.3549,  +45.693614,   15.104479, -18.52
 -0.051000,  35.3074,  +45.693969,   15.104230, -18.53
 -0.048000,  35.2599,  +45.694324,   15.103981, -18.60
 -0.044000,  35.1966,  +45.694797,   15.103650, -18.81
 -0.041000,  35.1491,  +45.695152,   15.103401, -18.90
 -0.034000,  35.0383,  +45.695979,   15.102820, -19.63
