Bolide Detection Notification: 2017-181

At 14:26:46 UT on 30 Jun 2017, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 34.3 °S, Lon 134.5 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.73e+10 watts/steradian, and total radiated flash
energy 9.24e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-1.600,  8.33e+08),
           (-1.596,  6.03e+07),
           (-1.593,  1.23e+09),
           (-1.590,  1.43e+09),
           (-1.586,  1.20e+09),
           (-1.583,  8.06e+08),
           (-1.580, -8.84e+08),
           (-1.576,  1.97e+08),
           (-1.573, -4.70e+08),
           (-1.569, -7.18e+08),
           (-1.566,  3.05e+08),
           (-1.563, -5.07e+08),
           (-1.559, -6.83e+06),
           (-1.556, -7.45e+07),
           (-1.553,  8.31e+08),
           (-1.546, -4.23e+08),
           (-1.542, -5.06e+08),
           (-1.539,  9.71e+08),
           (-1.536,  4.76e+07),
           (-1.532,  1.01e+08),
           (-1.529,  4.25e+08),
           (-1.526,  1.36e+09),
           (-1.522,  8.82e+08),
           (-1.519,  8.12e+08),
           (-1.515, -3.54e+08),
           (-1.512, -5.95e+08),
           (-1.509, -6.93e+08),
           (-1.505,  2.68e+08),
           (-1.502,  7.10e+08),
           (-1.499,  1.69e+09),
           (-1.495,  6.42e+08),
           (-1.492, -1.52e+07),
           (-1.488,  5.47e+08),
           (-1.485,  9.32e+07),
           (-1.482,  2.95e+08),
           (-1.478,  9.95e+08),
           (-1.475, -4.42e+08),
           (-1.472,  4.49e+08),
           (-1.468,  5.31e+08),
           (-1.465,  1.59e+09),
           (-1.461,  2.07e+09),
           (-1.458,  5.96e+07),
           (-1.455, -4.03e+08),
           (-1.451, -5.67e+07),
           (-1.448,  1.23e+09),
           (-1.441, -2.31e+08),
           (-1.438, -6.42e+07),
           (-1.434,  1.68e+08),
           (-1.431,  1.84e+09),
           (-1.428,  9.72e+08),
           (-1.424,  1.36e+09),
           (-1.418, -2.84e+08),
           (-1.414,  1.08e+09),
           (-1.411,  1.32e+09),
           (-1.407,  1.01e+09),
           (-1.404,  8.85e+08),
           (-1.401,  1.25e+09),
           (-1.397,  9.49e+08),
           (-1.394,  2.02e+08),
           (-1.391,  2.16e+08),
           (-1.387, -9.98e+08),
           (-1.384,  6.64e+08),
           (-1.380,  7.05e+08),
           (-1.377,  9.96e+08),
           (-1.374,  1.13e+09),
           (-1.370,  1.02e+09),
           (-1.367, -8.84e+07),
           (-1.364, -7.11e+08),
           (-1.360,  1.29e+09),
           (-1.357,  1.16e+09),
           (-1.353,  5.23e+08),
           (-1.350,  2.76e+08),
           (-1.347,  2.09e+09),
           (-1.343,  2.07e+08),
           (-1.340,  1.91e+08),
           (-1.337,  1.12e+09),
           (-1.333,  2.42e+08),
           (-1.330,  1.62e+08),
           (-1.326,  4.56e+08),
           (-1.323,  5.70e+07),
           (-1.320, -8.30e+08),
           (-1.316,  3.89e+08),
           (-1.313,  1.07e+09),
           (-1.310,  2.31e+08),
           (-1.306,  1.60e+09),
           (-1.303,  7.76e+08),
           (-1.299,  7.60e+08),
           (-1.296, -1.12e+09),
           (-1.293,  2.62e+08),
           (-1.289,  1.76e+08),
           (-1.286, -8.44e+08),
           (-1.283,  1.61e+08),
           (-1.279, -4.00e+08),
           (-1.276,  1.54e+08),
           (-1.272,  2.67e+07),
           (-1.269,  1.50e+09),
           (-1.266,  6.01e+08),
           (-1.262,  5.46e+08),
           (-1.259, -5.50e+08),
           (-1.256,  7.09e+08),
           (-1.252,  1.29e+09),
           (-1.249,  4.98e+08),
           (-1.245,  9.39e+08),
           (-1.242,  9.78e+08),
           (-1.239,  1.15e+09),
           (-1.232, -1.06e+09),
           (-1.229,  1.26e+09),
           (-1.225,  4.48e+08),
           (-1.222,  7.58e+08),
           (-1.218,  1.17e+09),
           (-1.212, -1.13e+09),
           (-1.208,  9.45e+08),
           (-1.205,  1.66e+09),
           (-1.198, -8.10e+08),
           (-1.191,  2.30e+09),
           (-1.188, -1.19e+09),
           (-1.181,  1.32e+09),
           (-1.178,  4.88e+08),
           (-1.175, -6.71e+08),
           (-1.171,  1.35e+09),
           (-1.164, -8.76e+07),
           (-1.161,  4.18e+07),
           (-1.158, -1.28e+07),
           (-1.154,  4.95e+08),
           (-1.151,  1.11e+07),
           (-1.148,  5.06e+08),
           (-1.144,  1.16e+09),
           (-1.141, -1.03e+08),
           (-1.137,  1.75e+09),
           (-1.134,  1.47e+09),
           (-1.131,  3.32e+08),
           (-1.127,  1.80e+08),
           (-1.124, -6.40e+08),
           (-1.121, -3.18e+08),
           (-1.117,  6.68e+08),
           (-1.114,  1.92e+09),
           (-1.110,  2.60e+08),
           (-1.107,  4.71e+08),
           (-1.104, -2.96e+08),
           (-1.100,  1.04e+09),
           (-1.097, -4.54e+08),
           (-1.094,  8.70e+08),
           (-1.090,  4.63e+08),
           (-1.087,  1.83e+08),
           (-1.083,  1.05e+09),
           (-1.080, -6.65e+07),
           (-1.077,  4.48e+08),
           (-1.073,  7.98e+08),
           (-1.070,  8.99e+08),
           (-1.067,  1.15e+09),
           (-1.063,  4.10e+08),
           (-1.060,  7.39e+08),
           (-1.056,  6.58e+08),
           (-1.053, -6.89e+08),
           (-1.050, -9.03e+07),
           (-1.046, -3.52e+08),
           (-1.043,  8.81e+07),
           (-1.040,  3.85e+07),
           (-1.036,  8.65e+08),
           (-1.026,  4.25e+08),
           (-1.023,  1.64e+09),
           (-1.019,  7.81e+08),
           (-1.016,  1.35e+09),
           (-1.013, -2.10e+08),
           (-1.009,  1.31e+09),
           (-1.006,  1.27e+09),
           (-1.002,  1.14e+09),
           (-0.999,  6.01e+08),
           (-0.996,  1.18e+09),
           (-0.992,  1.61e+09),
           (-0.989,  1.27e+08),
           (-0.986,  1.25e+09),
           (-0.982,  1.38e+09),
           (-0.979,  5.25e+08),
           (-0.975,  9.11e+08),
           (-0.972,  1.60e+09),
           (-0.969,  9.46e+08),
           (-0.965,  7.38e+08),
           (-0.962, -4.57e+08),
           (-0.959,  2.67e+08),
           (-0.955,  1.43e+09),
           (-0.952, -1.53e+08),
           (-0.948,  1.05e+09),
           (-0.945,  1.79e+09),
           (-0.942,  3.48e+08),
           (-0.938,  3.62e+08),
           (-0.932,  8.31e+08),
           (-0.928,  1.39e+09),
           (-0.925,  1.47e+09),
           (-0.921,  7.69e+08),
           (-0.918,  7.14e+08),
           (-0.915,  1.98e+09),
           (-0.911,  7.73e+08),
           (-0.908,  3.20e+08),
           (-0.905,  2.27e+09),
           (-0.901,  9.59e+08),
           (-0.898,  2.75e+09),
           (-0.894,  1.88e+09),
           (-0.891,  1.60e+09),
           (-0.888,  1.89e+09),
           (-0.884,  1.64e+09),
           (-0.878,  2.43e+09),
           (-0.874,  1.22e+09),
           (-0.871,  1.65e+09),
           (-0.867,  1.51e+09),
           (-0.864,  1.66e+09),
           (-0.861,  2.06e+09),
           (-0.857,  2.13e+09),
           (-0.854,  1.59e+09),
           (-0.851,  1.62e+09),
           (-0.847,  9.94e+08),
           (-0.844,  1.72e+09),
           (-0.840,  1.17e+09),
           (-0.837,  2.13e+09),
           (-0.834,  9.35e+07),
           (-0.830,  1.92e+09),
           (-0.827,  1.72e+09),
           (-0.824,  9.75e+08),
           (-0.820,  1.19e+09),
           (-0.817,  1.14e+09),
           (-0.813,  8.13e+08),
           (-0.810,  1.35e+09),
           (-0.807,  3.12e+09),
           (-0.803,  9.11e+08),
           (-0.800,  1.81e+09),
           (-0.797,  1.06e+09),
           (-0.793,  1.82e+09),
           (-0.790,  4.80e+08),
           (-0.786,  1.39e+09),
           (-0.783,  1.11e+09),
           (-0.780,  1.71e+09),
           (-0.773,  2.26e+09),
           (-0.770,  2.83e+09),
           (-0.766,  1.96e+09),
           (-0.763,  7.65e+08),
           (-0.759,  1.33e+09),
           (-0.756,  2.29e+09),
           (-0.753,  2.71e+09),
           (-0.749,  1.48e+09),
           (-0.746,  3.68e+09),
           (-0.743,  2.44e+09),
           (-0.739,  1.88e+09),
           (-0.736,  3.04e+09),
           (-0.732,  2.04e+09),
           (-0.729,  3.37e+09),
           (-0.726,  3.34e+09),
           (-0.719,  2.21e+09),
           (-0.716,  2.83e+09),
           (-0.712,  4.52e+09),
           (-0.709,  2.12e+09),
           (-0.705,  2.85e+09),
           (-0.702,  3.00e+09),
           (-0.699,  3.22e+09),
           (-0.692,  2.47e+09),
           (-0.689,  2.48e+09),
           (-0.685,  3.72e+09),
           (-0.682,  4.44e+09),
           (-0.678,  2.84e+09),
           (-0.675,  3.91e+09),
           (-0.672,  4.01e+09),
           (-0.668,  3.93e+09),
           (-0.665,  3.62e+09),
           (-0.662,  2.84e+09),
           (-0.658,  2.62e+09),
           (-0.655,  3.63e+09),
           (-0.651,  3.58e+09),
           (-0.648,  2.64e+09),
           (-0.645,  3.77e+09),
           (-0.641,  2.65e+09),
           (-0.638,  2.45e+09),
           (-0.635,  2.86e+09),
           (-0.631,  2.95e+09),
           (-0.628,  3.00e+09),
           (-0.624,  1.91e+09),
           (-0.621,  2.29e+09),
           (-0.618,  2.88e+09),
           (-0.614,  2.11e+09),
           (-0.608,  3.63e+09),
           (-0.604,  3.32e+09),
           (-0.601,  2.70e+09),
           (-0.597,  2.79e+09),
           (-0.594,  2.83e+09),
           (-0.587,  3.66e+09),
           (-0.584,  2.98e+09),
           (-0.581,  2.84e+09),
           (-0.577,  2.04e+09),
           (-0.574,  2.90e+09),
           (-0.570,  4.01e+09),
           (-0.567,  3.80e+09),
           (-0.564,  2.49e+09),
           (-0.560,  2.79e+09),
           (-0.557,  3.51e+09),
           (-0.554,  3.49e+09),
           (-0.550,  3.06e+09),
           (-0.547,  3.46e+09),
           (-0.543,  2.14e+09),
           (-0.540,  2.94e+09),
           (-0.537,  2.82e+09),
           (-0.533,  3.68e+09),
           (-0.530,  2.93e+09),
           (-0.527,  4.00e+09),
           (-0.523,  3.62e+09),
           (-0.520,  2.73e+09),
           (-0.516,  2.62e+09),
