Bolide Detection Notification: 2019-255

At 12:49:47 UT on 12 Sep 2019, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 54.5 °N, Lon 9.2 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.54e+10 watts/steradian, and total radiated flash
energy 1.61e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-1.799,  7.20e+08),
           (-1.796,  1.50e+08),
           (-1.789, -1.59e+09),
           (-1.785, -1.57e+09),
           (-1.782, -9.64e+08),
           (-1.779, -9.33e+08),
           (-1.775, -1.00e+09),
           (-1.772,  6.91e+08),
           (-1.765,  3.16e+08),
           (-1.762, -1.52e+09),
           (-1.758,  8.97e+08),
           (-1.755,  2.90e+06),
           (-1.752, -1.73e+08),
           (-1.745,  6.09e+08),
           (-1.742, -2.75e+08),
           (-1.738,  4.09e+08),
           (-1.735,  2.10e+08),
           (-1.731,  8.04e+08),
           (-1.728,  1.03e+09),
           (-1.725, -2.07e+09),
           (-1.718,  8.67e+08),
           (-1.715, -4.50e+08),
           (-1.711,  2.22e+09),
           (-1.708, -1.71e+09),
           (-1.701, -2.16e+08),
           (-1.698,  4.91e+08),
           (-1.694, -1.40e+09),
           (-1.688, -2.95e+08),
           (-1.684, -1.33e+09),
           (-1.681,  1.27e+08),
           (-1.677,  6.09e+08),
           (-1.674, -1.90e+09),
           (-1.671, -3.19e+08),
           (-1.667, -1.53e+09),
           (-1.664,  1.16e+09),
           (-1.661, -1.76e+09),
           (-1.657, -3.04e+08),
           (-1.654, -4.05e+08),
           (-1.650,  1.62e+09),
           (-1.647, -1.50e+09),
           (-1.644,  5.19e+08),
           (-1.640,  2.77e+08),
           (-1.637,  5.22e+08),
           (-1.634, -2.21e+09),
           (-1.630, -1.71e+09),
           (-1.623,  7.38e+08),
           (-1.620, -1.85e+09),
           (-1.617,  2.22e+08),
           (-1.613, -1.62e+09),
           (-1.610, -2.14e+09),
           (-1.607, -2.49e+08),
           (-1.603, -2.25e+09),
           (-1.600,  1.60e+09),
