Bolide Detection Notification: 2019-173

At 21:25:48 UT on 22 Jun 2019, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 14.9 °N, Lon 66.2 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.51e+11 watts/steradian, and total radiated flash
energy 2.86e+12 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.800, -3.22e+08),
           (-0.797,  7.96e+08),
           (-0.793,  1.33e+09),
           (-0.790,  7.99e+08),
           (-0.786,  2.52e+09),
           (-0.783, -1.01e+09),
           (-0.780,  1.74e+08),
           (-0.776, -5.70e+08),
           (-0.773,  4.65e+08),
           (-0.770,  1.39e+08),
           (-0.766,  1.53e+09),
           (-0.763,  8.84e+08),
           (-0.759,  1.26e+09),
           (-0.756,  1.37e+09),
           (-0.753,  1.02e+09),
           (-0.749,  2.89e+08),
           (-0.746,  2.01e+09),
           (-0.743,  7.00e+08),
           (-0.739,  2.03e+09),
           (-0.736,  5.67e+08),
           (-0.732,  1.57e+09),
           (-0.729,  3.12e+09),
           (-0.726,  8.64e+08),
           (-0.722,  1.85e+09),
           (-0.719,  1.26e+09),
           (-0.716,  2.26e+09),
           (-0.712,  2.73e+09),
           (-0.709,  2.48e+09),
           (-0.705,  2.88e+09),
           (-0.702,  2.09e+09),
           (-0.699,  2.99e+09),
           (-0.695,  4.68e+09),
           (-0.692,  3.14e+09),
           (-0.689,  4.87e+09),
           (-0.685,  4.73e+09),
           (-0.682,  2.95e+09),
           (-0.678,  3.18e+09),
           (-0.675,  5.10e+09),
           (-0.672,  5.73e+09),
           (-0.668,  3.55e+09),
           (-0.665,  4.53e+09),
           (-0.662,  4.52e+09),
           (-0.658,  6.29e+09),
           (-0.655,  5.20e+09),
           (-0.651,  5.63e+09),
           (-0.648,  6.46e+09),
           (-0.641,  4.98e+09),
           (-0.638,  7.17e+09),
           (-0.635,  7.87e+09),
           (-0.631,  6.12e+09),
           (-0.628,  8.11e+09),
           (-0.624,  8.26e+09),
           (-0.621,  8.70e+09),
           (-0.618,  8.50e+09),
           (-0.611,  1.10e+10),
           (-0.608,  1.10e+10),
           (-0.604,  9.72e+09),
           (-0.601,  1.24e+10),
           (-0.597,  1.19e+10),
           (-0.594,  1.24e+10),
           (-0.591,  1.35e+10),
           (-0.587,  1.31e+10),
           (-0.584,  1.36e+10),
