Bolide Detection Notification: 2019-032

At 18:17:11 UT on 01 Feb 2019, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 22.5 °N, Lon 83.8 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 5.61e+10 watts/steradian, and total radiated flash
energy 5.79e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-1.998,  2.38e+09),
           (-1.995, -8.52e+08),
           (-1.988,  1.93e+09),
           (-1.985, -2.71e+08),
           (-1.981,  3.27e+08),
           (-1.978,  5.25e+08),
           (-1.974, -1.00e+09),
           (-1.971, -1.57e+08),
           (-1.968, -2.61e+08),
           (-1.964,  4.78e+08),
           (-1.961,  6.12e+08),
           (-1.958, -1.83e+08),
           (-1.954,  1.03e+09),
           (-1.951, -8.58e+08),
           (-1.944, -3.33e+08),
           (-1.941, -2.56e+08),
           (-1.937, -1.49e+09),
           (-1.934,  1.14e+09),
           (-1.927, -8.99e+08),
           (-1.924,  1.73e+09),
           (-1.920, -4.15e+08),
           (-1.917, -9.25e+08),
           (-1.914,  1.23e+09),
           (-1.910, -8.65e+08),
           (-1.907,  1.17e+09),
           (-1.904, -2.63e+08),
           (-1.900,  6.94e+08),
           (-1.897,  1.17e+09),
           (-1.890,  2.88e+08),
           (-1.887,  1.17e+09),
           (-1.883,  3.07e+09),
           (-1.880, -1.56e+09),
           (-1.877, -8.24e+08),
           (-1.873,  1.09e+09),
           (-1.866, -9.60e+08),
           (-1.863,  1.39e+09),
           (-1.860,  1.64e+09),
           (-1.856,  6.15e+08),
           (-1.846,  2.20e+08),
           (-1.843,  3.29e+08),
           (-1.839,  1.19e+09),
           (-1.836, -4.59e+06),
           (-1.833,  6.34e+08),
           (-1.829, -6.24e+08),
           (-1.826,  1.14e+08),
           (-1.823,  1.88e+09),
           (-1.819,  2.23e+09),
           (-1.816, -6.20e+08),
           (-1.812, -5.07e+08),
           (-1.809,  2.23e+09),
           (-1.806, -6.33e+08),
           (-1.802,  5.77e+08),
           (-1.799,  1.12e+09),
           (-1.796, -9.40e+08),
           (-1.792,  9.67e+08),
           (-1.789,  9.28e+08),
           (-1.785,  8.04e+08),
           (-1.782,  9.08e+08),
           (-1.779,  3.87e+08),
           (-1.775,  2.38e+08),
           (-1.772,  1.07e+09),
           (-1.769,  9.70e+08),
           (-1.765,  1.39e+09),
           (-1.762,  6.01e+08),
           (-1.758,  2.02e+09),
           (-1.755, -2.81e+08),
           (-1.748,  1.47e+09),
           (-1.745,  8.68e+08),
           (-1.742, -3.45e+08),
