"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
"       (2003 QB30)",1.231,0.4176,0.64,314.85,107.78,0.717,1.74,1.37,3,4,32,1,1,26.80,,,,,,,,,,
"       (2003 XV)",1.944,0.5541,4.54,252.39,231.35,0.867,3.02,2.71,2927,0,80,,,26.70,,,,,,,,,,
"       (2003 YN107)",0.9888,0.0139,4.32,264.38,87.72,0.975,1.00,0.983,467,1,45,,,26.50,,,,,,,,,,
"       (2004 QA22)",0.951,0.1228,0.58,174.71,28.30,0.834,1.07,0.927,10,5,45,,,27.90,,,,,,,,,,
"       (2004 UT1)",0.9687,0.2215,4.41,211.31,293.89,0.754,1.18,0.953,6579,0,67,,,26.69,,,,,,,,,,
"       (2005 FN)",0.9333,0.3300,3.75,177.25,120.88,0.625,1.24,0.902,1,5,185,,,26.90,,,,,,,,,,
"       (2005 QP87)",1.233,0.1753,0.27,327.49,7.34,1.017,1.45,1.37,29,5,85,,,27.70,,,,,,,,,,
"       (2005 TE49)",0.9492,0.3652,4.75,195.00,304.68,0.603,1.30,0.925,4389,2,40,,,26.70,,,,,,,,,,
"       (2005 VN5)",0.9454,0.2326,2.06,48.26,116.16,0.725,1.17,0.919,2,5,61,,,27.00,,,,,,,,,,
"       (2007 EH)",2.162,0.6607,1.37,351.00,247.99,0.734,3.59,3.18,2,4,68,1,1,27.60,,,,,,,,,,
"       (2008 EZ7)",1.798,0.4486,9.31,168.63,4.93,0.991,2.60,2.41,2,5,208,,,27.00,,,,,,,,,,
"       (2008 ST)",0.964,0.1257,1.91,189.46,291.22,0.843,1.09,0.946,7,5,49,,,27.10,,,,,,,,,,
"       (2008 WM61)",1.482,0.3335,2.51,239.39,199.82,0.988,1.98,1.8,3288,0,75,,,26.60,,,,,,,,,,
"       (2009 FH)",1.475,0.3394,0.69,176.52,24.21,0.974,1.98,1.79,1,5,109,,,26.60,,,,0.1073,,,,,,
"       (2009 KW2)",1.362,0.2539,5.19,243.44,3.00,1.016,1.71,1.59,7,5,62,,,26.60,,,,0.05686,,,,,,
"       (2009 SN103)",1.299,0.2653,3.59,5.61,39.53,0.954,1.64,1.48,5,5,58,,,27.60,,,,0.037,,,,,,
"       (2009 UD)",1.039,0.1215,4.41,203.69,261.79,0.913,1.17,1.06,5,5,81,,,27.20,,,,0.023246,,,,,,
"       (2010 AL30)",1.046,0.3076,3.83,112.35,97.77,0.724,1.37,1.07,3,3,308,0,7,27.20,,,,0.1466,,,,,,
"       (2010 CK19)",0.9869,0.1501,2.26,328.52,278.91,0.839,1.14,0.98,12,5,35,,,27.90,,,,,,,,,,
"       (2010 JR34)",0.9594,0.1448,0.72,37.01,316.26,0.820,1.10,0.94,4,5,37,,,27.70,,,,,,,,,,
"       (2010 RX30)",0.8309,0.3883,5.06,165.95,320.03,0.508,1.15,0.757,1073,1,101,,,27.10,,,,,,,,,,
"       (2010 TE55)",0.9489,0.1280,1.16,196.73,305.34,0.828,1.07,0.924,5,4,159,,,28.00,,,,,,,,,,
"       (2010 UC)",0.9418,0.0658,4.85,21.14,177.34,0.880,1.00,0.914,7,5,54,,,27.40,,,,,,,,,,
"       (2010 UM7)",2.784,0.6831,4.56,217.83,223.80,0.882,4.69,4.65,2,5,33,3,1,27.60,,,,,,,,,,
"       (2010 VQ)",0.8614,0.1977,0.35,27.32,199.37,0.691,1.03,0.8,4411,2,61,,,27.72,,,,,,,,,,
"       (2011 CL50)",0.883,0.1463,0.19,354.60,308.80,0.754,1.01,0.83,3628,0,131,,,27.30,,,,,,,,,,
"       (2011 MD)",1.056,0.0370,2.45,271.56,6.07,1.017,1.10,1.09,967,2,528,,,28.00,,,,0.19372,,,,,,
"       (2011 TO)",0.9267,0.2800,2.24,185.12,57.59,0.667,1.19,0.892,469,4,44,,,26.58,,,,,,,,,,
"       (2011 UB)",1.929,0.4777,1.88,23.10,8.62,1.008,2.85,2.68,5,5,31,0,1,27.50,,,,,,,,,,
"       (2012 AP10)",0.8889,0.1382,2.73,101.56,212.18,0.766,1.01,0.838,1838,1,68,,,26.50,,,,,,,,,,
"       (2012 BD14)",1.018,0.2404,1.53,292.01,293.90,0.773,1.26,1.03,10,5,61,0,1,26.50,,,,,,,,,,
"       (2012 BX34)",0.7605,0.3581,10.52,306.69,335.94,0.488,1.03,0.663,2,3,129,0,1,27.60,,,,1.80828,,,,,,
