# Trajectory data computed from the USG input file.
#
# Reference time (UTC) = 1994-02-01 22:38:09
# Reference JD         = 2449385.443160
# Begin point
#     Lat    =   +2.574330 deg
#     Lon    =  164.326981 deg
#     Height =  49.9123 km
# End point
#     Lat    =   +2.762661 deg
#     Lon    =  163.986808 deg
#     Height =   6.7242 km
# Radiant
#     RA     = 315.4450 deg
#     Dec    = -18.1934 deg
#     Az     = 119.6000 deg
#     Alt    = +45.5000 deg
#
# Time (s), Ht. (km),  Lat. (deg),  Lon. (deg), AbsMag
 -1.685332,  49.9123,   +2.574330,  164.326981, -19.90
 -1.620592,  48.7994,   +2.579138,  164.318299, -19.91
 -1.569725,  47.9251,   +2.582916,  164.311476, -19.92
 -1.553537,  47.6468,   +2.584118,  164.309303, -20.12
 -1.518851,  47.0507,   +2.586695,  164.304649, -20.29
 -1.495733,  46.6535,   +2.588413,  164.301547, -20.13
 -1.486481,  46.4945,   +2.589101,  164.300305, -20.29
 -1.477236,  46.3356,   +2.589788,  164.299064, -20.13
 -1.461047,  46.0575,   +2.590991,  164.296891, -20.30
 -1.442547,  45.7396,   +2.592366,  164.294407, -20.44
 -1.424049,  45.4218,   +2.593741,  164.291924, -20.44
 -1.396293,  44.9449,   +2.595805,  164.288197, -20.78
 -1.380101,  44.6667,   +2.597009,  164.286023, -20.96
 -1.359292,  44.3093,   +2.598556,  164.283228, -20.96
 -1.347724,  44.1106,   +2.599417,  164.281674, -21.11
 -1.319975,  43.6339,   +2.601481,  164.277946, -21.18
 -1.292219,  43.1572,   +2.603545,  164.274217, -21.37
 -1.259852,  42.6013,   +2.605953,  164.269868, -21.31
 -1.243664,  42.3233,   +2.607158,  164.267693, -21.37
 -1.229780,  42.0849,   +2.608191,  164.265827, -21.53
 -1.213595,  41.8070,   +2.609395,  164.263651, -21.53
 -1.192783,  41.4496,   +2.610944,  164.260854, -21.58
 -1.176598,  41.1717,   +2.612149,  164.258678, -21.58
 -1.137235,  40.4959,   +2.615079,  164.253385, -22.14
 -1.165026,  40.9730,   +2.613010,  164.257122, -21.71
 -1.123349,  40.2575,   +2.616113,  164.251518, -22.25
 -1.118704,  40.1777,   +2.616459,  164.250893, -22.39
 -1.104803,  39.9391,   +2.617494,  164.249024, -22.55
 -1.097846,  39.8197,   +2.618012,  164.248088, -22.66
 -1.083955,  39.5812,   +2.619047,  164.246220, -22.74
 -1.070058,  39.3427,   +2.620082,  164.244350, -22.85
 -1.053845,  39.0644,   +2.621289,  164.242169, -22.96
 -1.046891,  38.9450,   +2.621807,  164.241234, -23.02
 -1.035303,  38.7461,   +2.622671,  164.239675, -23.11
 -1.007554,  38.2698,   +2.624738,  164.235941, -23.12
 -1.026051,  38.5873,   +2.623360,  164.238430, -23.12
 -0.984432,  37.8730,   +2.626461,  164.232830, -23.12
 -0.975180,  37.7142,   +2.627150,  164.231584, -23.14
 -0.956679,  37.3968,   +2.628529,  164.229094, -23.15
 -0.942807,  37.1587,   +2.629562,  164.227227, -23.15
 -0.931249,  36.9604,   +2.630424,  164.225671, -23.14
 -0.915064,  36.6827,   +2.631630,  164.223492, -23.14
 -0.908138,  36.5638,   +2.632146,  164.222560, -23.10
 -0.894265,  36.3258,   +2.633181,  164.220692, -23.10
 -0.880399,  36.0879,   +2.634214,  164.218825, -23.08
 -0.864225,  35.8104,   +2.635420,  164.216647, -23.05
 -0.852661,  35.6120,   +2.636282,  164.215090, -23.06
 -0.843402,  35.4532,   +2.636973,  164.213843, -23.09
 -0.836455,  35.3340,   +2.637491,  164.212907, -23.13
 -0.822561,  35.0956,   +2.638527,  164.211036, -23.19
 -0.813309,  34.9369,   +2.639217,  164.209790, -23.20
 -0.801748,  34.7386,   +2.640079,  164.208232, -23.20
 -0.787875,  34.5007,   +2.641114,  164.206364, -23.20
 -0.776322,  34.3025,   +2.641976,  164.204807, -23.18
 -0.764761,  34.1042,   +2.642838,  164.203249, -23.18
 -0.746281,  33.7872,   +2.644216,  164.200759, -23.13
 -0.725493,  33.4307,   +2.645767,  164.197958, -23.06
 -0.713935,  33.2325,   +2.646630,  164.196400, -23.05
 -0.697754,  32.9550,   +2.647837,  164.194220, -23.04
 -0.681569,  32.6774,   +2.649045,  164.192038, -23.04
 -0.670008,  32.4792,   +2.649908,  164.190480, -23.04
 -0.658440,  32.2808,   +2.650771,  164.188920, -23.06
