# Trajectory data computed from the USG input file.
#
# Reference time (UTC) = 1999-01-14 08:06:05
# Reference JD         = 2451192.837558
# Begin point
#     Lat    =  -44.145553 deg
#     Lon    = -129.904969 deg
#     Height =  75.1775 km
# End point
#     Lat    =  -43.935548 deg
#     Lon    = -129.465991 deg
#     Height =  13.1936 km
# Radiant
#     RA     =  52.4328 deg
#     Dec    = -52.1402 deg
#     Az     = 237.6000 deg
#     Alt    = +54.6000 deg
#
# Time (s), Ht. (km),  Lat. (deg),  Lon. (deg), AbsMag
 -3.479000,  75.1775,  -44.145553, -129.904969, -16.43
 -3.469000,  75.0532,  -44.145138, -129.904097, -12.75
 -3.466000,  75.0159,  -44.145014, -129.903835, -16.43
 -3.463000,  74.9786,  -44.144890, -129.903573, -16.35
 -3.459000,  74.9289,  -44.144724, -129.903224, -16.70
 -3.456000,  74.8916,  -44.144600, -129.902962, -17.24
 -3.452000,  74.8418,  -44.144434, -129.902613, -16.61
 -3.449000,  74.8046,  -44.144310, -129.902351, -14.99
 -3.442000,  74.7175,  -44.144020, -129.901740, -16.08
 -3.439000,  74.6802,  -44.143895, -129.901478, -17.01
 -3.436000,  74.6429,  -44.143771, -129.901217, -14.45
 -3.429000,  74.5559,  -44.143481, -129.900606, -14.93
 -3.422000,  74.4689,  -44.143191, -129.899995, -16.22
 -3.419000,  74.4316,  -44.143066, -129.899733, -14.21
 -3.409000,  74.3073,  -44.142652, -129.898860, -15.29
 -3.405000,  74.2576,  -44.142486, -129.898511, -13.35
 -3.402000,  74.2203,  -44.142362, -129.898249, -15.53
 -3.398000,  74.1706,  -44.142196, -129.897900, -11.94
 -3.395000,  74.1333,  -44.142072, -129.897638, -15.61
 -3.385000,  74.0090,  -44.141657, -129.896765, -16.58
 -3.382000,  73.9717,  -44.141533, -129.896503, -13.47
 -3.378000,  73.9220,  -44.141367, -129.896154, -13.59
 -3.375000,  73.8847,  -44.141243, -129.895892, -16.37
 -3.372000,  73.8474,  -44.141118, -129.895630, -15.77
 -3.368000,  73.7977,  -44.140953, -129.895281, -15.41
 -3.365000,  73.7604,  -44.140828, -129.895019, -15.10
 -3.361000,  73.7106,  -44.140662, -129.894670, -16.33
 -3.358000,  73.6734,  -44.140538, -129.894408, -16.19
 -3.351000,  73.5863,  -44.140248, -129.893797, -14.45
 -3.348000,  73.5491,  -44.140123, -129.893535, -14.63
 -3.344000,  73.4993,  -44.139958, -129.893186, -14.52
 -3.334000,  73.3750,  -44.139543, -129.892313, -16.22
 -3.331000,  73.3377,  -44.139419, -129.892051, -16.30
 -3.328000,  73.3005,  -44.139294, -129.891789, -16.20
 -3.324000,  73.2507,  -44.139128, -129.891440, -16.93
 -3.321000,  73.2134,  -44.139004, -129.891178, -15.04
 -3.317000,  73.1637,  -44.138838, -129.890829, -15.87
 -3.311000,  73.0892,  -44.138589, -129.890305, -14.40
 -3.304000,  73.0021,  -44.138299, -129.889694, -15.68
 -3.301000,  72.9649,  -44.138175, -129.889432, -16.05
 -3.297000,  72.9151,  -44.138009, -129.889083, -16.26
 -3.294000,  72.8778,  -44.137884, -129.888821, -17.39
 -3.291000,  72.8406,  -44.137760, -129.888559, -17.00
 -3.287000,  72.7908,  -44.137594, -129.888209, -16.58
 -3.284000,  72.7536,  -44.137470, -129.887948, -16.42
 -3.280000,  72.7038,  -44.137304, -129.887598, -16.99
 -3.277000,  72.6666,  -44.137179, -129.887336, -16.97
 -3.274000,  72.6293,  -44.137055, -129.887074, -17.16
 -3.270000,  72.5795,  -44.136889, -129.886725, -16.68
 -3.267000,  72.5423,  -44.136764, -129.886463, -17.34
 -3.263000,  72.4925,  -44.136599, -129.886114, -16.18
 -3.260000,  72.4553,  -44.136474, -129.885852, -16.24
 -3.257000,  72.4180,  -44.136350, -129.885590, -16.81
 -3.253000,  72.3683,  -44.136184, -129.885241, -16.56
 -3.250000,  72.3310,  -44.136059, -129.884979, -16.39
 -3.243000,  72.2440,  -44.135769, -129.884367, -17.02
 -3.240000,  72.2067,  -44.135644, -129.884105, -16.92
 -3.237000,  72.1694,  -44.135520, -129.883844, -16.54
 -3.233000,  72.1197,  -44.135354, -129.883494, -17.65
 -3.230000,  72.0824,  -44.135230, -129.883232, -17.43
 -3.226000,  72.0327,  -44.135064, -129.882883, -17.00
 -3.223000,  71.9954,  -44.134939, -129.882621, -17.67
 -3.220000,  71.9581,  -44.134815, -129.882359, -17.14
 -3.216000,  71.9084,  -44.134649, -129.882010, -15.87
 -3.213000,  71.8711,  -44.134524, -129.881748, -16.98
 -3.209000,  71.8214,  -44.134358, -129.881398, -17.08
 -3.206000,  71.7841,  -44.134234, -129.881136, -16.40
 -3.203000,  71.7468,  -44.134109, -129.880874, -16.54
 -3.199000,  71.6971,  -44.133943, -129.880525, -16.91
 -3.196000,  71.6598,  -44.133819, -129.880263, -16.86
 -3.193000,  71.6225,  -44.133694, -129.880001, -16.50
 -3.186000,  71.5355,  -44.133404, -129.879390, -16.34
 -3.182000,  71.4858,  -44.133238, -129.879040, -16.84
 -3.179000,  71.4485,  -44.133114, -129.878778, -16.86
 -3.176000,  71.4113,  -44.132989, -129.878516, -16.16
 -3.172000,  71.3615,  -44.132823, -129.878167, -16.62
 -3.169000,  71.3243,  -44.132699, -129.877905, -17.51
 -3.166000,  71.2870,  -44.132574, -129.877643, -16.47
 -3.162000,  71.2373,  -44.132408, -129.877294, -17.13
 -3.159000,  71.2000,  -44.132283, -129.877032, -16.65
 -3.156000,  71.1627,  -44.132159, -129.876769, -15.94
 -3.152000,  71.1130,  -44.131993, -129.876420, -16.99
 -3.149000,  71.0757,  -44.131868, -129.876158, -16.50
 -3.145000,  71.0260,  -44.131702, -129.875809, -16.41
 -3.142000,  70.9887,  -44.131578, -129.875547, -16.79
 -3.139000,  70.9514,  -44.131453, -129.875285, -17.08
 -3.135000,  70.9017,  -44.131287, -129.874935, -16.75
 -3.132000,  70.8644,  -44.131163, -129.874673, -16.41
