# Trajectory data computed from the USG input file.
#
# Reference time (UTC) = 2006-12-09 06:31:12
# Reference JD         = 2454078.771667
# Begin point
#     Lat    =  +25.840469 deg
#     Lon    =   28.510076 deg
#     Height =  50.9679 km
# End point
#     Lat    =  +26.288948 deg
#     Lon    =   25.327558 deg
#     Height =  21.6296 km
# Radiant
#     RA     = 283.7577 deg
#     Dec    =  -5.7907 deg
#     Az     =  98.7100 deg
#     Alt    =  +4.4900 deg
#
# Time (s), Ht. (km),  Lat. (deg),  Lon. (deg), AbsMag
-15.798000,  50.9679,  +25.840469,   28.510076, -16.42
-15.795000,  50.9623,  +25.840540,   28.509602, -17.31
-15.791000,  50.9549,  +25.840636,   28.508971, -17.49
-15.788000,  50.9493,  +25.840708,   28.508498, -16.95
-15.785000,  50.9438,  +25.840780,   28.508025, -16.67
-15.781000,  50.9363,  +25.840876,   28.507393, -15.79
-15.761000,  50.8993,  +25.841355,   28.504238, -14.22
-15.758000,  50.8937,  +25.841427,   28.503764, -16.67
-15.754000,  50.8863,  +25.841523,   28.503133, -16.29
-15.751000,  50.8807,  +25.841595,   28.502660, -17.00
-15.748000,  50.8752,  +25.841667,   28.502187, -16.94
-15.744000,  50.8678,  +25.841762,   28.501555, -17.40
-15.741000,  50.8622,  +25.841834,   28.501082, -17.13
-15.737000,  50.8548,  +25.841930,   28.500451, -14.95
-15.734000,  50.8492,  +25.842002,   28.499977, -15.64
-15.731000,  50.8437,  +25.842074,   28.499504, -16.64
-15.727000,  50.8363,  +25.842170,   28.498873, -17.06
-15.724000,  50.8307,  +25.842241,   28.498399, -16.24
-15.721000,  50.8252,  +25.842313,   28.497926, -16.45
-15.717000,  50.8178,  +25.842409,   28.497295, -17.28
-15.714000,  50.8122,  +25.842481,   28.496822, -17.25
-15.710000,  50.8048,  +25.842577,   28.496190, -17.70
-15.707000,  50.7992,  +25.842649,   28.495717, -16.22
-15.700000,  50.7863,  +25.842816,   28.494612, -17.24
-15.697000,  50.7807,  +25.842888,   28.494139, -14.09
-15.693000,  50.7733,  +25.842984,   28.493508, -15.24
-15.670000,  50.7308,  +25.843535,   28.489878, -13.54
-15.667000,  50.7252,  +25.843607,   28.489405, -16.91
-15.663000,  50.7178,  +25.843702,   28.488774, -17.03
-15.660000,  50.7123,  +25.843774,   28.488300, -15.89
-15.656000,  50.7049,  +25.843870,   28.487669, -16.81
-15.653000,  50.6993,  +25.843942,   28.487196, -16.64
-15.650000,  50.6938,  +25.844014,   28.486722, -15.99
-15.646000,  50.6864,  +25.844109,   28.486091, -14.54
-15.643000,  50.6809,  +25.844181,   28.485618, -16.76
-15.639000,  50.6735,  +25.844277,   28.484986, -16.82
-15.636000,  50.6679,  +25.844349,   28.484513, -16.95
-15.629000,  50.6550,  +25.844516,   28.483408, -15.20
-15.626000,  50.6494,  +25.844588,   28.482935, -16.44
-15.623000,  50.6439,  +25.844660,   28.482462, -15.77
-15.619000,  50.6365,  +25.844756,   28.481830, -12.98
-15.616000,  50.6310,  +25.844827,   28.481357, -16.18
-15.612000,  50.6236,  +25.844923,   28.480726, -17.38
-15.609000,  50.6180,  +25.844995,   28.480252, -17.44
-15.606000,  50.6125,  +25.845067,   28.479779, -17.59
-15.602000,  50.6051,  +25.845163,   28.479148, -17.43
-15.599000,  50.5996,  +25.845234,   28.478674, -17.78
-15.596000,  50.5940,  +25.845306,   28.478201, -18.12
-15.592000,  50.5866,  +25.845402,   28.477569, -17.76
-15.589000,  50.5811,  +25.845474,   28.477096, -17.34
-15.586000,  50.5755,  +25.845546,   28.476623, -17.69
-15.582000,  50.5682,  +25.845641,   28.475991, -18.18
-15.579000,  50.5626,  +25.845713,   28.475518, -17.94
-15.575000,  50.5552,  +25.845809,   28.474887, -17.99
-15.572000,  50.5497,  +25.845881,   28.474413, -18.10
-15.569000,  50.5442,  +25.845952,   28.473940, -17.29
