# Trajectory data computed from the USG input file.
#
# Reference time (UTC) = 2010-07-06 23:54:43
# Reference JD         = 2455384.496331
# Begin point
#     Lat    =  -33.779956 deg
#     Lon    = -174.007155 deg
#     Height =  81.0021 km
# End point
#     Lat    =  -34.419359 deg
#     Lon    = -174.997824 deg
#     Height = -27.7730 km
# Radiant
#     RA     = 143.1048 deg
#     Dec    =  -0.7320 deg
#     Az     =  50.9900 deg
#     Alt    = +43.8700 deg
#
# Time (s), Ht. (km),  Lat. (deg),  Lon. (deg), AbsMag
 -5.032000,  81.0021,  -33.779956, -174.007155, -16.49
 -5.022000,  80.8923,  -33.780588, -174.008123, -16.27
 -5.012000,  80.7825,  -33.781220, -174.009091, -16.35
 -5.005000,  80.7057,  -33.781663, -174.009768, -14.97
 -5.002000,  80.6727,  -33.781853, -174.010059, -15.54
 -4.998000,  80.6288,  -33.782106, -174.010446, -12.66
 -4.988000,  80.5190,  -33.782738, -174.011414, -13.15
 -4.965000,  80.2665,  -33.784193, -174.013641, -15.51
 -4.954000,  80.1458,  -33.784889, -174.014706, -13.85
 -4.944000,  80.0360,  -33.785521, -174.015675, -16.38
 -4.934000,  79.9262,  -33.786153, -174.016643, -14.58
 -4.931000,  79.8932,  -33.786343, -174.016933, -14.94
 -4.924000,  79.8164,  -33.786786, -174.017611, -15.45
 -4.921000,  79.7835,  -33.786976, -174.017902, -16.14
 -4.910000,  79.6627,  -33.787672, -174.018967, -15.82
 -4.884000,  79.3773,  -33.789316, -174.021486, -15.32
 -4.880000,  79.3334,  -33.789569, -174.021873, -14.77
 -4.877000,  79.3005,  -33.789759, -174.022164, -14.41
 -4.857000,  79.0809,  -33.791024, -174.024101, -14.52
 -4.850000,  79.0041,  -33.791467, -174.024779, -16.55
 -4.843000,  78.9273,  -33.791910, -174.025457, -15.58
 -4.840000,  78.8943,  -33.792100, -174.025748, -16.60
 -4.836000,  78.8504,  -33.792353, -174.026136, -15.54
 -4.813000,  78.5980,  -33.793808, -174.028364, -14.52
 -4.809000,  78.5541,  -33.794061, -174.028752, -14.63
 -4.806000,  78.5211,  -33.794251, -174.029042, -16.70
 -4.803000,  78.4882,  -33.794441, -174.029333, -15.26
 -4.796000,  78.4114,  -33.794884, -174.030011, -16.46
 -4.789000,  78.3346,  -33.795326, -174.030690, -15.60
 -4.786000,  78.3016,  -33.795516, -174.030980, -14.77
 -4.782000,  78.2577,  -33.795769, -174.031368, -16.08
 -4.772000,  78.1480,  -33.796402, -174.032337, -16.27
 -4.769000,  78.1151,  -33.796592, -174.032628, -15.92
 -4.765000,  78.0712,  -33.796845, -174.033015, -15.98
 -4.759000,  78.0053,  -33.797225, -174.033597, -16.22
 -4.755000,  77.9614,  -33.797478, -174.033985, -16.52
 -4.691000,  77.2591,  -33.801528, -174.040189, -16.57
