# Trajectory data computed from the USG input file.
#
# Reference time (UTC) = 2013-02-15 03:20:33
# Reference JD         = 2456338.639271
# Begin point
#     Lat    =  +54.457589 deg
#     Lon    =   64.148745 deg
#     Height =  83.4824 km
# End point
#     Lat    =  +54.892653 deg
#     Lon    =   60.126344 deg
#     Height =   5.7699 km
# Radiant
#     RA     = 329.3448 deg
#     Dec    =  +7.4045 deg
#     Az     =  99.8959 deg
#     Alt    = +15.9200 deg
#
# Time (s), Ht. (km),  Lat. (deg),  Lon. (deg), AbsMag
-11.179971,  83.4824,  +54.457589,   64.148745, -10.49
-11.139971,  83.2562,  +54.458933,   64.138030, -10.75
-11.099971,  83.0300,  +54.460277,   64.127314, -11.41
-11.059971,  82.8039,  +54.461619,   64.116596, -11.28
-11.019971,  82.5779,  +54.462961,   64.105877, -11.11
-10.979971,  82.3520,  +54.464302,   64.095156, -11.78
-10.939971,  82.1261,  +54.465642,   64.084434, -11.80
-10.899971,  81.9003,  +54.466982,   64.073711, -11.76
-10.859971,  81.6746,  +54.468320,   64.062986, -12.20
-10.819971,  81.4490,  +54.469658,   64.052259, -12.01
-10.779971,  81.2234,  +54.470995,   64.041532, -12.78
-10.739971,  80.9980,  +54.472331,   64.030802, -12.72
-10.699971,  80.7726,  +54.473666,   64.020072, -12.75
-10.659971,  80.5473,  +54.475000,   64.009340, -13.04
-10.619971,  80.3220,  +54.476334,   63.998606, -13.29
-10.579971,  80.0969,  +54.477667,   63.987871, -13.05
-10.539971,  79.8718,  +54.478998,   63.977135, -13.33
-10.499971,  79.6468,  +54.480329,   63.966397, -13.29
-10.459971,  79.4218,  +54.481660,   63.955658, -13.56
-10.419971,  79.1970,  +54.482989,   63.944917, -13.57
-10.379971,  78.9722,  +54.484318,   63.934175, -13.43
-10.339971,  78.7475,  +54.485645,   63.923432, -13.68
-10.299971,  78.5229,  +54.486972,   63.912687, -13.61
-10.259971,  78.2984,  +54.488298,   63.901941, -13.66
-10.219971,  78.0739,  +54.489623,   63.891193, -13.60
-10.179971,  77.8495,  +54.490948,   63.880444, -14.47
-10.139971,  77.6252,  +54.492271,   63.869693, -14.57
-10.099971,  77.4010,  +54.493594,   63.858941, -14.74
-10.059971,  77.1769,  +54.494916,   63.848188, -14.76
-10.019971,  76.9528,  +54.496237,   63.837433, -14.77
 -9.979971,  76.7288,  +54.497557,   63.826677, -14.81
 -9.939971,  76.5049,  +54.498877,   63.815919, -15.17
 -9.899971,  76.2811,  +54.500195,   63.805160, -15.15
 -9.859971,  76.0573,  +54.501513,   63.794400, -15.13
 -9.819971,  75.8336,  +54.502830,   63.783638, -15.23
 -9.779971,  75.6100,  +54.504146,   63.772875, -15.31
 -9.739971,  75.3865,  +54.505461,   63.762110, -15.35
 -9.699971,  75.1631,  +54.506775,   63.751344, -15.36
 -9.659971,  74.9397,  +54.508089,   63.740577, -15.52
 -9.619971,  74.7164,  +54.509401,   63.729808, -15.37
 -9.579971,  74.4932,  +54.510713,   63.719037, -15.49
 -9.539971,  74.2701,  +54.512024,   63.708266, -15.68
 -9.499971,  74.0470,  +54.513334,   63.697492, -15.74
 -9.459971,  73.8241,  +54.514644,   63.686718, -15.75
 -9.419971,  73.6012,  +54.515952,   63.675942, -15.69
 -9.379971,  73.3784,  +54.517260,   63.665164, -15.80
 -9.339971,  73.1556,  +54.518566,   63.654386, -16.05
 -9.299971,  72.9330,  +54.519872,   63.643606, -16.04
 -9.259971,  72.7104,  +54.521177,   63.632824, -16.02
 -9.219971,  72.4879,  +54.522482,   63.622041, -16.10
 -9.179971,  72.2654,  +54.523785,   63.611256, -16.23
 -9.139971,  72.0431,  +54.525088,   63.600471, -16.12
 -9.099971,  71.8208,  +54.526389,   63.589683, -16.05
 -9.059971,  71.5986,  +54.527690,   63.578895, -16.32
 -9.019971,  71.3765,  +54.528990,   63.568105, -16.33
 -8.979971,  71.1545,  +54.530290,   63.557313, -16.20
 -8.939971,  70.9325,  +54.531588,   63.546520, -16.35
 -8.899971,  70.7106,  +54.532886,   63.535726, -16.62
 -8.859971,  70.4888,  +54.534182,   63.524931, -16.54
 -8.819971,  70.2671,  +54.535478,   63.514134, -16.41
 -8.779971,  70.0455,  +54.536773,   63.503335, -16.60
 -8.739971,  69.8239,  +54.538067,   63.492535, -16.67
 -8.699971,  69.6024,  +54.539360,   63.481734, -16.70
 -8.659971,  69.3810,  +54.540653,   63.470931, -16.85
 -8.619971,  69.1597,  +54.541944,   63.460127, -16.72
 -8.579971,  68.9384,  +54.543235,   63.449322, -16.93
 -8.539971,  68.7173,  +54.544525,   63.438515, -16.95
 -8.499971,  68.4962,  +54.545814,   63.427707, -16.95
 -8.459971,  68.2751,  +54.547102,   63.416897, -17.00
 -8.419971,  68.0542,  +54.548390,   63.406086, -16.90
 -8.379971,  67.8333,  +54.549676,   63.395273, -17.06
 -8.339971,  67.6126,  +54.550962,   63.384459, -16.95
 -8.299971,  67.3919,  +54.552247,   63.373644, -17.02
 -8.259971,  67.1712,  +54.553531,   63.362828, -17.08
 -8.219971,  66.9507,  +54.554814,   63.352009, -17.04
 -8.179971,  66.7302,  +54.556096,   63.341190, -16.98
 -8.139971,  66.5098,  +54.557377,   63.330369, -17.12
 -8.099971,  66.2895,  +54.558658,   63.319547, -17.29
 -8.059971,  66.0693,  +54.559938,   63.308723, -17.20
 -8.019971,  65.8491,  +54.561217,   63.297898, -17.21
 -7.979971,  65.6290,  +54.562495,   63.287072, -17.27
 -7.939971,  65.4091,  +54.563772,   63.276244, -17.30
 -7.899971,  65.1891,  +54.565048,   63.265415, -17.25
 -7.859971,  64.9693,  +54.566323,   63.254584, -17.24
 -7.819971,  64.7495,  +54.567598,   63.243752, -17.30
 -7.779971,  64.5298,  +54.568872,   63.232919, -17.26
 -7.739971,  64.3102,  +54.570145,   63.222084, -17.36
 -7.699971,  64.0907,  +54.571417,   63.211248, -17.33
 -7.659971,  63.8713,  +54.572688,   63.200410, -17.40
 -7.619971,  63.6519,  +54.573958,   63.189571, -17.42
 -7.579971,  63.4326,  +54.575228,   63.178731, -17.53
 -7.539971,  63.2134,  +54.576496,   63.167889, -17.49
 -7.499971,  62.9942,  +54.577764,   63.157046, -17.56
 -7.459971,  62.7752,  +54.579031,   63.146202, -17.50
 -7.419971,  62.5562,  +54.580297,   63.135356, -17.66
 -7.379971,  62.3373,  +54.581562,   63.124509, -17.55
 -7.339971,  62.1185,  +54.582827,   63.113660, -17.56
 -7.299971,  61.8997,  +54.584090,   63.102810, -17.53
 -7.259971,  61.6811,  +54.585353,   63.091959, -17.56
 -7.219971,  61.4625,  +54.586614,   63.081106, -17.56
 -7.179971,  61.2440,  +54.587875,   63.070251, -17.50
 -7.139971,  61.0255,  +54.589135,   63.059396, -17.55
 -7.099971,  60.8072,  +54.590395,   63.048539, -17.62
 -7.059971,  60.5889,  +54.591653,   63.037681, -17.63
 -7.019971,  60.3707,  +54.592910,   63.026821, -17.56
 -6.979971,  60.1526,  +54.594167,   63.015960, -17.65
 -6.939971,  59.9346,  +54.595423,   63.005097, -17.67
 -6.899971,  59.7166,  +54.596678,   62.994233, -17.66
 -6.859971,  59.4987,  +54.597932,   62.983368, -17.86
 -6.819971,  59.2809,  +54.599185,   62.972502, -17.73
 -6.779971,  59.0632,  +54.600437,   62.961634, -17.82
 -6.739971,  58.8456,  +54.601688,   62.950764, -17.82
 -6.699971,  58.6280,  +54.602939,   62.939893, -17.86
 -6.659971,  58.4105,  +54.604189,   62.929021, -17.78
 -6.619971,  58.1931,  +54.605438,   62.918148, -17.82
 -6.579971,  57.9758,  +54.606686,   62.907273, -17.90
 -6.539971,  57.7585,  +54.607933,   62.896397, -17.87
 -6.499971,  57.5413,  +54.609179,   62.885519, -17.86
 -6.459971,  57.3242,  +54.610424,   62.874640, -17.85
 -6.419971,  57.1072,  +54.611669,   62.863760, -17.97
 -6.379971,  56.8903,  +54.612913,   62.852878, -18.01
 -6.339971,  56.6734,  +54.614155,   62.841995, -18.02
 -6.299971,  56.4566,  +54.615397,   62.831110, -18.01
 -6.259971,  56.2399,  +54.616639,   62.820224, -18.04
 -6.219971,  56.0233,  +54.617879,   62.809337, -18.02
 -6.179971,  55.8067,  +54.619118,   62.798448, -18.04
 -6.139971,  55.5903,  +54.620357,   62.787558, -18.15
 -6.099971,  55.3739,  +54.621594,   62.776667, -18.18
 -6.059971,  55.1576,  +54.622831,   62.765774, -18.16
 -6.019971,  54.9413,  +54.624067,   62.754880, -18.17
 -5.979971,  54.7252,  +54.625302,   62.743985, -18.24
 -5.939971,  54.5091,  +54.626536,   62.733088, -18.26
 -5.899971,  54.2931,  +54.627769,   62.722190, -18.32
 -5.859971,  54.0772,  +54.629002,   62.711290, -18.26
 -5.819971,  53.8614,  +54.630233,   62.700389, -18.35
 -5.779971,  53.6456,  +54.631464,   62.689487, -18.35
 -5.739971,  53.4299,  +54.632694,   62.678583, -18.33
 -5.699971,  53.2143,  +54.633923,   62.667678, -18.46
 -5.659971,  52.9988,  +54.635151,   62.656771, -18.47
 -5.619971,  52.7833,  +54.636378,   62.645864, -18.61
 -5.579971,  52.5680,  +54.637604,   62.634955, -18.64
 -5.539971,  52.3527,  +54.638830,   62.624044, -18.68
 -5.499971,  52.1375,  +54.640054,   62.613132, -18.71
 -5.459971,  51.9223,  +54.641278,   62.602219, -18.73
 -5.419971,  51.7073,  +54.642501,   62.591304, -18.74
 -5.379971,  51.4923,  +54.643723,   62.580388, -18.77
 -5.339971,  51.2774,  +54.644944,   62.569471, -18.77
 -5.299971,  51.0626,  +54.646164,   62.558552, -18.95
 -5.259971,  50.8478,  +54.647383,   62.547632, -18.89
 -5.219971,  50.6332,  +54.648602,   62.536711, -18.98
 -5.179971,  50.4186,  +54.649819,   62.525788, -19.00
 -5.139971,  50.2041,  +54.651036,   62.514864, -19.06
 -5.099971,  49.9897,  +54.652252,   62.503938, -19.15
 -5.059971,  49.7753,  +54.653467,   62.493012, -19.18
 -5.019971,  49.5611,  +54.654681,   62.482083, -19.16
 -4.979971,  49.3469,  +54.655894,   62.471154, -19.21
 -4.939971,  49.1328,  +54.657107,   62.460223, -19.27
 -4.899971,  48.9187,  +54.658318,   62.449291, -19.31
 -4.859971,  48.7048,  +54.659529,   62.438357, -19.32
 -4.819971,  48.4909,  +54.660739,   62.427422, -19.42
 -4.779971,  48.2771,  +54.661947,   62.416486, -19.51
 -4.739971,  48.0634,  +54.663155,   62.405548, -19.54
 -4.699971,  47.8497,  +54.664362,   62.394609, -19.46
 -4.659971,  47.6362,  +54.665569,   62.383668, -19.48
 -4.619971,  47.4227,  +54.666774,   62.372727, -19.54
 -4.579971,  47.2093,  +54.667978,   62.361784, -19.52
 -4.539971,  46.9960,  +54.669182,   62.350839, -19.67
 -4.499971,  46.7827,  +54.670385,   62.339893, -19.69
 -4.459971,  46.5696,  +54.671587,   62.328946, -19.75
 -4.419971,  46.3565,  +54.672787,   62.317998, -19.75
 -4.379971,  46.1435,  +54.673988,   62.307048, -19.75
