# Trajectory data computed from the USG input file.
#
# Reference time (UTC) = 2020-12-22 23:23:33
# Reference JD         = 2459206.474687
# Begin point
#     Lat    =  +32.714334 deg
#     Lon    =   96.089289 deg
#     Height =  44.0698 km
# End point
#     Lat    =  +31.503130 deg
#     Lon    =   96.253083 deg
#     Height =  31.8096 km
# Radiant
#     RA     =  16.6440 deg
#     Dec    = +61.9475 deg
#     Az     = 351.8000 deg
#     Alt    =  +4.9200 deg
#
# Time (s), Ht. (km),  Lat. (deg),  Lon. (deg), AbsMag
 -6.719000,  44.0602,  +32.713488,   96.089406, -16.83
 -6.712000,  44.0506,  +32.712642,   96.089522, -15.98
 -6.709000,  44.0465,  +32.712279,   96.089572, -16.17
 -6.706000,  44.0424,  +32.711916,   96.089622, -16.61
 -6.699000,  44.0328,  +32.711070,   96.089738, -15.60
 -6.689000,  44.0191,  +32.709861,   96.089904, -14.26
 -6.672000,  43.9958,  +32.707806,   96.090187, -16.09
 -6.669000,  43.9917,  +32.707443,   96.090236, -13.02
 -6.665000,  43.9862,  +32.706960,   96.090303, -12.10
 -6.659000,  43.9780,  +32.706234,   96.090403, -14.94
 -6.652000,  43.9684,  +32.705388,   96.090519, -16.65
 -6.648000,  43.9629,  +32.704905,   96.090585, -14.05
 -6.645000,  43.9588,  +32.704542,   96.090635, -13.51
 -6.638000,  43.9492,  +32.703696,   96.090751, -17.08
 -6.635000,  43.9451,  +32.703333,   96.090801, -15.44
 -6.628000,  43.9355,  +32.702487,   96.090918, -16.31
 -6.625000,  43.9314,  +32.702124,   96.090967, -17.36
 -6.621000,  43.9259,  +32.701640,   96.091034, -16.91
 -6.618000,  43.9218,  +32.701278,   96.091084, -16.76
 -6.615000,  43.9177,  +32.700915,   96.091134, -16.28
 -6.611000,  43.9122,  +32.700432,   96.091200, -16.12
 -6.608000,  43.9081,  +32.700069,   96.091250, -14.70
 -6.601000,  43.8985,  +32.699223,   96.091366, -15.34
 -6.598000,  43.8944,  +32.698860,   96.091416, -16.16
 -6.594000,  43.8890,  +32.698376,   96.091482, -17.29
 -6.591000,  43.8849,  +32.698014,   96.091532, -16.07
 -6.588000,  43.8808,  +32.697651,   96.091582, -17.00
 -6.584000,  43.8753,  +32.697167,   96.091649, -17.26
 -6.581000,  43.8712,  +32.696805,   96.091698, -17.09
 -6.578000,  43.8671,  +32.696442,   96.091748, -17.00
 -6.574000,  43.8616,  +32.695958,   96.091815, -17.02
 -6.571000,  43.8575,  +32.695596,   96.091864, -16.62
 -6.567000,  43.8520,  +32.695112,   96.091931, -15.96
 -6.564000,  43.8479,  +32.694749,   96.091981, -17.29
 -6.561000,  43.8438,  +32.694387,   96.092031, -16.86
 -6.557000,  43.8384,  +32.693903,   96.092097, -16.47
 -6.551000,  43.8302,  +32.693178,   96.092197, -15.88
 -6.547000,  43.8247,  +32.692694,   96.092263, -16.69
 -6.544000,  43.8206,  +32.692332,   96.092313, -15.22
 -6.540000,  43.8151,  +32.691848,   96.092379, -16.34
 -6.537000,  43.8110,  +32.691485,   96.092429, -17.06
 -6.534000,  43.8069,  +32.691123,   96.092479, -17.41
 -6.530000,  43.8015,  +32.690639,   96.092545, -16.12
 -6.527000,  43.7974,  +32.690276,   96.092595, -17.01
 -6.523000,  43.7919,  +32.689793,   96.092662, -16.92
 -6.520000,  43.7878,  +32.689430,   96.092711, -17.21
 -6.517000,  43.7837,  +32.689067,   96.092761, -13.97
 -6.513000,  43.7782,  +32.688584,   96.092828, -15.62
 -6.510000,  43.7741,  +32.688221,   96.092878, -16.08
 -6.507000,  43.7700,  +32.687858,   96.092927, -17.35
 -6.503000,  43.7646,  +32.687375,   96.092994, -16.73
 -6.500000,  43.7605,  +32.687012,   96.093044, -16.25
 -6.497000,  43.7564,  +32.686649,   96.093094, -16.59
 -6.490000,  43.7468,  +32.685803,   96.093210, -16.97
 -6.480000,  43.7332,  +32.684594,   96.093376, -16.39
 -6.476000,  43.7277,  +32.684110,   96.093442, -13.11
 -6.473000,  43.7236,  +32.683748,   96.093492, -15.99
 -6.466000,  43.7141,  +32.682901,   96.093608, -17.31
 -6.463000,  43.7100,  +32.682539,   96.093658, -16.98
 -6.459000,  43.7045,  +32.682055,   96.093725, -13.85
 -6.446000,  43.6868,  +32.680483,   96.093940, -16.32
 -6.439000,  43.6773,  +32.679637,   96.094057, -14.90
 -6.432000,  43.6677,  +32.678791,   96.094173, -17.17
 -6.429000,  43.6636,  +32.678428,   96.094223, -15.38
 -6.426000,  43.6595,  +32.678065,   96.094273, -17.08
 -6.422000,  43.6541,  +32.677582,   96.094339, -16.49
 -6.415000,  43.6445,  +32.676735,   96.094455, -14.95
 -6.409000,  43.6364,  +32.676010,   96.094555, -17.03
 -6.405000,  43.6309,  +32.675526,   96.094621, -16.39
 -6.402000,  43.6268,  +32.675164,   96.094671, -16.28
 -6.395000,  43.6173,  +32.674317,   96.094787, -15.50
 -6.392000,  43.6132,  +32.673954,   96.094837, -16.81
 -6.389000,  43.6091,  +32.673592,   96.094887, -16.18
 -6.382000,  43.5996,  +32.672745,   96.095003, -16.90
 -6.378000,  43.5941,  +32.672262,   96.095069, -14.49
 -6.375000,  43.5900,  +32.671899,   96.095119, -15.67
 -6.361000,  43.5710,  +32.670206,   96.095352, -16.75
 -6.358000,  43.5669,  +32.669844,   96.095401, -17.25
 -6.355000,  43.5628,  +32.669481,   96.095451, -16.41
 -6.351000,  43.5574,  +32.668997,   96.095518, -16.40
 -6.345000,  43.5492,  +32.668272,   96.095617, -17.23
 -6.341000,  43.5438,  +32.667788,   96.095684, -16.76
 -6.338000,  43.5397,  +32.667425,   96.095733, -16.79
 -6.334000,  43.5342,  +32.666942,   96.095800, -15.97
 -6.331000,  43.5301,  +32.666579,   96.095850, -16.09
 -6.324000,  43.5206,  +32.665733,   96.095966, -16.25
 -6.318000,  43.5125,  +32.665007,   96.096065, -16.86
 -6.314000,  43.5070,  +32.664524,   96.096132, -15.73
 -6.297000,  43.4839,  +32.662468,   96.096414, -16.28
 -6.287000,  43.4703,  +32.661259,   96.096580, -14.95
 -6.284000,  43.4662,  +32.660896,   96.096630, -15.37
 -6.270000,  43.4472,  +32.659203,   96.096862, -16.76
 -6.264000,  43.4391,  +32.658478,   96.096962, -17.14
 -6.253000,  43.4241,  +32.657148,   96.097144, -16.72
 -6.250000,  43.4200,  +32.656785,   96.097194, -14.68
 -6.247000,  43.4160,  +32.656422,   96.097244, -15.67
 -6.243000,  43.4105,  +32.655939,   96.097310, -16.58
 -6.233000,  43.3970,  +32.654730,   96.097476, -15.53
 -6.213000,  43.3698,  +32.652311,   96.097808, -16.43
 -6.206000,  43.3603,  +32.651465,   96.097924, -17.61
 -6.200000,  43.3522,  +32.650739,   96.098024, -16.29
 -6.196000,  43.3467,  +32.650256,   96.098090, -17.02
 -6.189000,  43.3373,  +32.649409,   96.098206, -15.23
 -6.186000,  43.3332,  +32.649047,   96.098256, -15.19
 -6.183000,  43.3291,  +32.648684,   96.098306, -14.89
 -6.179000,  43.3237,  +32.648200,   96.098372, -16.20
 -6.176000,  43.3196,  +32.647837,   96.098422, -16.97
 -6.166000,  43.3061,  +32.646628,   96.098588, -14.32
 -6.162000,  43.3006,  +32.646145,   96.098654, -14.34
 -6.159000,  43.2966,  +32.645782,   96.098704, -17.50
 -6.156000,  43.2925,  +32.645419,   96.098754, -16.67
 -6.152000,  43.2871,  +32.644935,   96.098820, -16.37
 -6.149000,  43.2830,  +32.644573,   96.098870, -15.66
 -6.145000,  43.2776,  +32.644089,   96.098936, -12.93
 -6.142000,  43.2735,  +32.643726,   96.098986, -16.64
 -6.139000,  43.2695,  +32.643363,   96.099036, -17.31
 -6.135000,  43.2641,  +32.642880,   96.099102, -13.57
 -6.132000,  43.2600,  +32.642517,   96.099152, -15.23
 -6.115000,  43.2370,  +32.640461,   96.099434, -13.89
 -6.102000,  43.2194,  +32.638889,   96.099650, -16.25
 -6.088000,  43.2004,  +32.637196,   96.099882, -16.82
 -6.085000,  43.1963,  +32.636834,   96.099932, -15.91
 -6.081000,  43.1909,  +32.636350,   96.099998, -17.51
 -6.078000,  43.1869,  +32.635987,   96.100048, -14.37
 -6.075000,  43.1828,  +32.635624,   96.100097, -15.50
 -6.068000,  43.1733,  +32.634778,   96.100214, -17.53
 -6.064000,  43.1679,  +32.634294,   96.100280, -13.97
 -6.058000,  43.1598,  +32.633569,   96.100379, -16.92
 -6.054000,  43.1544,  +32.633085,   96.100446, -17.09
 -6.051000,  43.1503,  +32.632722,   96.100495, -16.88
 -6.048000,  43.1463,  +32.632359,   96.100545, -16.70
 -6.044000,  43.1409,  +32.631876,   96.100612, -17.21
 -6.041000,  43.1368,  +32.631513,   96.100661, -16.67
 -6.038000,  43.1328,  +32.631150,   96.100711, -16.85
 -6.034000,  43.1274,  +32.630666,   96.100778, -17.32
 -6.031000,  43.1233,  +32.630304,   96.100827, -17.13
 -6.027000,  43.1179,  +32.629820,   96.100894, -16.89
 -6.024000,  43.1138,  +32.629457,   96.100943, -17.17
 -6.021000,  43.1098,  +32.629094,   96.100993, -16.75
 -6.017000,  43.1044,  +32.628611,   96.101059, -17.11
 -6.014000,  43.1003,  +32.628248,   96.101109, -17.60
 -6.011000,  43.0963,  +32.627885,   96.101159, -16.26
 -6.007000,  43.0909,  +32.627401,   96.101225, -16.73
 -5.997000,  43.0774,  +32.626192,   96.101391, -16.41
 -5.994000,  43.0733,  +32.625829,   96.101441, -17.64
 -5.990000,  43.0679,  +32.625346,   96.101507, -16.91
 -5.983000,  43.0585,  +32.624499,   96.101623, -16.93
 -5.980000,  43.0544,  +32.624136,   96.101673, -16.90
 -5.977000,  43.0504,  +32.623773,   96.101723, -15.44
 -5.973000,  43.0450,  +32.623290,   96.101789, -16.63
 -5.967000,  43.0369,  +32.622564,   96.101889, -15.95
 -5.963000,  43.0315,  +32.622080,   96.101955, -16.72
 -5.960000,  43.0274,  +32.621718,   96.102005, -16.40
 -5.957000,  43.0234,  +32.621355,   96.102054, -16.35
 -5.950000,  43.0139,  +32.620508,   96.102170, -17.15
 -5.946000,  43.0085,  +32.620025,   96.102237, -16.93
 -5.943000,  43.0045,  +32.619662,   96.102287, -14.66
 -5.940000,  43.0004,  +32.619299,   96.102336, -16.45
 -5.933000,  42.9910,  +32.618452,   96.102452, -17.02
 -5.930000,  42.9869,  +32.618090,   96.102502, -15.05
 -5.926000,  42.9815,  +32.617606,   96.102569, -15.70
 -5.923000,  42.9775,  +32.617243,   96.102618, -17.46
 -5.919000,  42.9721,  +32.616759,   96.102685, -17.02
 -5.916000,  42.9680,  +32.616397,   96.102734, -16.77
 -5.913000,  42.9640,  +32.616034,   96.102784, -16.09
 -5.909000,  42.9586,  +32.615550,   96.102850, -17.36
 -5.906000,  42.9546,  +32.615187,   96.102900, -17.23
 -5.902000,  42.9492,  +32.614704,   96.102966, -17.36
