# Trajectory data computed from the USG input file.
#
# Reference time (UTC) = 2022-02-07 20:06:25
# Reference JD         = 2459618.337789
# Begin point
#     Lat    =  -28.566880 deg
#     Lon    =   11.484127 deg
#     Height =  34.9191 km
# End point
#     Lat    =  -28.847203 deg
#     Lon    =   11.306726 deg
#     Height =  17.2632 km
# Radiant
#     RA     = 118.8850 deg
#     Dec    = +28.6923 deg
#     Az     =  27.4066 deg
#     Alt    = +26.6843 deg
#
# Time (s), Ht. (km),  Lat. (deg),  Lon. (deg), AbsMag
 -1.404000,  34.7947,  -28.568840,   11.482890, -16.01
 -1.398000,  34.7592,  -28.569400,   11.482536, -15.34
 -1.394000,  34.7355,  -28.569773,   11.482301, -14.98
 -1.381000,  34.6585,  -28.570986,   11.481535, -16.28
 -1.377000,  34.6348,  -28.571360,   11.481299, -15.36
 -1.374000,  34.6170,  -28.571640,   11.481123, -15.54
 -1.367000,  34.5756,  -28.572293,   11.480710, -15.33
 -1.364000,  34.5578,  -28.572573,   11.480534, -17.81
 -1.361000,  34.5400,  -28.572853,   11.480357, -16.98
 -1.357000,  34.5163,  -28.573226,   11.480121, -17.00
 -1.354000,  34.4986,  -28.573506,   11.479945, -16.43
 -1.350000,  34.4749,  -28.573879,   11.479709, -16.92
 -1.344000,  34.4394,  -28.574439,   11.479355, -16.63
 -1.334000,  34.3801,  -28.575372,   11.478766, -15.33
 -1.320000,  34.2972,  -28.576679,   11.477942, -16.75
 -1.317000,  34.2795,  -28.576959,   11.477765, -16.60
 -1.313000,  34.2558,  -28.577332,   11.477529, -15.33
 -1.310000,  34.2380,  -28.577612,   11.477352, -16.48
 -1.307000,  34.2203,  -28.577892,   11.477176, -15.40
 -1.296000,  34.1551,  -28.578919,   11.476527, -16.38
 -1.293000,  34.1374,  -28.579199,   11.476351, -18.02
 -1.290000,  34.1196,  -28.579479,   11.476174, -16.74
 -1.286000,  34.0959,  -28.579852,   11.475938, -16.82
 -1.280000,  34.0604,  -28.580412,   11.475585, -17.41
 -1.276000,  34.0367,  -28.580785,   11.475349, -14.18
 -1.273000,  34.0190,  -28.581065,   11.475172, -15.64
 -1.269000,  33.9953,  -28.581439,   11.474937, -16.93
 -1.266000,  33.9775,  -28.581719,   11.474760, -15.98
 -1.263000,  33.9598,  -28.581999,   11.474583, -17.01
 -1.256000,  33.9183,  -28.582652,   11.474170, -15.58
 -1.253000,  33.9006,  -28.582932,   11.473994, -17.08
 -1.249000,  33.8769,  -28.583305,   11.473758, -15.98
 -1.246000,  33.8591,  -28.583585,   11.473581, -17.59
 -1.242000,  33.8354,  -28.583959,   11.473345, -15.35
 -1.236000,  33.7999,  -28.584519,   11.472992, -16.99
 -1.232000,  33.7763,  -28.584892,   11.472756, -14.54
 -1.229000,  33.7585,  -28.585172,   11.472579, -17.16
 -1.226000,  33.7407,  -28.585452,   11.472402, -14.04
 -1.222000,  33.7171,  -28.585826,   11.472167, -17.56
 -1.219000,  33.6993,  -28.586106,   11.471990, -14.51
 -1.215000,  33.6756,  -28.586479,   11.471754, -17.34
 -1.212000,  33.6579,  -28.586759,   11.471577, -16.03
 -1.205000,  33.6164,  -28.587412,   11.471165, -15.68
 -1.202000,  33.5987,  -28.587692,   11.470988, -17.24
 -1.199000,  33.5809,  -28.587973,   11.470811, -15.47
 -1.195000,  33.5573,  -28.588346,   11.470575, -14.58
 -1.192000,  33.5395,  -28.588626,   11.470399, -15.93
 -1.188000,  33.5158,  -28.588999,   11.470163, -15.20
 -1.178000,  33.4566,  -28.589933,   11.469573, -15.68
 -1.168000,  33.3975,  -28.590866,   11.468984, -16.82
 -1.165000,  33.3797,  -28.591146,   11.468807, -17.30
 -1.161000,  33.3560,  -28.591520,   11.468571, -12.75
 -1.158000,  33.3383,  -28.591800,   11.468394, -14.43
 -1.155000,  33.3205,  -28.592080,   11.468218, -17.08
 -1.151000,  33.2969,  -28.592453,   11.467982, -17.05
 -1.148000,  33.2791,  -28.592733,   11.467805, -17.60
 -1.141000,  33.2377,  -28.593387,   11.467392, -16.34
 -1.138000,  33.2199,  -28.593667,   11.467216, -16.64
 -1.131000,  33.1785,  -28.594320,   11.466803, -13.49
 -1.128000,  33.1608,  -28.594600,   11.466626, -16.92
 -1.124000,  33.1371,  -28.594974,   11.466390, -17.04
 -1.121000,  33.1193,  -28.595254,   11.466213, -14.90
 -1.114000,  33.0779,  -28.595907,   11.465801, -13.69
 -1.111000,  33.0602,  -28.596187,   11.465624, -17.06
 -1.104000,  33.0188,  -28.596841,   11.465211, -14.90
 -1.097000,  32.9773,  -28.597494,   11.464798, -16.42
 -1.094000,  32.9596,  -28.597775,   11.464622, -15.53
 -1.091000,  32.9418,  -28.598055,   11.464445, -16.92
 -1.087000,  32.9182,  -28.598428,   11.464209, -14.52
 -1.074000,  32.8413,  -28.599642,   11.463442, -16.08
 -1.067000,  32.7999,  -28.600295,   11.463029, -15.53
 -1.064000,  32.7821,  -28.600575,   11.462853, -15.78
 -1.057000,  32.7407,  -28.601229,   11.462440, -17.50
 -1.053000,  32.7170,  -28.601602,   11.462204, -13.02
 -1.047000,  32.6816,  -28.602163,   11.461850, -15.88
 -1.037000,  32.6224,  -28.603096,   11.461260, -17.10
 -1.030000,  32.5810,  -28.603750,   11.460848, -15.39
 -1.026000,  32.5573,  -28.604123,   11.460612, -17.12
 -1.023000,  32.5396,  -28.604403,   11.460435, -17.21
 -1.013000,  32.4804,  -28.605337,   11.459845, -16.82
 -1.010000,  32.4627,  -28.605617,   11.459668, -17.22
 -1.003000,  32.4213,  -28.606271,   11.459255, -15.54
 -0.999000,  32.3976,  -28.606644,   11.459019, -17.32
 -0.989000,  32.3385,  -28.607578,   11.458430, -16.45
 -0.976000,  32.2616,  -28.608792,   11.457663, -16.52
 -0.972000,  32.2380,  -28.609166,   11.457427, -16.82
 -0.969000,  32.2202,  -28.609446,   11.457250, -17.45
 -0.966000,  32.2025,  -28.609726,   11.457073, -17.12
 -0.962000,  32.1788,  -28.610099,   11.456837, -15.57
 -0.959000,  32.1611,  -28.610379,   11.456660, -16.72
 -0.952000,  32.1197,  -28.611033,   11.456247, -17.24
 -0.949000,  32.1020,  -28.611313,   11.456070, -16.57
 -0.945000,  32.0783,  -28.611687,   11.455834, -17.68
 -0.942000,  32.0606,  -28.611967,   11.455657, -14.46
 -0.939000,  32.0428,  -28.612247,   11.455480, -17.62
 -0.935000,  32.0192,  -28.612621,   11.455244, -16.96
 -0.932000,  32.0014,  -28.612901,   11.455067, -17.72
 -0.929000,  31.9837,  -28.613181,   11.454890, -16.81
 -0.925000,  31.9600,  -28.613555,   11.454654, -17.37
 -0.922000,  31.9423,  -28.613835,   11.454477, -17.89
 -0.918000,  31.9187,  -28.614208,   11.454241, -16.64
 -0.915000,  31.9009,  -28.614488,   11.454064, -17.82
 -0.912000,  31.8832,  -28.614769,   11.453887, -16.02
 -0.902000,  31.8241,  -28.615702,   11.453297, -18.18
 -0.898000,  31.8004,  -28.616076,   11.453061, -15.78
 -0.891000,  31.7590,  -28.616730,   11.452648, -16.92
 -0.888000,  31.7413,  -28.617010,   11.452471, -16.74
 -0.885000,  31.7236,  -28.617290,   11.452294, -17.49
 -0.881000,  31.6999,  -28.617664,   11.452058, -18.13
 -0.878000,  31.6822,  -28.617944,   11.451881, -18.29
 -0.875000,  31.6644,  -28.618224,   11.451704, -16.75
 -0.871000,  31.6408,  -28.618598,   11.451468, -18.09
 -0.868000,  31.6231,  -28.618878,   11.451291, -17.99
 -0.861000,  31.5817,  -28.619531,   11.450878, -17.43
 -0.858000,  31.5639,  -28.619812,   11.450701, -16.31
 -0.854000,  31.5403,  -28.620185,   11.450465, -17.30
 -0.851000,  31.5226,  -28.620465,   11.450288, -18.33
 -0.848000,  31.5048,  -28.620746,   11.450111, -17.49
 -0.844000,  31.4812,  -28.621119,   11.449875, -17.63
 -0.841000,  31.4635,  -28.621399,   11.449698, -18.05
 -0.837000,  31.4398,  -28.621773,   11.449462, -17.63
 -0.834000,  31.4221,  -28.622053,   11.449285, -17.58
 -0.831000,  31.4043,  -28.622333,   11.449108, -18.24
 -0.824000,  31.3630,  -28.622987,   11.448695, -18.00
 -0.821000,  31.3452,  -28.623267,   11.448518, -17.90
 -0.814000,  31.3039,  -28.623921,   11.448105, -17.96
 -0.810000,  31.2802,  -28.624295,   11.447869, -18.00
 -0.807000,  31.2625,  -28.624575,   11.447692, -17.37
 -0.804000,  31.2448,  -28.624855,   11.447515, -17.88
 -0.800000,  31.2211,  -28.625229,   11.447278, -17.19
 -0.797000,  31.2034,  -28.625509,   11.447102, -17.13
 -0.794000,  31.1857,  -28.625789,   11.446924, -17.85
 -0.790000,  31.1620,  -28.626163,   11.446688, -17.95
 -0.787000,  31.1443,  -28.626443,   11.446511, -18.52
 -0.783000,  31.1207,  -28.626817,   11.446275, -18.33
 -0.780000,  31.1029,  -28.627097,   11.446098, -17.67
 -0.777000,  31.0852,  -28.627377,   11.445921, -18.20
 -0.770000,  31.0438,  -28.628031,   11.445508, -18.02
