Date/,Station,Arrival time (UT),Duration,Range,Theo. Az,Obs. Az,Satellite Energy,P2P Amp,Period @Max Amp,Period,Bolide Integrated Energy,Band-pass
[Time],,,(s),(km),(deg),(deg),(kT),(Pa),(s),@Max PSD,SNR,(Hz)
,,,,,,,,,,(s),,
03-Sep-04,IS27DE,13:18:45,1150,1088,85,91,13,0.82,45.72,40.96,19.53,0.015-0.08
03-Sep-04,IS55US,15:54:02,1119,3716,201,213,13,0.91,20.66,21.85,43.79,0.04-3
03-Sep-04,IS35NA,17:18:04,1212,5394,180,173,13,0.21,13.14,14.5,1.96,0.02-3
03-Sep-04,IS55US,20:03:44,471,7189,263,270,18.42,0.25,11.43,14.12,4.17,0.05-0.6
03-Sep-04,IS52GB,15:15:33,857,2218,181,177,18.42,0.28,8.96,9.81,1.26,0.089-2
03-Sep-04,IS26DE,23:07:07,4230,10221,131,127,18.42,0.13,15.9,17.86,1.51,0.03-0.2
03-Sep-04,IS10CA,6:20:13,2374,17256,27,24,18.42,0.09,15.71,10.08,0.02,0.04-0.2
09-Dec-06,I26DE,9:09:11,251,2733,153,150,14,0.39,5.37,4.88,2.42,0.05-1
09-Dec-06,I35NA,11:15:33,1350,5129,11,133,14,0.16,5.49,4.89,1.8,0.2-1.5
08-Oct-09,I39PW,4:50:53,151,2024,230,274,33,1.12,6.23,6.4,0.48,0.08-1.5
08-Oct-09,I07AU,4:56:20,925,2296,318,317,33,1.13,3.18,3.25,2.73,0.4-6
08-Oct-09,I04AU,5:59:50,954,3408,8,9,33,0.2,3.6,2.66,9.26,0.3-6
08-Oct-09,I30JP,7:37:47,457,4851,209,211,33,0.11,1.79,1.68,2.19,0.5-1.5
08-Oct-09,I05AU,7:48:12,411,5030,320,317,33,0.31,3.88,3.53,2.5,0.2-2.5
08-Oct-09,I22FR,7:50:18,649,5362,285,286,33,0.14,4.06,3.79,1.66,0.1-2
08-Oct-09,I45RU,8:11:17,755,5500,195,197,33,1.18,10.46,9.87,5.85,0.05-2
08-Oct-09,I44RU,9:50:22,914,7254,222,222,33,0.62,6.58,7.55,20.65,0.1-1.5
08-Oct-09,I55US,10:58:30,475,8620,312,315,33,0.12,6.14,6.16,2.31,0.1-1
08-Oct-09,I53US,12:50:45,551,10503,270,270,33,0.43,11.78,12.6,7,0.05-1
08-Oct-09,I18DK,14:19:35,671,11816,350,338,33,0.48,11.5,11.54,3.24,0.08-1
08-Oct-09,I56US,15:04:50,645,12693,293,319,33,0.76,13.83,12.8,33.55,0.05-1.5
25-Dec-10,I30JP,0:59:24,560,1603,74,72,33,0.59,6.61,6.88,0.79,0.2-2
25-Dec-10,I44RU,0:58:16,544,1680,179,178,33,0.61,2.76,3.14,4.82,0.3-3
25-Dec-10,I45RU,1:33:35,610,2276,99,93,33,0.74,3.37,3.26,8.06,0.25-3
25-Dec-10,I39PW,3:39:50,649,4127,31,36,33,2.32,12.49,11.7,1.88,0.06-1
25-Dec-10,I34MN,3:28:44,769,4257,85,15,33,0.02,1.9,2.34,1.09,0.4-3
25-Dec-10,I53US,3:41:02,594,4572,256,256,33,2.02,8.35,8.19,35.92,0.1-3
25-Dec-10,I56US,5:46:23,309,6625,295,295,33,0.78,15.63,15.17,3.43,0.01-1.3
25-Dec-10,I18DK,5:40:26,1075,6758,318,308,33,0.49,11.32,11.38,7.04,0.07-2
25-Dec-10,I10CA,6:41:36,677,7837,307,308,33,0.52,9.88,9.75,3.43,0.1-1.5
25-Dec-10,I55US,11:33:45,737,12885,352,347,33,0.13,18.44,15.46,4.54,0.04-1
25-Dec-10,I08BO,13:48:06,212,14887,308,156,33,0.1,7.91,7.06,1.11,0.1-0.8
15-Feb-13,I31KZ,3:48:08,1026,530,22,29,440,12.24,37.99,45.51,76.9,0.01-4
15-Feb-13,I43RU,5:02:09,2142,1502,88,97,440,1.58,38.48,30.06,13.67,0.01-3
15-Feb-13,I46RU,4:44:29,701,1532,283,268,440,2.52,21.08,16.72,35.76,0.02-4
15-Feb-13,I34MN,6:14:55,924,3185,301,230,440,0.5,22.79,30.34,4.4,0.03-2
15-Feb-13,I26DE,7:10:31,812,3257,60,56,440,0.97,28.98,29.26,2.89,0.03-3
15-Feb-13,I18DK,8:17:13,1948,4893,39,17,440,2.73,49.99,69.72,13.75,0.01-3
15-Feb-13,I45RU,7:55:27,887,5022,310,305,440,1.34,38.45,21.01,1.07,0.02-3
15-Feb-13,I44RU,8:50:55,1493,5798,314,303,440,0.88,19.25,39,4.2,0.02-3
15-Feb-13,I53US,9:36:30,1660,6481,341,339,440,12.62,25.69,19.74,165.14,0.02-4
15-Feb-13,I10CA,11:29:57,1107,8147,14,355,440,2.75,32.53,36.41,5.55,0.01-1
15-Feb-13,I33MG,11:20:35,720,8311,8,12,440,1.94,47.96,43.12,2.07,0.01-0.2
30-Apr-13,I42PT,9:05:32,486,460,212,216,10,1.27,6.77,8.03,10.89,0.2-8
30-Apr-13,,,,,,,,,,,,
06-Feb-16,I49GB,15:23:34,120,1425,298,296,13,0.11,5.87,7.31,1.11,0.25-1.5
06-Feb-16,I27DE,18:06:14,360,4601,337,334,13,1.5,6.61,6.94,33.08,0.02-3.5
06-Feb-16,I11CV,18:51:18,142,5083,183,158,13,0.06,2.42,2.35,1.44,0.4-1.2
