# B = brightest mass bin, L = leading fragment, M = main
# Time (s), B ht (km), B len (km), B vel (km/s), L ht (km), L len (km), L vel (km/s), L dyn press (Gamma = 1.0; MPa), M ht (km), M len (km), M vel (km/s), M dyn press (Gamma = 1.0; MPa), Tau total (%), Tau main (%), Tau grain (%), Abs mag total, Abs mag main, Abs mag grain, log10 Lum total (W), log10 Lum main (W), log10 Lum grain (W), log10 Electron line density (-/m), Mass total (kg), Mass main (kg)
5.00000e-03,1.79941e+02,6.34500e-02,1.26900e+01,1.79941e+02,6.34500e-02,1.26900e+01,7.85896e-08,1.79941e+02,6.34500e-02,1.26900e+01,7.85896e-08,3.94480e-02,3.94480e-02,0.00000e+00,7.25358e-01,7.25358e-01,inf,3.19130e+00,3.19130e+00,-inf,1.46723e+01,1.08000e+05,1.08000e+05
1.00000e-02,1.79883e+02,1.26900e-01,1.26900e+01,1.79883e+02,1.26900e-01,1.26900e+01,7.89482e-08,1.79883e+02,1.26900e-01,1.26900e+01,7.89482e-08,3.94480e-02,3.94480e-02,0.00000e+00,7.20415e-01,7.20415e-01,inf,3.19328e+00,3.19328e+00,-inf,1.46743e+01,1.08000e+05,1.08000e+05
1.50000e-02,1.79824e+02,1.90350e-01,1.26900e+01,1.79824e+02,1.90350e-01,1.26900e+01,7.93069e-08,1.79824e+02,1.90350e-01,1.26900e+01,7.93069e-08,3.94480e-02,3.94480e-02,0.00000e+00,7.15493e-01,7.15493e-01,inf,3.19525e+00,3.19525e+00,-inf,1.46763e+01,1.08000e+05,1.08000e+05
2.00000e-02,1.79766e+02,2.53800e-01,1.26900e+01,1.79766e+02,2.53800e-01,1.26900e+01,7.96658e-08,1.79766e+02,2.53800e-01,1.26900e+01,7.96658e-08,3.94480e-02,3.94480e-02,0.00000e+00,7.10591e-01,7.10591e-01,inf,3.19721e+00,3.19721e+00,-inf,1.46782e+01,1.08000e+05,1.08000e+05
2.50000e-02,1.79707e+02,3.17250e-01,1.26900e+01,1.79707e+02,3.17250e-01,1.26900e+01,8.00247e-08,1.79707e+02,3.17250e-01,1.26900e+01,8.00247e-08,3.94480e-02,3.94480e-02,0.00000e+00,7.05710e-01,7.05710e-01,inf,3.19916e+00,3.19916e+00,-inf,1.46802e+01,1.08000e+05,1.08000e+05
3.00000e-02,1.79649e+02,3.80700e-01,1.26900e+01,1.79649e+02,3.80700e-01,1.26900e+01,8.03838e-08,1.79649e+02,3.80700e-01,1.26900e+01,8.03838e-08,3.94480e-02,3.94480e-02,0.00000e+00,7.00848e-01,7.00848e-01,inf,3.20110e+00,3.20110e+00,-inf,1.46821e+01,1.08000e+05,1.08000e+05
3.50000e-02,1.79590e+02,4.44150e-01,1.26900e+01,1.79590e+02,4.44150e-01,1.26900e+01,8.07431e-08,1.79590e+02,4.44150e-01,1.26900e+01,8.07431e-08,3.94480e-02,3.94480e-02,0.00000e+00,6.96007e-01,6.96007e-01,inf,3.20304e+00,3.20304e+00,-inf,1.46841e+01,1.08000e+05,1.08000e+05
4.00000e-02,1.79532e+02,5.07600e-01,1.26900e+01,1.79532e+02,5.07600e-01,1.26900e+01,8.11024e-08,1.79532e+02,5.07600e-01,1.26900e+01,8.11024e-08,3.94480e-02,3.94480e-02,0.00000e+00,6.91186e-01,6.91186e-01,inf,3.20497e+00,3.20497e+00,-inf,1.46860e+01,1.08000e+05,1.08000e+05
4.50000e-02,1.79473e+02,5.71050e-01,1.26900e+01,1.79473e+02,5.71050e-01,1.26900e+01,8.14618e-08,1.79473e+02,5.71050e-01,1.26900e+01,8.14618e-08,3.94480e-02,3.94480e-02,0.00000e+00,6.86385e-01,6.86385e-01,inf,3.20689e+00,3.20689e+00,-inf,1.46879e+01,1.08000e+05,1.08000e+05
5.00000e-02,1.79415e+02,6.34500e-01,1.26900e+01,1.79415e+02,6.34500e-01,1.26900e+01,8.18214e-08,1.79415e+02,6.34500e-01,1.26900e+01,8.18214e-08,3.94480e-02,3.94480e-02,0.00000e+00,6.81604e-01,6.81604e-01,inf,3.20880e+00,3.20880e+00,-inf,1.46898e+01,1.08000e+05,1.08000e+05
5.50000e-02,1.79356e+02,6.97950e-01,1.26900e+01,1.79356e+02,6.97950e-01,1.26900e+01,8.21810e-08,1.79356e+02,6.97950e-01,1.26900e+01,8.21810e-08,3.94480e-02,3.94480e-02,0.00000e+00,6.76842e-01,6.76842e-01,inf,3.21071e+00,3.21071e+00,-inf,1.46917e+01,1.08000e+05,1.08000e+05
6.00000e-02,1.79298e+02,7.61400e-01,1.26900e+01,1.79298e+02,7.61400e-01,1.26900e+01,8.25407e-08,1.79298e+02,7.61400e-01,1.26900e+01,8.25407e-08,3.94480e-02,3.94480e-02,0.00000e+00,6.72100e-01,6.72100e-01,inf,3.21260e+00,3.21260e+00,-inf,1.46936e+01,1.08000e+05,1.08000e+05
6.50000e-02,1.79239e+02,8.24850e-01,1.26900e+01,1.79239e+02,8.24850e-01,1.26900e+01,8.29005e-08,1.79239e+02,8.24850e-01,1.26900e+01,8.29005e-08,3.94480e-02,3.94480e-02,0.00000e+00,6.67378e-01,6.67378e-01,inf,3.21449e+00,3.21449e+00,-inf,1.46955e+01,1.08000e+05,1.08000e+05
7.00000e-02,1.79181e+02,8.88300e-01,1.26900e+01,1.79181e+02,8.88300e-01,1.26900e+01,8.32603e-08,1.79181e+02,8.88300e-01,1.26900e+01,8.32603e-08,3.94480e-02,3.94480e-02,0.00000e+00,6.62675e-01,6.62675e-01,inf,3.21637e+00,3.21637e+00,-inf,1.46974e+01,1.08000e+05,1.08000e+05
