# B = brightest mass bin, L = leading fragment, M = main
# Time (s), B ht (km), B len (km), B vel (km/s), L ht (km), L len (km), L vel (km/s), L dyn press (Gamma = 1.0; MPa), M ht (km), M len (km), M vel (km/s), M dyn press (Gamma = 1.0; MPa), Tau total (%), Tau main (%), Tau grain (%), Abs mag total, Abs mag main, Abs mag grain, log10 Lum total (W), log10 Lum main (W), log10 Lum grain (W), log10 Electron line density (-/m), Mass total (kg), Mass main (kg)
5.00000e-03,1.79937e+02,6.65000e-02,1.33000e+01,1.79937e+02,6.65000e-02,1.33000e+01,8.94797e-08,1.79937e+02,6.65000e-02,1.33000e+01,8.94797e-08,4.23889e-02,4.23889e-02,0.00000e+00,-1.12070e+00,-1.12070e+00,inf,3.92972e+00,3.92972e+00,-inf,1.51420e+01,2.65000e+06,2.65000e+06
1.00000e-02,1.79873e+02,1.33000e-01,1.33000e+01,1.79873e+02,1.33000e-01,1.33000e+01,9.01174e-08,1.79873e+02,1.33000e-01,1.33000e+01,9.01174e-08,4.23889e-02,4.23889e-02,0.00000e+00,-1.12841e+00,-1.12841e+00,inf,3.93281e+00,3.93281e+00,-inf,1.51451e+01,2.65000e+06,2.65000e+06
1.50000e-02,1.79810e+02,1.99500e-01,1.33000e+01,1.79810e+02,1.99500e-01,1.33000e+01,9.07562e-08,1.79810e+02,1.99500e-01,1.33000e+01,9.07562e-08,4.23889e-02,4.23889e-02,0.00000e+00,-1.13608e+00,-1.13608e+00,inf,3.93587e+00,3.93587e+00,-inf,1.51482e+01,2.65000e+06,2.65000e+06
2.00000e-02,1.79747e+02,2.66000e-01,1.33000e+01,1.79747e+02,2.66000e-01,1.33000e+01,9.13962e-08,1.79747e+02,2.66000e-01,1.33000e+01,9.13962e-08,4.23889e-02,4.23889e-02,0.00000e+00,-1.14371e+00,-1.14371e+00,inf,3.93892e+00,3.93892e+00,-inf,1.51512e+01,2.65000e+06,2.65000e+06
2.50000e-02,1.79684e+02,3.32500e-01,1.33000e+01,1.79684e+02,3.32500e-01,1.33000e+01,9.20373e-08,1.79684e+02,3.32500e-01,1.33000e+01,9.20373e-08,4.23889e-02,4.23889e-02,0.00000e+00,-1.15130e+00,-1.15130e+00,inf,3.94196e+00,3.94196e+00,-inf,1.51543e+01,2.65000e+06,2.65000e+06
3.00000e-02,1.79620e+02,3.99000e-01,1.33000e+01,1.79620e+02,3.99000e-01,1.33000e+01,9.26796e-08,1.79620e+02,3.99000e-01,1.33000e+01,9.26796e-08,4.23889e-02,4.23889e-02,0.00000e+00,-1.15885e+00,-1.15885e+00,inf,3.94498e+00,3.94498e+00,-inf,1.51573e+01,2.65000e+06,2.65000e+06
3.50000e-02,1.79557e+02,4.65500e-01,1.33000e+01,1.79557e+02,4.65500e-01,1.33000e+01,9.33229e-08,1.79557e+02,4.65500e-01,1.33000e+01,9.33229e-08,4.23889e-02,4.23889e-02,0.00000e+00,-1.16636e+00,-1.16636e+00,inf,3.94799e+00,3.94799e+00,-inf,1.51603e+01,2.65000e+06,2.65000e+06
4.00000e-02,1.79494e+02,5.32000e-01,1.33000e+01,1.79494e+02,5.32000e-01,1.33000e+01,9.39673e-08,1.79494e+02,5.32000e-01,1.33000e+01,9.39673e-08,4.23889e-02,4.23889e-02,0.00000e+00,-1.17383e+00,-1.17383e+00,inf,3.95097e+00,3.95097e+00,-inf,1.51633e+01,2.65000e+06,2.65000e+06
4.50000e-02,1.79431e+02,5.98500e-01,1.33000e+01,1.79431e+02,5.98500e-01,1.33000e+01,9.46128e-08,1.79431e+02,5.98500e-01,1.33000e+01,9.46128e-08,4.23889e-02,4.23889e-02,0.00000e+00,-1.18126e+00,-1.18126e+00,inf,3.95395e+00,3.95395e+00,-inf,1.51663e+01,2.65000e+06,2.65000e+06
5.00000e-02,1.79367e+02,6.65000e-01,1.33000e+01,1.79367e+02,6.65000e-01,1.33000e+01,9.52593e-08,1.79367e+02,6.65000e-01,1.33000e+01,9.52593e-08,4.23889e-02,4.23889e-02,0.00000e+00,-1.18865e+00,-1.18865e+00,inf,3.95690e+00,3.95690e+00,-inf,1.51692e+01,2.65000e+06,2.65000e+06
5.50000e-02,1.79304e+02,7.31500e-01,1.33000e+01,1.79304e+02,7.31500e-01,1.33000e+01,9.59067e-08,1.79304e+02,7.31500e-01,1.33000e+01,9.59067e-08,4.23889e-02,4.23889e-02,0.00000e+00,-1.19601e+00,-1.19601e+00,inf,3.95985e+00,3.95985e+00,-inf,1.51722e+01,2.65000e+06,2.65000e+06
6.00000e-02,1.79241e+02,7.98000e-01,1.33000e+01,1.79241e+02,7.98000e-01,1.33000e+01,9.65551e-08,1.79241e+02,7.98000e-01,1.33000e+01,9.65551e-08,4.23889e-02,4.23889e-02,0.00000e+00,-1.20332e+00,-1.20332e+00,inf,3.96277e+00,3.96277e+00,-inf,1.51751e+01,2.65000e+06,2.65000e+06
6.50000e-02,1.79177e+02,8.64500e-01,1.33000e+01,1.79177e+02,8.64500e-01,1.33000e+01,9.72045e-08,1.79177e+02,8.64500e-01,1.33000e+01,9.72045e-08,4.23889e-02,4.23889e-02,0.00000e+00,-1.21060e+00,-1.21060e+00,inf,3.96568e+00,3.96568e+00,-inf,1.51780e+01,2.65000e+06,2.65000e+06
7.00000e-02,1.79114e+02,9.31000e-01,1.33000e+01,1.79114e+02,9.31000e-01,1.33000e+01,9.78548e-08,1.79114e+02,9.31000e-01,1.33000e+01,9.78548e-08,4.23889e-02,4.23889e-02,0.00000e+00,-1.21784e+00,-1.21784e+00,inf,3.96858e+00,3.96858e+00,-inf,1.51809e+01,2.65000e+06,2.65000e+06
7.50000e-02,1.79051e+02,9.97500e-01,1.33000e+01,1.79051e+02,9.97500e-01,1.33000e+01,9.85060e-08,1.79051e+02,9.97500e-01,1.33000e+01,9.85060e-08,4.23889e-02,4.23889e-02,0.00000e+00,-1.22504e+00,-1.22504e+00,inf,3.97146e+00,3.97146e+00,-inf,1.51838e+01,2.65000e+06,2.65000e+06
8.00000e-02,1.78988e+02,1.06400e+00,1.33000e+01,1.78988e+02,1.06400e+00,1.33000e+01,9.91580e-08,1.78988e+02,1.06400e+00,1.33000e+01,9.91580e-08,4.23889e-02,4.23889e-02,0.00000e+00,-1.23221e+00,-1.23221e+00,inf,3.97432e+00,3.97432e+00,-inf,1.51866e+01,2.65000e+06,2.65000e+06
8.50000e-02,1.78924e+02,1.13050e+00,1.33000e+01,1.78924e+02,1.13050e+00,1.33000e+01,9.98109e-08,1.78924e+02,1.13050e+00,1.33000e+01,9.98109e-08,4.23889e-02,4.23889e-02,0.00000e+00,-1.23933e+00,-1.23933e+00,inf,3.97717e+00,3.97717e+00,-inf,1.51895e+01,2.65000e+06,2.65000e+06
9.00000e-02,1.78861e+02,1.19700e+00,1.33000e+01,1.78861e+02,1.19700e+00,1.33000e+01,1.00465e-07,1.78861e+02,1.19700e+00,1.33000e+01,1.00465e-07,4.23889e-02,4.23889e-02,0.00000e+00,-1.24642e+00,-1.24642e+00,inf,3.98001e+00,3.98001e+00,-inf,1.51923e+01,2.65000e+06,2.65000e+06
9.50000e-02,1.78798e+02,1.26350e+00,1.33000e+01,1.78798e+02,1.26350e+00,1.33000e+01,1.01119e-07,1.78798e+02,1.26350e+00,1.33000e+01,1.01119e-07,4.23889e-02,4.23889e-02,0.00000e+00,-1.25347e+00,-1.25347e+00,inf,3.98283e+00,3.98283e+00,-inf,1.51951e+01,2.65000e+06,2.65000e+06
1.00000e-01,1.78735e+02,1.33000e+00,1.33000e+01,1.78735e+02,1.33000e+00,1.33000e+01,1.01774e-07,1.78735e+02,1.33000e+00,1.33000e+01,1.01774e-07,4.23889e-02,4.23889e-02,0.00000e+00,-1.26048e+00,-1.26048e+00,inf,3.98564e+00,3.98564e+00,-inf,1.51979e+01,2.65000e+06,2.65000e+06
1.05000e-01,1.78671e+02,1.39650e+00,1.33000e+01,1.78671e+02,1.39650e+00,1.33000e+01,1.02430e-07,1.78671e+02,1.39650e+00,1.33000e+01,1.02430e-07,4.23889e-02,4.23889e-02,0.00000e+00,-1.26746e+00,-1.26746e+00,inf,3.98843e+00,3.98843e+00,-inf,1.52007e+01,2.65000e+06,2.65000e+06
1.10000e-01,1.78608e+02,1.46300e+00,1.33000e+01,1.78608e+02,1.46300e+00,1.33000e+01,1.03087e-07,1.78608e+02,1.46300e+00,1.33000e+01,1.03087e-07,4.23889e-02,4.23889e-02,0.00000e+00,-1.27440e+00,-1.27440e+00,inf,3.99120e+00,3.99120e+00,-inf,1.52035e+01,2.65000e+06,2.65000e+06
1.15000e-01,1.78545e+02,1.52950e+00,1.33000e+01,1.78545e+02,1.52950e+00,1.33000e+01,1.03745e-07,1.78545e+02,1.52950e+00,1.33000e+01,1.03745e-07,4.23889e-02,4.23889e-02,0.00000e+00,-1.28130e+00,-1.28130e+00,inf,3.99396e+00,3.99396e+00,-inf,1.52063e+01,2.65000e+06,2.65000e+06
1.20000e-01,1.78481e+02,1.59600e+00,1.33000e+01,1.78481e+02,1.59600e+00,1.33000e+01,1.04403e-07,1.78481e+02,1.59600e+00,1.33000e+01,1.04403e-07,4.23889e-02,4.23889e-02,0.00000e+00,-1.28816e+00,-1.28816e+00,inf,3.99671e+00,3.99671e+00,-inf,1.52090e+01,2.65000e+06,2.65000e+06
1.25000e-01,1.78418e+02,1.66250e+00,1.33000e+01,1.78418e+02,1.66250e+00,1.33000e+01,1.05061e-07,1.78418e+02,1.66250e+00,1.33000e+01,1.05061e-07,4.23889e-02,4.23889e-02,0.00000e+00,-1.29499e+00,-1.29499e+00,inf,3.99944e+00,3.99944e+00,-inf,1.52118e+01,2.65000e+06,2.65000e+06
