# B = brightest mass bin, L = leading fragment, M = main
# Time (s), B ht (km), B len (km), B vel (km/s), L ht (km), L len (km), L vel (km/s), L dyn press (Gamma = 1.0; MPa), M ht (km), M len (km), M vel (km/s), M dyn press (Gamma = 1.0; MPa), Tau total (%), Tau main (%), Tau grain (%), Abs mag total, Abs mag main, Abs mag grain, log10 Lum total (W), log10 Lum main (W), log10 Lum grain (W), log10 Electron line density (-/m), Mass total (kg), Mass main (kg)
5.00000e-03,1.79977e+02,6.40000e-02,1.28000e+01,1.79977e+02,6.40000e-02,1.28000e+01,9.00754e-08,1.79977e+02,6.40000e-02,1.28000e+01,9.00754e-08,3.99873e-02,3.99873e-02,0.00000e+00,-5.36038e-03,-5.36038e-03,inf,3.48359e+00,3.48359e+00,-inf,1.46262e+01,4.00000e+05,4.00000e+05
1.00000e-02,1.79955e+02,1.28000e-01,1.28000e+01,1.79955e+02,1.28000e-01,1.28000e+01,9.02507e-08,1.79955e+02,1.28000e-01,1.28000e+01,9.02507e-08,3.99873e-02,3.99873e-02,0.00000e+00,-7.47155e-03,-7.47155e-03,inf,3.48443e+00,3.48443e+00,-inf,1.46270e+01,4.00000e+05,4.00000e+05
1.50000e-02,1.79932e+02,1.92000e-01,1.28000e+01,1.79932e+02,1.92000e-01,1.28000e+01,9.04261e-08,1.79932e+02,1.92000e-01,1.28000e+01,9.04261e-08,3.99873e-02,3.99873e-02,0.00000e+00,-9.57975e-03,-9.57975e-03,inf,3.48527e+00,3.48527e+00,-inf,1.46279e+01,4.00000e+05,4.00000e+05
2.00000e-02,1.79909e+02,2.56000e-01,1.28000e+01,1.79909e+02,2.56000e-01,1.28000e+01,9.06016e-08,1.79909e+02,2.56000e-01,1.28000e+01,9.06016e-08,3.99873e-02,3.99873e-02,0.00000e+00,-1.16850e-02,-1.16850e-02,inf,3.48612e+00,3.48612e+00,-inf,1.46287e+01,4.00000e+05,4.00000e+05
2.50000e-02,1.79886e+02,3.20000e-01,1.28000e+01,1.79886e+02,3.20000e-01,1.28000e+01,9.07772e-08,1.79886e+02,3.20000e-01,1.28000e+01,9.07772e-08,3.99873e-02,3.99873e-02,0.00000e+00,-1.37872e-02,-1.37872e-02,inf,3.48696e+00,3.48696e+00,-inf,1.46296e+01,4.00000e+05,4.00000e+05
3.00000e-02,1.79864e+02,3.84000e-01,1.28000e+01,1.79864e+02,3.84000e-01,1.28000e+01,9.09529e-08,1.79864e+02,3.84000e-01,1.28000e+01,9.09529e-08,3.99873e-02,3.99873e-02,0.00000e+00,-1.58865e-02,-1.58865e-02,inf,3.48780e+00,3.48780e+00,-inf,1.46304e+01,4.00000e+05,4.00000e+05
3.50000e-02,1.79841e+02,4.48000e-01,1.28000e+01,1.79841e+02,4.48000e-01,1.28000e+01,9.11287e-08,1.79841e+02,4.48000e-01,1.28000e+01,9.11287e-08,3.99873e-02,3.99873e-02,0.00000e+00,-1.79829e-02,-1.79829e-02,inf,3.48864e+00,3.48864e+00,-inf,1.46312e+01,4.00000e+05,4.00000e+05
4.00000e-02,1.79818e+02,5.12000e-01,1.28000e+01,1.79818e+02,5.12000e-01,1.28000e+01,9.13045e-08,1.79818e+02,5.12000e-01,1.28000e+01,9.13045e-08,3.99873e-02,3.99873e-02,0.00000e+00,-2.00762e-02,-2.00762e-02,inf,3.48947e+00,3.48947e+00,-inf,1.46321e+01,4.00000e+05,4.00000e+05
4.50000e-02,1.79795e+02,5.76000e-01,1.28000e+01,1.79795e+02,5.76000e-01,1.28000e+01,9.14805e-08,1.79795e+02,5.76000e-01,1.28000e+01,9.14805e-08,3.99873e-02,3.99873e-02,0.00000e+00,-2.21667e-02,-2.21667e-02,inf,3.49031e+00,3.49031e+00,-inf,1.46329e+01,4.00000e+05,4.00000e+05
5.00000e-02,1.79773e+02,6.40000e-01,1.28000e+01,1.79773e+02,6.40000e-01,1.28000e+01,9.16566e-08,1.79773e+02,6.40000e-01,1.28000e+01,9.16566e-08,3.99873e-02,3.99873e-02,0.00000e+00,-2.42541e-02,-2.42541e-02,inf,3.49114e+00,3.49114e+00,-inf,1.46337e+01,4.00000e+05,4.00000e+05
5.50000e-02,1.79750e+02,7.04000e-01,1.28000e+01,1.79750e+02,7.04000e-01,1.28000e+01,9.18327e-08,1.79750e+02,7.04000e-01,1.28000e+01,9.18327e-08,3.99873e-02,3.99873e-02,0.00000e+00,-2.63387e-02,-2.63387e-02,inf,3.49198e+00,3.49198e+00,-inf,1.46346e+01,4.00000e+05,4.00000e+05
6.00000e-02,1.79727e+02,7.68000e-01,1.28000e+01,1.79727e+02,7.68000e-01,1.28000e+01,9.20089e-08,1.79727e+02,7.68000e-01,1.28000e+01,9.20089e-08,3.99873e-02,3.99873e-02,0.00000e+00,-2.84203e-02,-2.84203e-02,inf,3.49281e+00,3.49281e+00,-inf,1.46354e+01,4.00000e+05,4.00000e+05
6.50000e-02,1.79704e+02,8.32000e-01,1.28000e+01,1.79704e+02,8.32000e-01,1.28000e+01,9.21853e-08,1.79704e+02,8.32000e-01,1.28000e+01,9.21853e-08,3.99873e-02,3.99873e-02,0.00000e+00,-3.04989e-02,-3.04989e-02,inf,3.49364e+00,3.49364e+00,-inf,1.46362e+01,4.00000e+05,4.00000e+05
7.00000e-02,1.79682e+02,8.96000e-01,1.28000e+01,1.79682e+02,8.96000e-01,1.28000e+01,9.23617e-08,1.79682e+02,8.96000e-01,1.28000e+01,9.23617e-08,3.99873e-02,3.99873e-02,0.00000e+00,-3.25747e-02,-3.25747e-02,inf,3.49447e+00,3.49447e+00,-inf,1.46371e+01,4.00000e+05,4.00000e+05
7.50000e-02,1.79659e+02,9.60000e-01,1.28000e+01,1.79659e+02,9.60000e-01,1.28000e+01,9.25382e-08,1.79659e+02,9.60000e-01,1.28000e+01,9.25382e-08,3.99873e-02,3.99873e-02,0.00000e+00,-3.46474e-02,-3.46474e-02,inf,3.49530e+00,3.49530e+00,-inf,1.46379e+01,4.00000e+05,4.00000e+05
8.00000e-02,1.79636e+02,1.02400e+00,1.28000e+01,1.79636e+02,1.02400e+00,1.28000e+01,9.27147e-08,1.79636e+02,1.02400e+00,1.28000e+01,9.27147e-08,3.99873e-02,3.99873e-02,0.00000e+00,-3.67173e-02,-3.67173e-02,inf,3.49613e+00,3.49613e+00,-inf,1.46387e+01,4.00000e+05,4.00000e+05
8.50000e-02,1.79614e+02,1.08800e+00,1.28000e+01,1.79614e+02,1.08800e+00,1.28000e+01,9.28914e-08,1.79614e+02,1.08800e+00,1.28000e+01,9.28914e-08,3.99873e-02,3.99873e-02,0.00000e+00,-3.87842e-02,-3.87842e-02,inf,3.49696e+00,3.49696e+00,-inf,1.46396e+01,4.00000e+05,4.00000e+05
9.00000e-02,1.79591e+02,1.15200e+00,1.28000e+01,1.79591e+02,1.15200e+00,1.28000e+01,9.30682e-08,1.79591e+02,1.15200e+00,1.28000e+01,9.30682e-08,3.99873e-02,3.99873e-02,0.00000e+00,-4.08483e-02,-4.08483e-02,inf,3.49778e+00,3.49778e+00,-inf,1.46404e+01,4.00000e+05,4.00000e+05
9.50000e-02,1.79568e+02,1.21600e+00,1.28000e+01,1.79568e+02,1.21600e+00,1.28000e+01,9.32450e-08,1.79568e+02,1.21600e+00,1.28000e+01,9.32450e-08,3.99873e-02,3.99873e-02,0.00000e+00,-4.29094e-02,-4.29094e-02,inf,3.49861e+00,3.49861e+00,-inf,1.46412e+01,4.00000e+05,4.00000e+05
1.00000e-01,1.79545e+02,1.28000e+00,1.28000e+01,1.79545e+02,1.28000e+00,1.28000e+01,9.34219e-08,1.79545e+02,1.28000e+00,1.28000e+01,9.34219e-08,3.99873e-02,3.99873e-02,0.00000e+00,-4.49676e-02,-4.49676e-02,inf,3.49943e+00,3.49943e+00,-inf,1.46420e+01,4.00000e+05,4.00000e+05
1.05000e-01,1.79523e+02,1.34400e+00,1.28000e+01,1.79523e+02,1.34400e+00,1.28000e+01,9.35990e-08,1.79523e+02,1.34400e+00,1.28000e+01,9.35990e-08,3.99873e-02,3.99873e-02,0.00000e+00,-4.70228e-02,-4.70228e-02,inf,3.50025e+00,3.50025e+00,-inf,1.46428e+01,4.00000e+05,4.00000e+05
1.10000e-01,1.79500e+02,1.40800e+00,1.28000e+01,1.79500e+02,1.40800e+00,1.28000e+01,9.37761e-08,1.79500e+02,1.40800e+00,1.28000e+01,9.37761e-08,3.99873e-02,3.99873e-02,0.00000e+00,-4.90752e-02,-4.90752e-02,inf,3.50107e+00,3.50107e+00,-inf,1.46437e+01,4.00000e+05,4.00000e+05
1.15000e-01,1.79477e+02,1.47200e+00,1.28000e+01,1.79477e+02,1.47200e+00,1.28000e+01,9.39532e-08,1.79477e+02,1.47200e+00,1.28000e+01,9.39532e-08,3.99873e-02,3.99873e-02,0.00000e+00,-5.11247e-02,-5.11247e-02,inf,3.50189e+00,3.50189e+00,-inf,1.46445e+01,4.00000e+05,4.00000e+05
1.20000e-01,1.79454e+02,1.53600e+00,1.28000e+01,1.79454e+02,1.53600e+00,1.28000e+01,9.41305e-08,1.79454e+02,1.53600e+00,1.28000e+01,9.41305e-08,3.99873e-02,3.99873e-02,0.00000e+00,-5.31713e-02,-5.31713e-02,inf,3.50271e+00,3.50271e+00,-inf,1.46453e+01,4.00000e+05,4.00000e+05
