# Trajectory data computed from the USG input file.
#
# Reference time (UTC) = 2008-10-07 02:45:45
# Reference JD         = 2454746.615104
# Begin point
#     Lat    =  +20.979272 deg
#     Lon    =   30.989822 deg
#     Height =  54.0292 km
# End point
#     Lat    =  +20.868962 deg
#     Lon    =   31.559024 deg
#     Height =  33.1360 km
# Radiant
#     RA     =  12.5852 deg
#     Dec    = +16.5837 deg
#     Az     = 281.3000 deg
#     Alt    = +18.2200 deg
#
# Time (s), Ht. (km),  Lat. (deg),  Lon. (deg), AbsMag
 -3.605000,  54.0292,  +20.979272,   30.989822, -17.81
 -3.601000,  54.0122,  +20.979185,   30.990276, -17.74
 -3.598000,  53.9995,  +20.979119,   30.990617, -17.20
 -3.594000,  53.9826,  +20.979032,   30.991071, -16.47
 -3.591000,  53.9698,  +20.978967,   30.991411, -17.85
 -3.588000,  53.9571,  +20.978901,   30.991752, -16.31
 -3.584000,  53.9401,  +20.978814,   30.992206, -16.78
 -3.581000,  53.9274,  +20.978749,   30.992547, -17.56
 -3.577000,  53.9105,  +20.978662,   30.993001, -14.70
 -3.574000,  53.8977,  +20.978596,   30.993342, -16.61
 -3.571000,  53.8850,  +20.978531,   30.993683, -13.41
 -3.564000,  53.8553,  +20.978378,   30.994478, -16.56
 -3.561000,  53.8426,  +20.978313,   30.994818, -17.73
 -3.557000,  53.8257,  +20.978226,   30.995273, -17.72
 -3.554000,  53.8129,  +20.978160,   30.995613, -17.75
 -3.551000,  53.8002,  +20.978095,   30.995954, -17.33
 -3.547000,  53.7833,  +20.978008,   30.996408, -17.82
 -3.523000,  53.6815,  +20.977485,   30.999134, -14.36
 -3.520000,  53.6688,  +20.977419,   30.999475, -16.91
 -3.513000,  53.6391,  +20.977267,   31.000270, -15.95
 -3.510000,  53.6264,  +20.977201,   31.000611, -14.40
 -3.503000,  53.5967,  +20.977049,   31.001406, -15.73
 -3.500000,  53.5840,  +20.976983,   31.001746, -15.81
 -3.466000,  53.4399,  +20.976242,   31.005608, -15.38
 -3.453000,  53.3848,  +20.975958,   31.007085, -14.71
 -3.449000,  53.3679,  +20.975871,   31.007539, -16.77
 -3.446000,  53.3552,  +20.975806,   31.007880, -16.55
 -3.416000,  53.2281,  +20.975152,   31.011287, -16.26
 -3.412000,  53.2111,  +20.975064,   31.011742, -17.57
 -3.409000,  53.1984,  +20.974999,   31.012082, -17.78
 -3.405000,  53.1815,  +20.974912,   31.012537, -17.91
 -3.402000,  53.1687,  +20.974846,   31.012877, -17.83
 -3.399000,  53.1560,  +20.974781,   31.013218, -16.43
 -3.395000,  53.1391,  +20.974693,   31.013673, -13.79
 -3.385000,  53.0967,  +20.974475,   31.014809, -13.71
 -3.382000,  53.0840,  +20.974410,   31.015149, -16.75
 -3.378000,  53.0671,  +20.974323,   31.015604, -16.04
 -3.375000,  53.0544,  +20.974257,   31.015944, -17.45
 -3.372000,  53.0417,  +20.974192,   31.016285, -17.79
 -3.368000,  53.0247,  +20.974104,   31.016740, -17.19
 -3.362000,  52.9993,  +20.973974,   31.017421, -15.07
 -3.358000,  52.9824,  +20.973886,   31.017876, -17.45
 -3.355000,  52.9697,  +20.973821,   31.018216, -17.06
 -3.351000,  52.9527,  +20.973734,   31.018671, -17.08
 -3.348000,  52.9400,  +20.973668,   31.019011, -16.14
 -3.345000,  52.9273,  +20.973603,   31.019352,  -9.58
 -3.341000,  52.9104,  +20.973515,   31.019807, -17.22
 -3.338000,  52.8977,  +20.973450,   31.020147, -17.36
 -3.331000,  52.8680,  +20.973297,   31.020943, -15.16
 -3.328000,  52.8553,  +20.973232,   31.021283, -15.94
 -3.324000,  52.8384,  +20.973144,   31.021738, -15.81
 -3.321000,  52.8257,  +20.973079,   31.022079, -16.13
 -3.318000,  52.8130,  +20.973013,   31.022419, -17.70
 -3.314000,  52.7961,  +20.972926,   31.022874, -17.49
 -3.311000,  52.7834,  +20.972861,   31.023215, -15.81
 -3.304000,  52.7537,  +20.972708,   31.024010, -17.64
 -3.301000,  52.7410,  +20.972642,   31.024351, -17.30
 -3.297000,  52.7241,  +20.972555,   31.024805, -17.34
 -3.294000,  52.7114,  +20.972490,   31.025146, -17.15
 -3.287000,  52.6817,  +20.972337,   31.025941, -17.46
 -3.284000,  52.6690,  +20.972271,   31.026282, -17.82
 -3.281000,  52.6563,  +20.972206,   31.026623, -15.58
 -3.270000,  52.6098,  +20.971966,   31.027872, -16.80
 -3.267000,  52.5971,  +20.971900,   31.028213, -16.26
 -3.264000,  52.5844,  +20.971835,   31.028554, -13.56
 -3.237000,  52.4701,  +20.971246,   31.031621, -16.39
 -3.223000,  52.4109,  +20.970940,   31.033212, -16.82
 -3.220000,  52.3982,  +20.970874,   31.033553, -16.26
 -3.216000,  52.3812,  +20.970787,   31.034007, -15.94
 -3.210000,  52.3558,  +20.970656,   31.034689, -16.10
 -3.206000,  52.3389,  +20.970569,   31.035143, -16.66
 -3.203000,  52.3262,  +20.970503,   31.035484, -16.67
 -3.189000,  52.2670,  +20.970198,   31.037075, -15.37
 -3.186000,  52.2543,  +20.970132,   31.037415, -17.64
 -3.183000,  52.2416,  +20.970066,   31.037756, -17.70
 -3.179000,  52.2247,  +20.969979,   31.038211, -17.48
 -3.176000,  52.2120,  +20.969914,   31.038552, -18.08
 -3.172000,  52.1951,  +20.969826,   31.039006, -18.10
 -3.169000,  52.1824,  +20.969761,   31.039347, -18.41
 -3.166000,  52.1697,  +20.969695,   31.039688, -18.16
 -3.162000,  52.1528,  +20.969608,   31.040142, -17.28
 -3.159000,  52.1401,  +20.969542,   31.040483, -17.61
 -3.156000,  52.1274,  +20.969477,   31.040824, -17.53
 -3.152000,  52.1105,  +20.969389,   31.041278, -17.22
 -3.149000,  52.0978,  +20.969324,   31.041619, -17.75
 -3.146000,  52.0851,  +20.969258,   31.041960, -17.86
 -3.142000,  52.0682,  +20.969171,   31.042415, -18.08
 -3.139000,  52.0555,  +20.969106,   31.042755, -17.45
 -3.135000,  52.0386,  +20.969018,   31.043210, -17.88
 -3.132000,  52.0259,  +20.968953,   31.043551, -18.40
 -3.129000,  52.0132,  +20.968887,   31.043892, -17.77
 -3.125000,  51.9963,  +20.968800,   31.044346, -17.66
 -3.122000,  51.9836,  +20.968734,   31.044687, -17.91
 -3.118000,  51.9667,  +20.968647,   31.045141, -17.90
 -3.115000,  51.9540,  +20.968581,   31.045482, -18.07
 -3.112000,  51.9413,  +20.968516,   31.045823, -17.56
 -3.108000,  51.9244,  +20.968428,   31.046278, -17.24
 -3.105000,  51.9117,  +20.968363,   31.046619, -14.20
 -3.102000,  51.8990,  +20.968297,   31.046960, -17.45
 -3.098000,  51.8821,  +20.968210,   31.047414, -17.53
 -3.095000,  51.8694,  +20.968144,   31.047755, -17.65
 -3.092000,  51.8567,  +20.968079,   31.048096, -17.83
 -3.088000,  51.8398,  +20.967991,   31.048550, -16.69
 -3.085000,  51.8271,  +20.967926,   31.048891, -16.03
 -3.081000,  51.8102,  +20.967839,   31.049346, -17.49
 -3.078000,  51.7975,  +20.967773,   31.049687, -16.96
 -3.075000,  51.7848,  +20.967707,   31.050027, -17.65
 -3.071000,  51.7679,  +20.967620,   31.050482, -17.34
 -3.068000,  51.7552,  +20.967555,   31.050823, -14.60
 -3.065000,  51.7425,  +20.967489,   31.051164, -17.53
 -3.061000,  51.7256,  +20.967402,   31.051618, -18.12
 -3.058000,  51.7129,  +20.967336,   31.051959, -18.01
 -3.054000,  51.6960,  +20.967249,   31.052414, -17.39
 -3.051000,  51.6833,  +20.967183,   31.052755, -17.75
 -3.048000,  51.6707,  +20.967117,   31.053095, -16.62
 -3.044000,  51.6538,  +20.967030,   31.053550, -16.24
 -3.041000,  51.6411,  +20.966965,   31.053891, -17.36
 -3.037000,  51.6242,  +20.966877,   31.054345, -17.00
 -3.031000,  51.5988,  +20.966746,   31.055027, -16.56
 -3.027000,  51.5819,  +20.966659,   31.055482, -17.63
 -3.024000,  51.5692,  +20.966593,   31.055823, -14.84
 -3.011000,  51.5143,  +20.966309,   31.057300, -17.31
 -3.007000,  51.4974,  +20.966221,   31.057754, -16.40
 -2.983000,  51.3959,  +20.965697,   31.060482, -15.83
 -2.980000,  51.3833,  +20.965631,   31.060823, -15.16
 -2.977000,  51.3706,  +20.965566,   31.061164, -15.26
