# B = brightest mass bin, L = leading fragment, M = main
# Time (s), B ht (km), B len (km), B vel (km/s), L ht (km), L len (km), L vel (km/s), L dyn press (Gamma = 1.0; MPa), M ht (km), M len (km), M vel (km/s), M dyn press (Gamma = 1.0; MPa), Tau total (%), Tau main (%), Tau grain (%), Abs mag total, Abs mag main, Abs mag grain, log10 Lum total (W), log10 Lum main (W), log10 Lum grain (W), log10 Electron line density (-/m), Mass total (kg), Mass main (kg)
1.00000e-02,1.79919e+02,1.85000e-01,1.85000e+01,1.79919e+02,1.85000e-01,1.85000e+01,1.58586e-07,1.79919e+02,1.85000e-01,1.85000e+01,1.58586e-07,6.34773e-02,6.34773e-02,0.00000e+00,3.84423e-01,3.84423e-01,inf,3.32767e+00,3.32767e+00,-inf,1.50151e+01,3.20000e+04,3.20000e+04
2.00000e-02,1.79839e+02,3.70000e-01,1.85000e+01,1.79839e+02,3.70000e-01,1.85000e+01,1.59922e-07,1.79839e+02,3.70000e-01,1.85000e+01,1.59922e-07,6.34773e-02,6.34773e-02,0.00000e+00,3.75311e-01,3.75311e-01,inf,3.33132e+00,3.33132e+00,-inf,1.50187e+01,3.20000e+04,3.20000e+04
3.00000e-02,1.79758e+02,5.55000e-01,1.85000e+01,1.79758e+02,5.55000e-01,1.85000e+01,1.61261e-07,1.79758e+02,5.55000e-01,1.85000e+01,1.61261e-07,6.34773e-02,6.34773e-02,0.00000e+00,3.66262e-01,3.66262e-01,inf,3.33494e+00,3.33494e+00,-inf,1.50223e+01,3.20000e+04,3.20000e+04
4.00000e-02,1.79677e+02,7.40000e-01,1.85000e+01,1.79677e+02,7.40000e-01,1.85000e+01,1.62601e-07,1.79677e+02,7.40000e-01,1.85000e+01,1.62601e-07,6.34773e-02,6.34773e-02,0.00000e+00,3.57277e-01,3.57277e-01,inf,3.33853e+00,3.33853e+00,-inf,1.50259e+01,3.20000e+04,3.20000e+04
5.00000e-02,1.79596e+02,9.25000e-01,1.85000e+01,1.79596e+02,9.25000e-01,1.85000e+01,1.63943e-07,1.79596e+02,9.25000e-01,1.85000e+01,1.63943e-07,6.34773e-02,6.34773e-02,0.00000e+00,3.48353e-01,3.48353e-01,inf,3.34210e+00,3.34210e+00,-inf,1.50295e+01,3.20000e+04,3.20000e+04
6.00000e-02,1.79516e+02,1.11000e+00,1.85000e+01,1.79516e+02,1.11000e+00,1.85000e+01,1.65286e-07,1.79516e+02,1.11000e+00,1.85000e+01,1.65286e-07,6.34773e-02,6.34773e-02,0.00000e+00,3.39492e-01,3.39492e-01,inf,3.34565e+00,3.34565e+00,-inf,1.50330e+01,3.20000e+04,3.20000e+04
7.00000e-02,1.79435e+02,1.29500e+00,1.85000e+01,1.79435e+02,1.29500e+00,1.85000e+01,1.66631e-07,1.79435e+02,1.29500e+00,1.85000e+01,1.66631e-07,6.34773e-02,6.34773e-02,0.00000e+00,3.30693e-01,3.30693e-01,inf,3.34917e+00,3.34917e+00,-inf,1.50366e+01,3.20000e+04,3.20000e+04
8.00000e-02,1.79354e+02,1.48000e+00,1.85000e+01,1.79354e+02,1.48000e+00,1.85000e+01,1.67978e-07,1.79354e+02,1.48000e+00,1.85000e+01,1.67978e-07,6.34773e-02,6.34773e-02,0.00000e+00,3.21955e-01,3.21955e-01,inf,3.35266e+00,3.35266e+00,-inf,1.50400e+01,3.20000e+04,3.20000e+04
9.00000e-02,1.79273e+02,1.66500e+00,1.85000e+01,1.79273e+02,1.66500e+00,1.85000e+01,1.69325e-07,1.79273e+02,1.66500e+00,1.85000e+01,1.69325e-07,6.34773e-02,6.34773e-02,0.00000e+00,3.13278e-01,3.13278e-01,inf,3.35613e+00,3.35613e+00,-inf,1.50435e+01,3.20000e+04,3.20000e+04
1.00000e-01,1.79193e+02,1.85000e+00,1.85000e+01,1.79193e+02,1.85000e+00,1.85000e+01,1.70674e-07,1.79193e+02,1.85000e+00,1.85000e+01,1.70674e-07,6.34773e-02,6.34773e-02,0.00000e+00,3.04662e-01,3.04662e-01,inf,3.35958e+00,3.35958e+00,-inf,1.50470e+01,3.20000e+04,3.20000e+04
