# B = brightest mass bin, L = leading fragment, M = main
# Time (s), B ht (km), B len (km), B vel (km/s), L ht (km), L len (km), L vel (km/s), L dyn press (Gamma = 1.0; MPa), M ht (km), M len (km), M vel (km/s), M dyn press (Gamma = 1.0; MPa), Tau total (%), Tau main (%), Tau grain (%), Abs mag total, Abs mag main, Abs mag grain, log10 Lum total (W), log10 Lum main (W), log10 Lum grain (W), log10 Electron line density (-/m), Mass total (kg), Mass main (kg)
1.00000e-02,1.79865e+02,1.51000e-01,1.51000e+01,1.79865e+02,1.51000e-01,1.51000e+01,9.22907e-08,1.79865e+02,1.51000e-01,1.51000e+01,9.22907e-08,5.04600e-02,5.04600e-02,0.00000e+00,9.24764e-01,9.24764e-01,inf,3.11154e+00,3.11154e+00,-inf,1.45324e+01,8.40000e+04,8.40000e+04
2.00000e-02,1.79730e+02,3.02000e-01,1.51000e+01,1.79730e+02,3.02000e-01,1.51000e+01,9.37231e-08,1.79730e+02,3.02000e-01,1.51000e+01,9.37231e-08,5.04600e-02,5.04600e-02,0.00000e+00,9.08041e-01,9.08041e-01,inf,3.11823e+00,3.11823e+00,-inf,1.45391e+01,8.40000e+04,8.40000e+04
3.00000e-02,1.79595e+02,4.53000e-01,1.51000e+01,1.79595e+02,4.53000e-01,1.51000e+01,9.51598e-08,1.79595e+02,4.53000e-01,1.51000e+01,9.51598e-08,5.04600e-02,5.04600e-02,0.00000e+00,8.91524e-01,8.91524e-01,inf,3.12483e+00,3.12483e+00,-inf,1.45457e+01,8.40000e+04,8.40000e+04
4.00000e-02,1.79460e+02,6.04000e-01,1.51000e+01,1.79460e+02,6.04000e-01,1.51000e+01,9.66005e-08,1.79460e+02,6.04000e-01,1.51000e+01,9.66005e-08,5.04600e-02,5.04600e-02,0.00000e+00,8.75211e-01,8.75211e-01,inf,3.13136e+00,3.13136e+00,-inf,1.45522e+01,8.40000e+04,8.40000e+04
5.00000e-02,1.79325e+02,7.55000e-01,1.51000e+01,1.79325e+02,7.55000e-01,1.51000e+01,9.80447e-08,1.79325e+02,7.55000e-01,1.51000e+01,9.80447e-08,5.04600e-02,5.04600e-02,0.00000e+00,8.59098e-01,8.59098e-01,inf,3.13780e+00,3.13780e+00,-inf,1.45587e+01,8.40000e+04,8.40000e+04
6.00000e-02,1.79189e+02,9.06000e-01,1.51000e+01,1.79189e+02,9.06000e-01,1.51000e+01,9.94922e-08,1.79189e+02,9.06000e-01,1.51000e+01,9.94922e-08,5.04600e-02,5.04600e-02,0.00000e+00,8.43185e-01,8.43185e-01,inf,3.14417e+00,3.14417e+00,-inf,1.45650e+01,8.40000e+04,8.40000e+04
7.00000e-02,1.79054e+02,1.05700e+00,1.51000e+01,1.79054e+02,1.05700e+00,1.51000e+01,1.00943e-07,1.79054e+02,1.05700e+00,1.51000e+01,1.00943e-07,5.04600e-02,5.04600e-02,0.00000e+00,8.27470e-01,8.27470e-01,inf,3.15045e+00,3.15045e+00,-inf,1.45713e+01,8.40000e+04,8.40000e+04
8.00000e-02,1.78919e+02,1.20800e+00,1.51000e+01,1.78919e+02,1.20800e+00,1.51000e+01,1.02396e-07,1.78919e+02,1.20800e+00,1.51000e+01,1.02396e-07,5.04600e-02,5.04600e-02,0.00000e+00,8.11950e-01,8.11950e-01,inf,3.15666e+00,3.15666e+00,-inf,1.45775e+01,8.40000e+04,8.40000e+04
9.00000e-02,1.78784e+02,1.35900e+00,1.51000e+01,1.78784e+02,1.35900e+00,1.51000e+01,1.03852e-07,1.78784e+02,1.35900e+00,1.51000e+01,1.03852e-07,5.04600e-02,5.04600e-02,0.00000e+00,7.96623e-01,7.96623e-01,inf,3.16279e+00,3.16279e+00,-inf,1.45836e+01,8.40000e+04,8.40000e+04
1.00000e-01,1.78649e+02,1.51000e+00,1.51000e+01,1.78649e+02,1.51000e+00,1.51000e+01,1.05310e-07,1.78649e+02,1.51000e+00,1.51000e+01,1.05310e-07,5.04600e-02,5.04600e-02,0.00000e+00,7.81487e-01,7.81487e-01,inf,3.16885e+00,3.16885e+00,-inf,1.45897e+01,8.40000e+04,8.40000e+04
