# Trajectory data computed from the USG input file.
#
# Reference time (UTC) = 2010-02-28 22:24:50
# Reference JD         = 2455256.433912
# Begin point
#     Lat    =  +48.692049 deg
#     Lon    =   20.947978 deg
#     Height =  45.0771 km
# End point
#     Lat    =  +48.718458 deg
#     Lon    =   21.121521 deg
#     Height =  18.2355 km
# Radiant
#     RA     = 121.8546 deg
#     Dec    = +37.1494 deg
#     Az     = 257.6000 deg
#     Alt    = +62.8600 deg
#
# Time (s), Ht. (km),  Lat. (deg),  Lon. (deg), AbsMag
 -0.598000,  45.0368,  +48.692089,   20.948237, -16.57
 -0.594000,  44.9830,  +48.692142,   20.948583, -14.47
 -0.584000,  44.8486,  +48.692274,   20.949447, -13.66
 -0.578000,  44.7679,  +48.692354,   20.949966, -15.39
 -0.574000,  44.7142,  +48.692407,   20.950312, -14.90
 -0.567000,  44.6201,  +48.692499,   20.950917, -14.75
 -0.564000,  44.5797,  +48.692539,   20.951176, -14.52
 -0.561000,  44.5394,  +48.692579,   20.951435, -15.56
 -0.557000,  44.4857,  +48.692632,   20.951781, -15.47
 -0.554000,  44.4453,  +48.692671,   20.952041, -15.82
 -0.547000,  44.3512,  +48.692764,   20.952646, -15.91
 -0.540000,  44.2572,  +48.692857,   20.953251, -15.47
 -0.537000,  44.2168,  +48.692896,   20.953510, -16.06
 -0.524000,  44.0421,  +48.693068,   20.954634, -16.70
 -0.520000,  43.9883,  +48.693121,   20.954980, -15.98
 -0.517000,  43.9480,  +48.693161,   20.955239, -15.49
 -0.513000,  43.8942,  +48.693214,   20.955585, -16.80
 -0.510000,  43.8539,  +48.693254,   20.955845, -16.98
 -0.507000,  43.8136,  +48.693293,   20.956104, -16.32
 -0.503000,  43.7598,  +48.693346,   20.956450, -15.83
 -0.500000,  43.7195,  +48.693386,   20.956710, -15.34
 -0.497000,  43.6792,  +48.693426,   20.956969, -16.48
 -0.490000,  43.5851,  +48.693518,   20.957574, -14.91
 -0.486000,  43.5313,  +48.693571,   20.957920, -16.30
 -0.483000,  43.4910,  +48.693611,   20.958180, -14.83
 -0.480000,  43.4507,  +48.693651,   20.958439, -15.95
 -0.473000,  43.3566,  +48.693743,   20.959044, -16.30
 -0.459000,  43.1684,  +48.693928,   20.960255, -16.05
 -0.449000,  43.0340,  +48.694061,   20.961120, -16.79
 -0.446000,  42.9937,  +48.694100,   20.961380, -16.31
 -0.439000,  42.8996,  +48.694193,   20.961985, -15.77
 -0.436000,  42.8593,  +48.694233,   20.962245, -12.69
 -0.432000,  42.8056,  +48.694286,   20.962591, -15.40
 -0.426000,  42.7249,  +48.694365,   20.963110, -12.58
 -0.416000,  42.5905,  +48.694497,   20.963975, -10.51
 -0.409000,  42.4964,  +48.694590,   20.964580, -16.12
 -0.405000,  42.4427,  +48.694643,   20.964926, -14.77
 -0.402000,  42.4023,  +48.694683,   20.965186, -16.45
 -0.395000,  42.3083,  +48.694775,   20.965792, -14.96
 -0.392000,  42.2679,  +48.694815,   20.966051, -16.61
 -0.385000,  42.1739,  +48.694908,   20.966657, -15.68
 -0.382000,  42.1335,  +48.694947,   20.966917, -17.15
 -0.378000,  42.0798,  +48.695000,   20.967263, -17.30
 -0.375000,  42.0395,  +48.695040,   20.967522, -15.23
 -0.368000,  41.9454,  +48.695132,   20.968128, -15.80
 -0.365000,  41.9051,  +48.695172,   20.968387, -15.30
 -0.362000,  41.8647,  +48.695212,   20.968647, -16.98
 -0.358000,  41.8110,  +48.695265,   20.968993, -17.50
 -0.355000,  41.7707,  +48.695304,   20.969253, -15.13
 -0.351000,  41.7169,  +48.695357,   20.969599, -17.19
 -0.348000,  41.6766,  +48.695397,   20.969859, -16.73
 -0.345000,  41.6363,  +48.695437,   20.970118, -16.71
 -0.341000,  41.5825,  +48.695490,   20.970464, -17.00
 -0.338000,  41.5422,  +48.695529,   20.970724, -16.57
 -0.331000,  41.4481,  +48.695622,   20.971330, -14.02
 -0.328000,  41.4078,  +48.695662,   20.971589, -16.67
 -0.324000,  41.3540,  +48.695715,   20.971936, -16.39
 -0.318000,  41.2734,  +48.695794,   20.972455, -12.92
 -0.314000,  41.2196,  +48.695847,   20.972801, -14.87
