# B = brightest mass bin, L = leading fragment, M = main
# Time (s), B ht (km), B len (km), B vel (km/s), L ht (km), L len (km), L vel (km/s), L dyn press (Gamma = 1.0; MPa), M ht (km), M len (km), M vel (km/s), M dyn press (Gamma = 1.0; MPa), Tau total (%), Tau main (%), Tau grain (%), Abs mag total, Abs mag main, Abs mag grain, log10 Lum total (W), log10 Lum main (W), log10 Lum grain (W), log10 Electron line density (-/m), Mass total (kg), Mass main (kg)
5.00000e-03,1.79967e+02,8.44500e-02,1.68900e+01,1.79967e+02,8.44500e-02,1.68900e+01,1.05775e-07,1.79967e+02,8.44500e-02,1.68900e+01,1.05775e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.35463e+00,1.35463e+00,inf,2.93959e+00,2.93959e+00,-inf,1.43171e+01,1.15000e+04,1.15000e+04
1.00000e-02,1.79933e+02,1.68900e-01,1.68900e+01,1.79933e+02,1.68900e-01,1.68900e+01,1.06155e-07,1.79933e+02,1.68900e-01,1.68900e+01,1.06155e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.35074e+00,1.35074e+00,inf,2.94115e+00,2.94115e+00,-inf,1.43187e+01,1.15000e+04,1.15000e+04
1.50000e-02,1.79900e+02,2.53350e-01,1.68900e+01,1.79900e+02,2.53350e-01,1.68900e+01,1.06535e-07,1.79900e+02,2.53350e-01,1.68900e+01,1.06535e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.34685e+00,1.34685e+00,inf,2.94270e+00,2.94270e+00,-inf,1.43202e+01,1.15000e+04,1.15000e+04
2.00000e-02,1.79866e+02,3.37800e-01,1.68900e+01,1.79866e+02,3.37800e-01,1.68900e+01,1.06916e-07,1.79866e+02,3.37800e-01,1.68900e+01,1.06916e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.34298e+00,1.34298e+00,inf,2.94425e+00,2.94425e+00,-inf,1.43218e+01,1.15000e+04,1.15000e+04
2.50000e-02,1.79833e+02,4.22250e-01,1.68900e+01,1.79833e+02,4.22250e-01,1.68900e+01,1.07297e-07,1.79833e+02,4.22250e-01,1.68900e+01,1.07297e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.33912e+00,1.33912e+00,inf,2.94580e+00,2.94580e+00,-inf,1.43233e+01,1.15000e+04,1.15000e+04
3.00000e-02,1.79799e+02,5.06700e-01,1.68900e+01,1.79799e+02,5.06700e-01,1.68900e+01,1.07679e-07,1.79799e+02,5.06700e-01,1.68900e+01,1.07679e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.33527e+00,1.33527e+00,inf,2.94734e+00,2.94734e+00,-inf,1.43248e+01,1.15000e+04,1.15000e+04
3.50000e-02,1.79766e+02,5.91150e-01,1.68900e+01,1.79766e+02,5.91150e-01,1.68900e+01,1.08060e-07,1.79766e+02,5.91150e-01,1.68900e+01,1.08060e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.33143e+00,1.33143e+00,inf,2.94887e+00,2.94887e+00,-inf,1.43264e+01,1.15000e+04,1.15000e+04
4.00000e-02,1.79732e+02,6.75600e-01,1.68900e+01,1.79732e+02,6.75600e-01,1.68900e+01,1.08442e-07,1.79732e+02,6.75600e-01,1.68900e+01,1.08442e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.32760e+00,1.32760e+00,inf,2.95040e+00,2.95040e+00,-inf,1.43279e+01,1.15000e+04,1.15000e+04
4.50000e-02,1.79699e+02,7.60050e-01,1.68900e+01,1.79699e+02,7.60050e-01,1.68900e+01,1.08824e-07,1.79699e+02,7.60050e-01,1.68900e+01,1.08824e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.32378e+00,1.32378e+00,inf,2.95193e+00,2.95193e+00,-inf,1.43294e+01,1.15000e+04,1.15000e+04
5.00000e-02,1.79666e+02,8.44500e-01,1.68900e+01,1.79666e+02,8.44500e-01,1.68900e+01,1.09207e-07,1.79666e+02,8.44500e-01,1.68900e+01,1.09207e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.31997e+00,1.31997e+00,inf,2.95346e+00,2.95346e+00,-inf,1.43310e+01,1.15000e+04,1.15000e+04
5.50000e-02,1.79632e+02,9.28950e-01,1.68900e+01,1.79632e+02,9.28950e-01,1.68900e+01,1.09589e-07,1.79632e+02,9.28950e-01,1.68900e+01,1.09589e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.31617e+00,1.31617e+00,inf,2.95498e+00,2.95498e+00,-inf,1.43325e+01,1.15000e+04,1.15000e+04
6.00000e-02,1.79599e+02,1.01340e+00,1.68900e+01,1.79599e+02,1.01340e+00,1.68900e+01,1.09972e-07,1.79599e+02,1.01340e+00,1.68900e+01,1.09972e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.31238e+00,1.31238e+00,inf,2.95649e+00,2.95649e+00,-inf,1.43340e+01,1.15000e+04,1.15000e+04
6.50000e-02,1.79565e+02,1.09785e+00,1.68900e+01,1.79565e+02,1.09785e+00,1.68900e+01,1.10356e-07,1.79565e+02,1.09785e+00,1.68900e+01,1.10356e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.30860e+00,1.30860e+00,inf,2.95800e+00,2.95800e+00,-inf,1.43355e+01,1.15000e+04,1.15000e+04
7.00000e-02,1.79532e+02,1.18230e+00,1.68900e+01,1.79532e+02,1.18230e+00,1.68900e+01,1.10739e-07,1.79532e+02,1.18230e+00,1.68900e+01,1.10739e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.30484e+00,1.30484e+00,inf,2.95951e+00,2.95951e+00,-inf,1.43370e+01,1.15000e+04,1.15000e+04
7.50000e-02,1.79498e+02,1.26675e+00,1.68900e+01,1.79498e+02,1.26675e+00,1.68900e+01,1.11123e-07,1.79498e+02,1.26675e+00,1.68900e+01,1.11123e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.30108e+00,1.30108e+00,inf,2.96101e+00,2.96101e+00,-inf,1.43385e+01,1.15000e+04,1.15000e+04
8.00000e-02,1.79465e+02,1.35120e+00,1.68900e+01,1.79465e+02,1.35120e+00,1.68900e+01,1.11507e-07,1.79465e+02,1.35120e+00,1.68900e+01,1.11507e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.29734e+00,1.29734e+00,inf,2.96251e+00,2.96251e+00,-inf,1.43400e+01,1.15000e+04,1.15000e+04
8.50000e-02,1.79432e+02,1.43565e+00,1.68900e+01,1.79432e+02,1.43565e+00,1.68900e+01,1.11891e-07,1.79432e+02,1.43565e+00,1.68900e+01,1.11891e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.29360e+00,1.29360e+00,inf,2.96400e+00,2.96400e+00,-inf,1.43415e+01,1.15000e+04,1.15000e+04
9.00000e-02,1.79398e+02,1.52010e+00,1.68900e+01,1.79398e+02,1.52010e+00,1.68900e+01,1.12276e-07,1.79398e+02,1.52010e+00,1.68900e+01,1.12276e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.28988e+00,1.28988e+00,inf,2.96549e+00,2.96549e+00,-inf,1.43430e+01,1.15000e+04,1.15000e+04
9.50000e-02,1.79365e+02,1.60455e+00,1.68900e+01,1.79365e+02,1.60455e+00,1.68900e+01,1.12660e-07,1.79365e+02,1.60455e+00,1.68900e+01,1.12660e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.28616e+00,1.28616e+00,inf,2.96698e+00,2.96698e+00,-inf,1.43445e+01,1.15000e+04,1.15000e+04
1.00000e-01,1.79331e+02,1.68900e+00,1.68900e+01,1.79331e+02,1.68900e+00,1.68900e+01,1.13045e-07,1.79331e+02,1.68900e+00,1.68900e+01,1.13045e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.28246e+00,1.28246e+00,inf,2.96846e+00,2.96846e+00,-inf,1.43460e+01,1.15000e+04,1.15000e+04
1.05000e-01,1.79298e+02,1.77345e+00,1.68900e+01,1.79298e+02,1.77345e+00,1.68900e+01,1.13431e-07,1.79298e+02,1.77345e+00,1.68900e+01,1.13431e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.27877e+00,1.27877e+00,inf,2.96994e+00,2.96994e+00,-inf,1.43474e+01,1.15000e+04,1.15000e+04
1.10000e-01,1.79264e+02,1.85790e+00,1.68900e+01,1.79264e+02,1.85790e+00,1.68900e+01,1.13816e-07,1.79264e+02,1.85790e+00,1.68900e+01,1.13816e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.27508e+00,1.27508e+00,inf,2.97141e+00,2.97141e+00,-inf,1.43489e+01,1.15000e+04,1.15000e+04
1.15000e-01,1.79231e+02,1.94235e+00,1.68900e+01,1.79231e+02,1.94235e+00,1.68900e+01,1.14202e-07,1.79231e+02,1.94235e+00,1.68900e+01,1.14202e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.27141e+00,1.27141e+00,inf,2.97288e+00,2.97288e+00,-inf,1.43504e+01,1.15000e+04,1.15000e+04
1.20000e-01,1.79198e+02,2.02680e+00,1.68900e+01,1.79198e+02,2.02680e+00,1.68900e+01,1.14587e-07,1.79198e+02,2.02680e+00,1.68900e+01,1.14587e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.26775e+00,1.26775e+00,inf,2.97434e+00,2.97434e+00,-inf,1.43519e+01,1.15000e+04,1.15000e+04
1.25000e-01,1.79164e+02,2.11125e+00,1.68900e+01,1.79164e+02,2.11125e+00,1.68900e+01,1.14973e-07,1.79164e+02,2.11125e+00,1.68900e+01,1.14973e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.26410e+00,1.26410e+00,inf,2.97580e+00,2.97580e+00,-inf,1.43533e+01,1.15000e+04,1.15000e+04
1.30000e-01,1.79131e+02,2.19570e+00,1.68900e+01,1.79131e+02,2.19570e+00,1.68900e+01,1.15360e-07,1.79131e+02,2.19570e+00,1.68900e+01,1.15360e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.26045e+00,1.26045e+00,inf,2.97726e+00,2.97726e+00,-inf,1.43548e+01,1.15000e+04,1.15000e+04
1.35000e-01,1.79097e+02,2.28015e+00,1.68900e+01,1.79097e+02,2.28015e+00,1.68900e+01,1.15746e-07,1.79097e+02,2.28015e+00,1.68900e+01,1.15746e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.25682e+00,1.25682e+00,inf,2.97871e+00,2.97871e+00,-inf,1.43562e+01,1.15000e+04,1.15000e+04
1.40000e-01,1.79064e+02,2.36460e+00,1.68900e+01,1.79064e+02,2.36460e+00,1.68900e+01,1.16133e-07,1.79064e+02,2.36460e+00,1.68900e+01,1.16133e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.25320e+00,1.25320e+00,inf,2.98016e+00,2.98016e+00,-inf,1.43577e+01,1.15000e+04,1.15000e+04
1.45000e-01,1.79030e+02,2.44905e+00,1.68900e+01,1.79030e+02,2.44905e+00,1.68900e+01,1.16520e-07,1.79030e+02,2.44905e+00,1.68900e+01,1.16520e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.24959e+00,1.24959e+00,inf,2.98161e+00,2.98161e+00,-inf,1.43591e+01,1.15000e+04,1.15000e+04
1.50000e-01,1.78997e+02,2.53350e+00,1.68900e+01,1.78997e+02,2.53350e+00,1.68900e+01,1.16907e-07,1.78997e+02,2.53350e+00,1.68900e+01,1.16907e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.24599e+00,1.24599e+00,inf,2.98305e+00,2.98305e+00,-inf,1.43606e+01,1.15000e+04,1.15000e+04
1.55000e-01,1.78964e+02,2.61795e+00,1.68900e+01,1.78964e+02,2.61795e+00,1.68900e+01,1.17294e-07,1.78964e+02,2.61795e+00,1.68900e+01,1.17294e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.24240e+00,1.24240e+00,inf,2.98448e+00,2.98448e+00,-inf,1.43620e+01,1.15000e+04,1.15000e+04
1.60000e-01,1.78930e+02,2.70240e+00,1.68900e+01,1.78930e+02,2.70240e+00,1.68900e+01,1.17682e-07,1.78930e+02,2.70240e+00,1.68900e+01,1.17682e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.23882e+00,1.23882e+00,inf,2.98592e+00,2.98592e+00,-inf,1.43634e+01,1.15000e+04,1.15000e+04
1.65000e-01,1.78897e+02,2.78685e+00,1.68900e+01,1.78897e+02,2.78685e+00,1.68900e+01,1.18069e-07,1.78897e+02,2.78685e+00,1.68900e+01,1.18069e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.23525e+00,1.23525e+00,inf,2.98734e+00,2.98734e+00,-inf,1.43649e+01,1.15000e+04,1.15000e+04
1.70000e-01,1.78863e+02,2.87130e+00,1.68900e+01,1.78863e+02,2.87130e+00,1.68900e+01,1.18457e-07,1.78863e+02,2.87130e+00,1.68900e+01,1.18457e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.23169e+00,1.23169e+00,inf,2.98877e+00,2.98877e+00,-inf,1.43663e+01,1.15000e+04,1.15000e+04
1.75000e-01,1.78830e+02,2.95575e+00,1.68900e+01,1.78830e+02,2.95575e+00,1.68900e+01,1.18845e-07,1.78830e+02,2.95575e+00,1.68900e+01,1.18845e-07,9.14000e-02,9.14000e-02,0.00000e+00,1.22814e+00,1.22814e+00,inf,2.99019e+00,2.99019e+00,-inf,1.43677e+01,1.15000e+04,1.15000e+04
