# Trajectory data computed from the USG input file.
#
# Reference time (UTC) = 2018-06-02 16:44:12
# Reference JD         = 2458272.197361
# Begin point
#     Lat    =  -21.207377 deg
#     Lon    =   23.378594 deg
#     Height =  32.1633 km
# End point
#     Lat    =  -21.187331 deg
#     Lon    =   23.165899 deg
#     Height =  22.8216 km
# Radiant
#     RA     = 235.3018 deg
#     Dec    = -13.3598 deg
#     Az     =  95.8900 deg
#     Alt    = +23.3300 deg
#
# Time (s), Ht. (km),  Lat. (deg),  Lon. (deg), AbsMag
 -0.517000,  32.1633,  -21.207377,   23.378594, -16.72
 -0.513000,  32.1364,  -21.207320,   23.377986, -14.79
 -0.503000,  32.0693,  -21.207178,   23.376467, -14.14
 -0.500000,  32.0492,  -21.207135,   23.376011, -17.08
 -0.496000,  32.0224,  -21.207078,   23.375403, -15.59
 -0.486000,  31.9553,  -21.206936,   23.373884, -16.03
 -0.483000,  31.9352,  -21.206893,   23.373428, -15.39
 -0.480000,  31.9151,  -21.206850,   23.372972, -16.77
 -0.476000,  31.8882,  -21.206793,   23.372364, -15.83
 -0.466000,  31.8212,  -21.206651,   23.370844, -13.10
 -0.463000,  31.8011,  -21.206608,   23.370388, -16.69
 -0.456000,  31.7541,  -21.206509,   23.369325, -15.90
 -0.449000,  31.7072,  -21.206409,   23.368261, -16.09
 -0.446000,  31.6870,  -21.206366,   23.367805, -15.27
 -0.442000,  31.6602,  -21.206309,   23.367197, -16.05
 -0.439000,  31.6401,  -21.206267,   23.366741, -15.39
 -0.432000,  31.5932,  -21.206167,   23.365677, -16.48
 -0.425000,  31.5462,  -21.206067,   23.364614, -15.21
 -0.422000,  31.5261,  -21.206024,   23.364158, -16.37
 -0.419000,  31.5060,  -21.205982,   23.363702, -16.93
 -0.415000,  31.4792,  -21.205925,   23.363094, -16.50
 -0.412000,  31.4591,  -21.205882,   23.362638, -16.95
 -0.409000,  31.4390,  -21.205839,   23.362182, -17.64
 -0.405000,  31.4121,  -21.205782,   23.361574, -17.56
 -0.402000,  31.3920,  -21.205740,   23.361118, -17.99
 -0.399000,  31.3719,  -21.205697,   23.360662, -17.94
 -0.395000,  31.3451,  -21.205640,   23.360054, -17.98
 -0.392000,  31.3250,  -21.205597,   23.359598, -17.74
 -0.388000,  31.2982,  -21.205540,   23.358991, -17.15
 -0.385000,  31.2781,  -21.205497,   23.358534, -17.23
 -0.382000,  31.2580,  -21.205455,   23.358079, -16.56
 -0.378000,  31.2311,  -21.205398,   23.357471, -16.98
 -0.375000,  31.2110,  -21.205355,   23.357015, -17.38
 -0.372000,  31.1909,  -21.205312,   23.356559, -17.11
 -0.368000,  31.1641,  -21.205255,   23.355951, -17.73
 -0.365000,  31.1440,  -21.205212,   23.355495, -17.26
 -0.358000,  31.0971,  -21.205113,   23.354431, -15.46
 -0.355000,  31.0770,  -21.205070,   23.353975, -17.08
 -0.351000,  31.0502,  -21.205013,   23.353367, -16.80
 -0.348000,  31.0301,  -21.204970,   23.352911, -16.57
 -0.344000,  31.0033,  -21.204913,   23.352303, -16.55
 -0.341000,  30.9831,  -21.204870,   23.351847, -16.98
 -0.338000,  30.9630,  -21.204828,   23.351391, -16.98
 -0.331000,  30.9161,  -21.204728,   23.350327, -17.00
 -0.328000,  30.8960,  -21.204685,   23.349871, -17.17
 -0.324000,  30.8692,  -21.204628,   23.349263, -17.06
 -0.321000,  30.8491,  -21.204585,   23.348807, -16.02
 -0.318000,  30.8290,  -21.204542,   23.348351, -16.76
 -0.314000,  30.8022,  -21.204485,   23.347743, -16.16
 -0.311000,  30.7821,  -21.204443,   23.347287, -15.41
 -0.307000,  30.7553,  -21.204386,   23.346679, -16.19
 -0.301000,  30.7151,  -21.204300,   23.345767, -16.93
 -0.297000,  30.6883,  -21.204243,   23.345159, -15.74
 -0.287000,  30.6213,  -21.204100,   23.343639, -16.57
 -0.284000,  30.6012,  -21.204057,   23.343183, -17.04
 -0.280000,  30.5744,  -21.204000,   23.342575, -14.20
 -0.277000,  30.5543,  -21.203958,   23.342119, -16.90
 -0.274000,  30.5342,  -21.203915,   23.341663, -12.30
 -0.270000,  30.5074,  -21.203858,   23.341055, -17.37
 -0.267000,  30.4873,  -21.203815,   23.340598, -16.39
 -0.257000,  30.4203,  -21.203672,   23.339078, -16.04
 -0.250000,  30.3734,  -21.203572,   23.338014, -12.15
 -0.247000,  30.3533,  -21.203530,   23.337558, -16.07
 -0.243000,  30.3265,  -21.203473,   23.336950, -16.24
 -0.240000,  30.3065,  -21.203430,   23.336494, -15.86
 -0.236000,  30.2797,  -21.203373,   23.335886, -16.79
 -0.233000,  30.2596,  -21.203330,   23.335430, -15.03
 -0.230000,  30.2395,  -21.203287,   23.334974, -16.54
 -0.226000,  30.2127,  -21.203230,   23.334366, -17.23
 -0.223000,  30.1926,  -21.203187,   23.333910, -17.50
 -0.220000,  30.1725,  -21.203144,   23.333453, -17.38
 -0.216000,  30.1457,  -21.203087,   23.332845, -18.23
