# B = brightest mass bin, L = leading fragment, M = main
# Time (s), B ht (km), B len (km), B vel (km/s), L ht (km), L len (km), L vel (km/s), L dyn press (Gamma = 1.0; MPa), M ht (km), M len (km), M vel (km/s), M dyn press (Gamma = 1.0; MPa), Tau total (%), Tau main (%), Tau grain (%), Abs mag total, Abs mag main, Abs mag grain, log10 Lum total (W), log10 Lum main (W), log10 Lum grain (W), log10 Electron line density (-/m), Mass total (kg), Mass main (kg)
5.00000e-03,1.79875e+02,1.78500e-01,3.57000e+01,1.79875e+02,1.78500e-01,3.57000e+01,4.62925e-07,1.79875e+02,1.78500e-01,3.57000e+01,4.62925e-07,7.00000e-03,7.00000e-03,0.00000e+00,-2.17033e+00,-2.17033e+00,inf,4.34957e+00,4.34957e+00,-inf,1.76821e+01,3.26000e+04,3.26000e+04
1.00000e-02,1.79750e+02,3.57000e-01,3.57000e+01,1.79750e+02,3.57000e-01,3.57000e+01,4.69893e-07,1.79750e+02,3.57000e-01,3.57000e+01,4.69893e-07,7.00000e-03,7.00000e-03,0.00000e+00,-2.18654e+00,-2.18654e+00,inf,4.35606e+00,4.35606e+00,-inf,1.76886e+01,3.26000e+04,3.26000e+04
1.50000e-02,1.79624e+02,5.35500e-01,3.57000e+01,1.79624e+02,5.35500e-01,3.57000e+01,4.76883e-07,1.79624e+02,5.35500e-01,3.57000e+01,4.76883e-07,7.00000e-03,7.00000e-03,0.00000e+00,-2.20258e+00,-2.20258e+00,inf,4.36247e+00,4.36247e+00,-inf,1.76950e+01,3.26000e+04,3.26000e+04
2.00000e-02,1.79499e+02,7.14000e-01,3.57000e+01,1.79499e+02,7.14000e-01,3.57000e+01,4.83896e-07,1.79499e+02,7.14000e-01,3.57000e+01,4.83896e-07,7.00000e-03,7.00000e-03,0.00000e+00,-2.21843e+00,-2.21843e+00,inf,4.36881e+00,4.36881e+00,-inf,1.77014e+01,3.26000e+04,3.26000e+04
2.50000e-02,1.79374e+02,8.92500e-01,3.57000e+01,1.79374e+02,8.92500e-01,3.57000e+01,4.90930e-07,1.79374e+02,8.92500e-01,3.57000e+01,4.90930e-07,7.00000e-03,7.00000e-03,0.00000e+00,-2.23410e+00,-2.23410e+00,inf,4.37508e+00,4.37508e+00,-inf,1.77076e+01,3.26000e+04,3.26000e+04
3.00000e-02,1.79249e+02,1.07100e+00,3.57000e+01,1.79249e+02,1.07100e+00,3.57000e+01,4.97984e-07,1.79249e+02,1.07100e+00,3.57000e+01,4.97984e-07,7.00000e-03,7.00000e-03,0.00000e+00,-2.24959e+00,-2.24959e+00,inf,4.38128e+00,4.38128e+00,-inf,1.77138e+01,3.26000e+04,3.26000e+04
3.50000e-02,1.79124e+02,1.24950e+00,3.57000e+01,1.79124e+02,1.24950e+00,3.57000e+01,5.05055e-07,1.79124e+02,1.24950e+00,3.57000e+01,5.05055e-07,7.00000e-03,7.00000e-03,0.00000e+00,-2.26490e+00,-2.26490e+00,inf,4.38740e+00,4.38740e+00,-inf,1.77199e+01,3.26000e+04,3.26000e+04
4.00000e-02,1.78998e+02,1.42800e+00,3.57000e+01,1.78998e+02,1.42800e+00,3.57000e+01,5.12144e-07,1.78998e+02,1.42800e+00,3.57000e+01,5.12144e-07,7.00000e-03,7.00000e-03,0.00000e+00,-2.28003e+00,-2.28003e+00,inf,4.39345e+00,4.39345e+00,-inf,1.77260e+01,3.26000e+04,3.26000e+04
4.50000e-02,1.78873e+02,1.60650e+00,3.57000e+01,1.78873e+02,1.60650e+00,3.57000e+01,5.19248e-07,1.78873e+02,1.60650e+00,3.57000e+01,5.19248e-07,7.00000e-03,7.00000e-03,0.00000e+00,-2.29499e+00,-2.29499e+00,inf,4.39944e+00,4.39944e+00,-inf,1.77320e+01,3.26000e+04,3.26000e+04
5.00000e-02,1.78748e+02,1.78500e+00,3.57000e+01,1.78748e+02,1.78500e+00,3.57000e+01,5.26367e-07,1.78748e+02,1.78500e+00,3.57000e+01,5.26367e-07,7.00000e-03,7.00000e-03,0.00000e+00,-2.30977e+00,-2.30977e+00,inf,4.40535e+00,4.40535e+00,-inf,1.77379e+01,3.26000e+04,3.26000e+04
5.50000e-02,1.78623e+02,1.96350e+00,3.57000e+01,1.78623e+02,1.96350e+00,3.57000e+01,5.33499e-07,1.78623e+02,1.96350e+00,3.57000e+01,5.33499e-07,7.00000e-03,7.00000e-03,0.00000e+00,-2.32438e+00,-2.32438e+00,inf,4.41120e+00,4.41120e+00,-inf,1.77437e+01,3.26000e+04,3.26000e+04
6.00000e-02,1.78498e+02,2.14200e+00,3.57000e+01,1.78498e+02,2.14200e+00,3.57000e+01,5.40643e-07,1.78498e+02,2.14200e+00,3.57000e+01,5.40643e-07,7.00000e-03,7.00000e-03,0.00000e+00,-2.33882e+00,-2.33882e+00,inf,4.41697e+00,4.41697e+00,-inf,1.77495e+01,3.26000e+04,3.26000e+04
6.50000e-02,1.78373e+02,2.32050e+00,3.57000e+01,1.78373e+02,2.32050e+00,3.57000e+01,5.47797e-07,1.78373e+02,2.32050e+00,3.57000e+01,5.47797e-07,7.00000e-03,7.00000e-03,0.00000e+00,-2.35310e+00,-2.35310e+00,inf,4.42268e+00,4.42268e+00,-inf,1.77552e+01,3.26000e+04,3.26000e+04
7.00000e-02,1.78247e+02,2.49900e+00,3.57000e+01,1.78247e+02,2.49900e+00,3.57000e+01,5.54961e-07,1.78247e+02,2.49900e+00,3.57000e+01,5.54961e-07,7.00000e-03,7.00000e-03,0.00000e+00,-2.36720e+00,-2.36720e+00,inf,4.42832e+00,4.42832e+00,-inf,1.77609e+01,3.26000e+04,3.26000e+04
7.50000e-02,1.78122e+02,2.67750e+00,3.57000e+01,1.78122e+02,2.67750e+00,3.57000e+01,5.62133e-07,1.78122e+02,2.67750e+00,3.57000e+01,5.62133e-07,7.00000e-03,7.00000e-03,0.00000e+00,-2.38114e+00,-2.38114e+00,inf,4.43390e+00,4.43390e+00,-inf,1.77664e+01,3.26000e+04,3.26000e+04
8.00000e-02,1.77997e+02,2.85600e+00,3.57000e+01,1.77997e+02,2.85600e+00,3.57000e+01,5.69311e-07,1.77997e+02,2.85600e+00,3.57000e+01,5.69311e-07,7.00000e-03,7.00000e-03,0.00000e+00,-2.39492e+00,-2.39492e+00,inf,4.43941e+00,4.43941e+00,-inf,1.77720e+01,3.26000e+04,3.26000e+04
