# Trajectory data computed from the USG input file.
#
# Reference time (UTC) = 2015-01-07 01:05:59
# Reference JD         = 2457029.545822
# Begin point
#     Lat    =  +45.485996 deg
#     Lon    =   26.623030 deg
#     Height =  76.8245 km
# End point
#     Lat    =  +45.993617 deg
#     Lon    =   27.285124 deg
#     Height =   3.1151 km
# Radiant
#     RA     = 119.9018 deg
#     Dec    =  +7.0685 deg
#     Az     = 222.9000 deg
#     Alt    = +43.6000 deg
#
# Time (s), Ht. (km),  Lat. (deg),  Lon. (deg), AbsMag
 -1.269000,  76.8245,  +45.485996,   26.623030, -13.99
 -1.266000,  76.7503,  +45.486500,   26.623679, -16.72
 -1.259000,  76.5771,  +45.487677,   26.625194, -17.15
 -1.245000,  76.2306,  +45.490030,   26.628223, -14.89
 -1.239000,  76.0821,  +45.491039,   26.629522, -14.52
 -1.225000,  75.7357,  +45.493393,   26.632552, -16.48
 -1.218000,  75.5624,  +45.494570,   26.634067, -14.57
 -1.208000,  75.3150,  +45.496251,   26.636232, -14.20
 -1.198000,  75.0676,  +45.497933,   26.638398, -16.59
 -1.185000,  74.7459,  +45.500119,   26.641213, -16.66
 -1.181000,  74.6470,  +45.500791,   26.642080, -17.07
 -1.175000,  74.4985,  +45.501800,   26.643379, -16.30
 -1.168000,  74.3253,  +45.502978,   26.644896, -16.59
 -1.164000,  74.2264,  +45.503650,   26.645762, -16.22
 -1.161000,  74.1522,  +45.504155,   26.646412, -16.18
 -1.158000,  74.0779,  +45.504660,   26.647062, -14.99
 -1.144000,  73.7316,  +45.507014,   26.650096, -15.87
 -1.141000,  73.6574,  +45.507519,   26.650746, -17.17
 -1.137000,  73.5585,  +45.508192,   26.651613, -14.57
 -1.127000,  73.3111,  +45.509874,   26.653781, -13.14
 -1.124000,  73.2369,  +45.510379,   26.654431, -15.11
 -1.121000,  73.1627,  +45.510883,   26.655081, -14.90
 -1.117000,  73.0637,  +45.511556,   26.655948, -16.20
 -1.110000,  72.8906,  +45.512734,   26.657466, -13.88
 -1.107000,  72.8164,  +45.513238,   26.658117, -15.54
 -1.097000,  72.5691,  +45.514921,   26.660285, -14.23
 -1.094000,  72.4949,  +45.515426,   26.660936, -16.46
 -1.090000,  72.3960,  +45.516099,   26.661803, -15.71
 -1.083000,  72.2228,  +45.517276,   26.663321, -15.55
 -1.080000,  72.1486,  +45.517781,   26.663972, -14.90
 -1.063000,  71.7282,  +45.520642,   26.667660, -16.25
 -1.056000,  71.5551,  +45.521820,   26.669179, -16.05
 -1.053000,  71.4810,  +45.522324,   26.669830, -15.58
 -1.050000,  71.4068,  +45.522829,   26.670481, -16.06
 -1.043000,  71.2337,  +45.524007,   26.672000, -15.77
 -1.026000,  70.8133,  +45.526868,   26.675689, -15.66
 -1.023000,  70.7392,  +45.527373,   26.676341, -16.38
 -1.002000,  70.2200,  +45.530908,   26.680900, -16.02
 -0.969000,  69.4042,  +45.536463,   26.688067, -15.88
 -0.965000,  69.3053,  +45.537136,   26.688936, -14.10
 -0.962000,  69.2312,  +45.537642,   26.689588, -15.04
 -0.959000,  69.1570,  +45.538147,   26.690240, -16.03
 -0.952000,  68.9840,  +45.539325,   26.691761, -17.18
 -0.948000,  68.8851,  +45.539999,   26.692630, -15.69
 -0.945000,  68.8110,  +45.540504,   26.693282, -16.32
 -0.942000,  68.7368,  +45.541009,   26.693934, -15.71
 -0.938000,  68.6380,  +45.541682,   26.694803, -16.46
 -0.935000,  68.5638,  +45.542188,   26.695455, -13.30
 -0.928000,  68.3908,  +45.543366,   26.696977, -14.24
 -0.915000,  68.0695,  +45.545555,   26.699803, -16.77
 -0.911000,  67.9707,  +45.546229,   26.700673, -15.62
 -0.908000,  67.8965,  +45.546734,   26.701325, -14.97
 -0.905000,  67.8224,  +45.547239,   26.701977, -16.22
 -0.901000,  67.7235,  +45.547913,   26.702847, -15.97
 -0.891000,  67.4764,  +45.549597,   26.705021, -16.58
 -0.888000,  67.4023,  +45.550102,   26.705674, -15.50
 -0.884000,  67.3034,  +45.550776,   26.706544, -16.39
 -0.881000,  67.2293,  +45.551281,   26.707196, -15.82
 -0.878000,  67.1552,  +45.551787,   26.707849, -15.98
 -0.874000,  67.0563,  +45.552460,   26.708719, -16.75
 -0.871000,  66.9822,  +45.552966,   26.709372, -14.45
 -0.867000,  66.8834,  +45.553640,   26.710242, -13.42
 -0.851000,  66.4881,  +45.556335,   26.713723, -15.31
 -0.847000,  66.3892,  +45.557009,   26.714593, -14.43
 -0.790000,  64.9811,  +45.566612,   26.727002, -15.01
 -0.786000,  64.8823,  +45.567286,   26.727873, -13.08
 -0.783000,  64.8082,  +45.567792,   26.728527, -15.36
 -0.759000,  64.2155,  +45.571836,   26.733755, -14.81
 -0.746000,  63.8944,  +45.574027,   26.736588, -17.30
 -0.743000,  63.8203,  +45.574533,   26.737241, -15.41
 -0.732000,  63.5487,  +45.576387,   26.739639, -14.82
 -0.729000,  63.4746,  +45.576893,   26.740293, -16.41
 -0.722000,  63.3017,  +45.578073,   26.741818, -16.60
 -0.699000,  62.7338,  +45.581950,   26.746833, -15.93
 -0.689000,  62.4869,  +45.583636,   26.749014, -17.24
 -0.675000,  62.1413,  +45.585996,   26.752067, -16.01
 -0.665000,  61.8944,  +45.587682,   26.754249, -16.51
 -0.655000,  61.6475,  +45.589368,   26.756431, -13.51
 -0.641000,  61.3019,  +45.591729,   26.759486, -15.45
 -0.635000,  61.1538,  +45.592741,   26.760795, -12.57
 -0.614000,  60.6354,  +45.596283,   26.765379, -16.98
 -0.611000,  60.5614,  +45.596789,   26.766034, -15.27
 -0.604000,  60.3886,  +45.597969,   26.767562, -14.95
 -0.597000,  60.2158,  +45.599150,   26.769091, -15.38
 -0.594000,  60.1418,  +45.599656,   26.769746, -16.55
 -0.587000,  59.9690,  +45.600837,   26.771275, -17.07
 -0.581000,  59.8210,  +45.601849,   26.772585, -16.62
 -0.577000,  59.7223,  +45.602524,   26.773459, -14.06
 -0.574000,  59.6482,  +45.603030,   26.774114, -16.64
 -0.570000,  59.5495,  +45.603704,   26.774988, -17.69
 -0.567000,  59.4755,  +45.604210,   26.775643, -16.49
 -0.560000,  59.3027,  +45.605391,   26.777173, -16.03
 -0.557000,  59.2287,  +45.605898,   26.777828, -16.26
 -0.554000,  59.1547,  +45.606404,   26.778484, -15.28
 -0.550000,  59.0560,  +45.607078,   26.779357, -14.53
 -0.547000,  58.9819,  +45.607585,   26.780013, -16.32
 -0.540000,  58.8092,  +45.608766,   26.781543, -16.87
 -0.537000,  58.7352,  +45.609272,   26.782198, -16.98
 -0.533000,  58.6365,  +45.609947,   26.783073, -13.96
 -0.530000,  58.5625,  +45.610453,   26.783728, -16.10
 -0.523000,  58.3898,  +45.611634,   26.785258, -16.02
 -0.516000,  58.2171,  +45.612815,   26.786789, -17.04
 -0.513000,  58.1430,  +45.613321,   26.787445, -17.27
 -0.506000,  57.9703,  +45.614503,   26.788975, -14.63
 -0.503000,  57.8963,  +45.615009,   26.789631, -15.88
 -0.496000,  57.7236,  +45.616190,   26.791162, -16.98
 -0.486000,  57.4769,  +45.617878,   26.793349, -12.81
 -0.479000,  57.3043,  +45.619059,   26.794880, -15.85
 -0.476000,  57.2303,  +45.619566,   26.795536, -16.32
 -0.473000,  57.1562,  +45.620072,   26.796192, -16.45
 -0.469000,  57.0576,  +45.620747,   26.797067, -16.18
 -0.466000,  56.9836,  +45.621253,   26.797723, -17.35
 -0.459000,  56.8109,  +45.622435,   26.799255, -14.49
 -0.456000,  56.7369,  +45.622941,   26.799911, -15.73
 -0.452000,  56.6382,  +45.623616,   26.800786, -16.49
 -0.446000,  56.4903,  +45.624629,   26.802099, -15.01
 -0.442000,  56.3916,  +45.625304,   26.802974, -15.06
 -0.435000,  56.2189,  +45.626486,   26.804506, -17.21
 -0.432000,  56.1450,  +45.626993,   26.805163, -15.73
 -0.429000,  56.0710,  +45.627499,   26.805820, -16.68
 -0.422000,  55.8983,  +45.628681,   26.807352, -11.33
 -0.419000,  55.8243,  +45.629187,   26.808009, -15.81
 -0.415000,  55.7257,  +45.629863,   26.808884, -16.37
 -0.412000,  55.6517,  +45.630369,   26.809541, -13.36
 -0.395000,  55.2325,  +45.633239,   26.813263, -16.50
 -0.392000,  55.1585,  +45.633746,   26.813920, -16.16
 -0.381000,  54.8872,  +45.635603,   26.816329, -16.16
 -0.375000,  54.7393,  +45.636616,   26.817644, -15.94
 -0.368000,  54.5667,  +45.637798,   26.819177, -16.14
 -0.358000,  54.3201,  +45.639487,   26.821368, -14.79
 -0.344000,  53.9750,  +45.641852,   26.824435, -16.60
 -0.338000,  53.8270,  +45.642865,   26.825750, -16.69
 -0.331000,  53.6545,  +45.644047,   26.827284, -16.77
 -0.327000,  53.5559,  +45.644723,   26.828161, -17.35
 -0.324000,  53.4819,  +45.645229,   26.828819, -17.19
 -0.321000,  53.4079,  +45.645736,   26.829476, -16.54
 -0.317000,  53.3093,  +45.646412,   26.830353, -16.35
 -0.314000,  53.2354,  +45.646919,   26.831011, -17.12
 -0.311000,  53.1614,  +45.647425,   26.831669, -16.48
 -0.307000,  53.0628,  +45.648101,   26.832546, -17.46
 -0.304000,  52.9889,  +45.648608,   26.833203, -16.72
 -0.300000,  52.8903,  +45.649283,   26.834081, -17.18
 -0.297000,  52.8163,  +45.649790,   26.834738, -17.93
 -0.294000,  52.7424,  +45.650297,   26.835396, -17.79
 -0.290000,  52.6438,  +45.650973,   26.836273, -18.12
 -0.287000,  52.5698,  +45.651480,   26.836931, -17.93
 -0.280000,  52.3973,  +45.652662,   26.838466, -18.23
 -0.277000,  52.3234,  +45.653169,   26.839125, -18.29
 -0.273000,  52.2248,  +45.653845,   26.840002, -17.39
 -0.270000,  52.1508,  +45.654352,   26.840660, -18.03
 -0.267000,  52.0769,  +45.654859,   26.841318, -18.03
 -0.263000,  51.9783,  +45.655534,   26.842196, -17.98
 -0.260000,  51.9044,  +45.656041,   26.842854, -18.28
 -0.257000,  51.8304,  +45.656548,   26.843512, -18.29
 -0.253000,  51.7318,  +45.657224,   26.844390, -18.37
 -0.250000,  51.6579,  +45.657731,   26.845048, -18.39
 -0.246000,  51.5593,  +45.658407,   26.845926, -18.44
 -0.240000,  51.4115,  +45.659421,   26.847242, -18.68
 -0.236000,  51.3129,  +45.660097,   26.848120, -18.64
 -0.233000,  51.2390,  +45.660604,   26.848779, -18.44
 -0.230000,  51.1650,  +45.661110,   26.849437, -18.43
 -0.226000,  51.0665,  +45.661786,   26.850315, -18.80
 -0.223000,  50.9925,  +45.662293,   26.850974, -18.96
 -0.216000,  50.8201,  +45.663476,   26.852510, -18.53
 -0.213000,  50.7461,  +45.663983,   26.853169, -18.08
 -0.209000,  50.6476,  +45.664659,   26.854047, -18.10
 -0.206000,  50.5736,  +45.665166,   26.854706, -18.26
 -0.203000,  50.4997,  +45.665673,   26.855364, -18.58
 -0.199000,  50.4012,  +45.666349,   26.856243, -18.11
 -0.196000,  50.3273,  +45.666857,   26.856901, -18.18
 -0.192000,  50.2287,  +45.667533,   26.857780, -18.34
 -0.189000,  50.1548,  +45.668040,   26.858439, -18.53
 -0.186000,  50.0809,  +45.668547,   26.859097, -18.18
 -0.182000,  49.9823,  +45.669223,   26.859976, -18.43
 -0.179000,  49.9084,  +45.669730,   26.860635, -18.35
 -0.176000,  49.8345,  +45.670237,   26.861294, -18.11
 -0.172000,  49.7359,  +45.670913,   26.862172, -18.60
 -0.169000,  49.6620,  +45.671420,   26.862832, -18.42
 -0.165000,  49.5635,  +45.672096,   26.863710, -18.33
 -0.162000,  49.4896,  +45.672604,   26.864369, -18.57
 -0.159000,  49.4157,  +45.673111,   26.865028, -18.63
 -0.155000,  49.3171,  +45.673787,   26.865907, -18.92
 -0.152000,  49.2432,  +45.674294,   26.866566, -18.89
 -0.149000,  49.1693,  +45.674801,   26.867225, -18.75
 -0.145000,  49.0708,  +45.675477,   26.868104, -18.64
 -0.142000,  48.9969,  +45.675985,   26.868764, -18.72
 -0.138000,  48.8984,  +45.676661,   26.869643, -18.44
 -0.135000,  48.8245,  +45.677168,   26.870302, -18.56
 -0.132000,  48.7506,  +45.677675,   26.870961, -18.85
 -0.128000,  48.6520,  +45.678352,   26.871841, -18.93
 -0.122000,  48.5042,  +45.679366,   26.873159, -19.11
 -0.118000,  48.4057,  +45.680042,   26.874039, -19.08
 -0.115000,  48.3318,  +45.680550,   26.874698, -19.26
 -0.111000,  48.2333,  +45.681226,   26.875578, -19.32
