# Trajectory data computed from the USG input file.
#
# Reference time (UTC) = 2015-09-02 20:10:30
# Reference JD         = 2457268.340625
# Begin point
#     Lat    =  +39.221877 deg
#     Lon    =   40.383266 deg
#     Height =  50.9483 km
# End point
#     Lat    =  +39.046332 deg
#     Lon    =   40.119633 deg
#     Height =  34.9323 km
# Radiant
#     RA     =  54.4288 deg
#     Dec    = +48.4628 deg
#     Az     =  48.8000 deg
#     Alt    = +28.2000 deg
#
# Time (s), Ht. (km),  Lat. (deg),  Lon. (deg), AbsMag
 -0.976000,  50.9483,  +39.221877,   40.383266, -15.52
 -0.955000,  50.7078,  +39.219262,   40.379323, -16.19
 -0.949000,  50.6390,  +39.218515,   40.378196, -15.23
 -0.945000,  50.5932,  +39.218017,   40.377445, -16.14
 -0.932000,  50.4443,  +39.216398,   40.375004, -15.60
 -0.928000,  50.3985,  +39.215899,   40.374253, -15.19
 -0.922000,  50.3298,  +39.215152,   40.373126, -15.82
 -0.918000,  50.2840,  +39.214654,   40.372375, -15.26
 -0.908000,  50.1694,  +39.213408,   40.370497, -15.99
 -0.905000,  50.1351,  +39.213035,   40.369934, -13.80
 -0.898000,  50.0549,  +39.212163,   40.368620, -14.54
 -0.895000,  50.0206,  +39.211789,   40.368056, -16.20
 -0.891000,  49.9748,  +39.211291,   40.367305, -14.61
 -0.874000,  49.7801,  +39.209173,   40.364113, -15.35
 -0.871000,  49.7458,  +39.208799,   40.363550, -15.94
 -0.868000,  49.7114,  +39.208425,   40.362987, -15.84
 -0.854000,  49.5511,  +39.206681,   40.360358, -16.66
 -0.851000,  49.5168,  +39.206307,   40.359795, -15.87
 -0.844000,  49.4367,  +39.205435,   40.358480, -15.42
 -0.830000,  49.2764,  +39.203690,   40.355851, -15.66
 -0.797000,  48.8987,  +39.199577,   40.349655, -16.31
 -0.787000,  48.7843,  +39.198331,   40.347777, -15.49
 -0.783000,  48.7385,  +39.197832,   40.347026, -16.54
 -0.760000,  48.4753,  +39.194965,   40.342707, -16.49
 -0.750000,  48.3609,  +39.193718,   40.340830, -16.10
 -0.739000,  48.2351,  +39.192346,   40.338764, -16.39
 -0.736000,  48.2007,  +39.191972,   40.338201, -15.95
 -0.733000,  48.1664,  +39.191598,   40.337638, -15.51
 -0.729000,  48.1207,  +39.191099,   40.336886, -15.82
 -0.723000,  48.0520,  +39.190351,   40.335760, -15.86
 -0.706000,  47.8576,  +39.188231,   40.332568, -16.41
 -0.702000,  47.8118,  +39.187732,   40.331817, -16.19
 -0.699000,  47.7775,  +39.187358,   40.331253, -16.46
 -0.695000,  47.7318,  +39.186859,   40.330502, -15.88
 -0.689000,  47.6631,  +39.186111,   40.329376, -16.62
 -0.685000,  47.6174,  +39.185612,   40.328624, -15.23
 -0.682000,  47.5831,  +39.185238,   40.328061, -15.26
 -0.675000,  47.5030,  +39.184365,   40.326747, -15.75
 -0.672000,  47.4687,  +39.183991,   40.326183, -15.31
 -0.669000,  47.4344,  +39.183616,   40.325620, -15.36
 -0.665000,  47.3887,  +39.183117,   40.324869, -14.13
 -0.662000,  47.3544,  +39.182743,   40.324306, -15.80
 -0.652000,  47.2400,  +39.181496,   40.322428, -13.88
 -0.642000,  47.1257,  +39.180248,   40.320550, -13.55
 -0.631000,  46.9999,  +39.178876,   40.318485, -16.28
 -0.621000,  46.8856,  +39.177628,   40.316607, -16.70
 -0.618000,  46.8513,  +39.177254,   40.316044, -15.12
 -0.615000,  46.8170,  +39.176879,   40.315480, -15.52
 -0.611000,  46.7713,  +39.176380,   40.314729, -15.03
 -0.608000,  46.7370,  +39.176006,   40.314166, -13.59
 -0.604000,  46.6913,  +39.175507,   40.313415, -15.26
 -0.591000,  46.5427,  +39.173884,   40.310974, -14.98
 -0.587000,  46.4970,  +39.173385,   40.310223, -15.71
 -0.581000,  46.4284,  +39.172636,   40.309096, -16.04
 -0.577000,  46.3827,  +39.172137,   40.308345, -15.82
 -0.574000,  46.3484,  +39.171763,   40.307782, -15.38
 -0.571000,  46.3141,  +39.171388,   40.307218, -16.18
 -0.567000,  46.2684,  +39.170889,   40.306467, -12.37
 -0.560000,  46.1884,  +39.170015,   40.305153, -15.01
 -0.557000,  46.1541,  +39.169641,   40.304590, -12.69
 -0.550000,  46.0741,  +39.168767,   40.303275, -14.75
 -0.547000,  46.0399,  +39.168393,   40.302712, -15.30
 -0.544000,  46.0056,  +39.168018,   40.302149, -16.23
